"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32","bool"
0,1090,8193,"",9,1,5,""
1,1091,8046,"",0,1,5,""
2,1092,8060,"",5,6,10,""
3,1093,8059,"",7,6,10,""
4,1266,8105,"",4,1,5,""
5,1094,8183,"",0,1,5,""
6,1095,8185,"",0,1,5,""
7,1096,8044,"",0,1,5,""
8,1097,8050,"",6,1,5,""
9,1098,8051,"",13,1,5,""
10,1099,8054,"",0,1,5,""
11,1100,8191,"",2,6,10,""
12,1101,8177,"",5,1,5,""
13,1102,8148,"",3,1,5,""
14,1103,8120,"",10,1,5,""
15,1104,8141,"",0,6,10,""
16,1105,8065,"",0,1,5,""
17,1106,8114,"",15,6,10,""
18,1107,8064,"",5,1,5,""
19,1108,8087,"",4,6,10,""
20,1109,8041,"",2,1,5,""
21,1110,8188,"",0,6,10,""
22,1111,8184,"",0,1,5,""
23,1112,8189,"",7,11,15,""
24,1113,8080,"",3,1,5,""
25,1114,9770,"",3,0,0,""
26,1115,8119,"",0,6,10,""
27,1117,8053,"",10,1,5,""
28,1118,8136,"",9,6,10,""
29,1119,8149,"",3,1,5,""
30,1120,8135,"",0,11,15,""
31,1121,8073,"",4,11,15,""
32,1261,8124,"",8,1,5,""
33,1263,8118,"",13,1,5,""
34,1264,8145,"",1,1,5,""
35,1265,8140,"",11,1,5,""
36,1267,8069,"",15,1,5,""
37,1268,8077,"",14,1,5,""
38,1122,8187,"",11,6,10,""
39,1123,8182,"",11,1,5,""
40,1124,8174,"",0,1,5,""
41,1125,8143,"",14,1,5,""
42,1126,12483,"",14,0,0,1
43,1127,8052,"",3,1,5,""
44,1128,8055,"",3,6,10,""
45,1129,8082,"",0,6,10,""
46,1130,8130,"",0,6,10,""
47,1131,8071,"",0,6,10,""
48,1132,8095,"",12,1,5,""
49,1133,8175,"",3,1,5,""
50,1134,8181,"",4,1,5,""
51,1135,8045,"",8,1,5,""
52,1136,8061,"",5,11,15,""
53,1137,8057,"",9,6,10,""
54,1138,8081,"",16,1,5,""
55,1139,8083,"",2,1,5,""
56,1140,8089,"",8,1,5,""
57,1141,8097,"",5,1,5,""
58,1142,9273,"",5,0,0,""
59,1143,8094,"",4,11,15,""
60,1144,12243,"",4,0,0,""
61,1145,8123,"",10,6,10,""
62,1146,8176,"",0,6,10,""
63,1147,8170,"",0,6,10,""
64,1148,8126,"",16,6,10,""
65,1149,8131,"",11,6,10,""
66,1150,8078,"",0,1,5,""
67,1151,8066,"",2,1,5,""
68,1152,12484,"",2,0,0,""
69,1153,8086,"",1,6,10,""
70,1154,9449,"",1,0,0,""
71,1155,8116,"",15,6,10,""
72,1156,11856,"",15,0,0,""
73,1157,8115,"",5,11,15,""
74,1158,8091,"",10,6,10,""
75,1159,8117,"",0,6,10,""
76,1160,8192,"",0,11,15,""
77,1161,8186,"",0,11,15,""
78,1162,8155,"",0,6,10,""
79,1163,8056,"",4,11,15,""
80,1164,8204,"",4,0,0,""
81,1165,8075,"",0,6,10,""
82,1166,8110,"",0,1,5,""
83,1167,8112,"",5,11,15,""
84,1168,10520,"",5,0,0,1
85,1169,8090,"",0,6,10,""
86,1170,8099,"",6,0,0,""
87,1171,9385,"",6,0,0,""
88,1172,8100,"",9,0,0,""
89,1174,8144,"",13,6,10,""
90,1175,8180,"",4,6,10,""
91,1176,12482,"",4,0,0,""
92,1177,8195,"",0,11,15,""
93,1178,8072,"",6,11,15,""
94,1179,8063,"",7,11,15,""
95,1180,8129,"",16,6,10,""
96,1181,8127,"",14,6,10,""
97,1182,8133,"",15,6,10,""
98,1183,8109,"",14,6,10,""
99,1184,9368,"",14,0,0,""
100,1185,8092,"",15,6,10,""
101,1186,8103,"",12,6,10,""
102,1187,12242,"",12,0,0,""
103,1188,8139,"",0,6,10,""
104,1189,8179,"",5,6,10,""
105,1191,8132,"",1,11,15,""
106,1192,8171,"",2,6,10,""
107,1193,8084,"",0,0,0,""
108,1194,8125,"",10,6,10,""
109,1195,8121,"",0,11,15,""
110,1196,8093,"",12,6,10,""
111,1197,8098,"",2,0,0,""
112,1198,8102,"",7,0,0,""
113,1199,9292,"",7,0,0,""
114,1200,8104,"",8,6,10,""
115,1201,8107,"",6,6,10,""
116,1202,10519,"",6,0,0,""
117,1203,8134,"",2,11,15,""
118,1204,8088,"",0,6,10,""
119,1205,8070,"",4,6,10,""
120,1206,8079,"",7,6,10,""
121,1207,8101,"",0,11,15,""
122,1208,8142,"",6,6,10,""
123,1209,8047,"",0,6,10,""
124,1210,8067,"",0,0,0,""
125,1211,8068,"",10,6,10,""
126,1213,8173,"",14,11,15,""
127,1214,8168,"",0,11,15,""
128,1215,8106,"",3,6,10,""
129,1216,9335,"",3,0,0,""
130,1217,8085,"",16,0,0,""
131,1218,8043,"",3,11,15,""
132,1219,8062,"",0,6,10,""
133,1220,8122,"",0,11,15,""
134,1221,9389,"",10,0,0,""
135,1222,8128,"",12,6,10,""
136,1223,9603,"",12,0,0,""
137,1224,8076,"",0,11,15,""
138,1225,8150,"",0,11,15,""
139,1226,8048,"",0,6,10,""
140,1227,8178,"",9,6,10,""
141,1228,8113,"",0,11,15,""
142,1229,8137,"",13,11,15,""
143,1230,8147,"",13,11,15,""
144,1231,8111,"",2,6,10,""
145,1232,8049,"",1,11,15,""
146,1233,8152,"",0,11,15,""
147,1234,8151,"",0,11,15,""
148,1235,8058,"",11,11,15,""
149,1236,8154,"",0,11,15,""
150,1237,8194,"",12,11,15,""
151,1238,8138,"",11,11,15,""
152,1239,8190,"",0,11,15,""
153,1240,8146,"",12,11,15,""
154,1241,8169,"",8,11,15,""
155,1242,8172,"",6,11,15,""
156,1243,8167,"",8,11,15,""
157,1244,8108,"",8,11,15,""
158,1245,8166,"",0,11,15,""
159,1259,8074,"",9,0,0,""
160,1260,8096,"",7,0,0,""
161,1269,8153,"",7,0,0,""
162,1246,8156,"",16,0,0,1
163,1247,8157,"",16,0,0,1
164,1249,8158,"",16,0,0,1
165,1248,8159,"",16,0,0,1
166,1251,8161,"",16,0,0,1
167,1257,8042,"",6,0,0,""
168,1271,8202,"",17,0,0,1
169,1272,8201,"",17,0,0,1
170,1273,8203,"",17,0,0,1
171,1274,8199,"",17,0,0,1
172,1275,8200,"",17,0,0,1
