"rownum","Stat","StatValue"
0,0,100
1,8119,600
2,9893,1
3,8736,10
4,8737,10
5,2454,10
6,9847,10
7,9848,10
8,5611,10
9,5749,10
10,3618,10
11,2312,100
12,3359,1
13,3358,1
14,5802,10
15,2310,7
16,3044,10
17,3045,8
18,4786,1
19,5825,1
20,8549,10
21,6545,5
22,13840,1
23,10336,1
24,9350,10
25,11788,1
26,13313,100
27,4945,0
28,10049,10
29,8451,4
30,11780,10
31,8064,1
32,12128,100
33,13515,10
34,13622,100
35,13623,100
36,13652,100
37,15885,100
38,13749,1
39,13793,100
40,14525,1
41,14585,10
42,15425,1
43,16130,100
44,16146,100
45,16974,1
46,16973,1
47,16142,1
48,16136,1
49,16140,1
50,16971,1
51,16671,10
52,16747,10
53,16813,10
54,16858,10
55,16961,0
56,2334,1
57,4929,1
58,16966,1
59,17014,100
60,17050,100
61,17045,100
62,17049,100
63,17094,10
64,17424,1
65,17694,1
66,18992,100
67,18993,100
68,18991,1
69,18994,1
70,18995,1
71,19890,1
72,13801,100
73,19892,1
74,13799,100
75,19893,1
76,13800,100
77,19836,100
78,19838,100
79,19837,100
