"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,5683,1818,10244,1,"","","","",3
1,5684,1818,10245,1,"","","","",0
2,5685,1818,10246,1,"","","","",0
3,5686,1818,10248,1,"","","","",0
4,5687,1818,10247,1,"","","","",0
5,5688,1818,10249,1,"","","","",0
6,5689,1818,10250,1,"","","","",0
7,5690,1818,10251,1,"","","","",0
8,5691,1,10269,1,"","","","",0
9,5692,1818,10270,1,"","","","",0
10,5693,1818,10271,1,"","","","",0
11,5694,1818,10272,1,"","","","",0
12,5707,2100,10273,2,"","","","",0
13,5695,2100,12017,2,"","","","",0
14,5696,2100,12013,2,"","","","",0
15,5697,2100,12016,2,"","","","",0
16,5698,2100,12018,2,"","","","",0
17,5699,2100,12014,2,"","","","",0
18,5700,350,12025,2,"","","","",0
19,5701,350,12025,2,"","","","",0
20,5702,350,12024,2,"","","","",0
21,5703,350,12024,2,"","","","",0
22,5704,350,12026,2,"","","","",0
23,5705,350,12026,2,"","","","",0
24,5706,2100,12022,2,"","","","",0
25,5708,2400,12015,3,"","","","",0
26,5709,2400,12023,3,"","","","",0
27,5710,2400,12021,3,"","","","",0
28,5711,2400,12027,3,"","","","",0
29,5712,2400,12019,3,"","","","",0
30,5713,800,12020,3,"","","","",0
31,5714,800,12020,3,"","","","",0
32,5715,800,12020,3,"","","","",0
33,5716,2400,12012,3,"","","","",0
34,5717,100,"",4,"","","","",0
