"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2337,144,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4487,144,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",5074,144,1044,2,1
4,"EssenceBloodworm",4353,144,"",1,""
5,"Essence Elemental Swarm 1st stage",402,144,113,4,1
6,"Essence Elemental Swarm 2nd stage",403,144,113,2,1
7,"Essence Elemental Swarm 3rd stage",404,144,113,2,1
8,"Essence Rock Golem",4615,144,"",1,1
9,"Essence Explosive Insect",1576,144,"",1,1
10,"Volatile Flameblood",5101,144,"",1,1
11,"Obsidian Golem",4288,144,"",1,1
12,"TormentedBetrayerBeacon",7590,144,"",1,""
13,"BlightDaemonFire",7904,144,113,1,""
14,"BlightDaemonCold",7906,144,115,1,""
15,"BlightDaemonLightning",7908,144,447,1,""
16,"BlightDaemonPhysical",7910,144,522,1,""
17,"BlightDaemonChaos",7912,144,1059,1,""
18,"MapVolatile",5113,144,"",1,""
19,"LegionVolatile",5104,144,"",1,""
20,"UberVolatile",5114,144,"",1,""
21,"UberElderNova",6180,144,"",1,""
