"rownum","Id","[string]","[string]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","rid"
0,"HarvestThornOnHit","[""racterEffectHit""]",[],1,0,0,0,1040187392,0,0,0,1040187392,0,"","","",""
1,"HarvestBulbOnHit","[""愀挀琀攀爀䔀昀昀攀挀琀䠀椀琀""]",[],1,0,0,0,1912602624,0,0,0,1912602624,0,"","","",""
2,"HarvestScaleOnHit","[""acterEffectHit""]",[],1,0,0,0,-1476395008,0,0,0,-1476395008,0,"","","",""
3,"HarvestRavenBossScreechHit","[""keHitEffectCelestial""]",[],1,16777216,16777216,0,0,1,0,0,134217728,1,"","","",""
4,"HarvestSpikerBreathImpact","[""HitEffectCelestial""]",[],1,16777216,0,0,1308622848,1,16777216,0,1509949440,1,"","","",""
5,"HarvestCatBossStealthHit","[""愀氀""]",[],1,16777216,0,0,-1509949440,1,0,0,-1509949440,1,"","","",""
6,"HarvestPlagueSpiderViperStrikeImpact","[""istCharacterEffectHit""]",[],1,16777216,0,0,33554432,2,16777216,0,33554432,2,"","","",""
7,"HarvestMinerHammerGasHit","[""猀琀䌀栀愀爀愀挀琀攀爀䔀昀昀攀挀琀䠀椀琀""]",[],1,0,0,0,1308622848,2,0,0,1308622848,2,"","","",""
8,"HarvestSnakeHeadbuttImpact","[""""]",[],1,16777216,0,0,-1778384896,2,16777216,0,-1778384896,2,"","","",""
9,"HeistTemplarRangedSnipeImpact","[""氀攀倀愀猀猀吀栀爀攀攀䌀漀氀搀䤀爀漀渀倀漀椀渀琀䠀椀琀""]",[],1,16777216,0,0,-335544320,2,0,0,-335544320,2,"","","",""
10,"HeistMilitaryBounceShield","[""""]",[],1,16777216,0,0,838860800,3,16777216,0,1241513984,3,"","","",""
11,"GreenShockHit","[""爀漀爀䰀椀最栀琀渀椀渀最匀琀爀椀欀攀䠀椀琀""]",[],1,0,0,0,-2147483648,3,0,0,-2147483648,3,"","","",""
12,"HeistYellowChaosHit","[""匀氀愀猀栀䠀椀琀""]",[],1,0,0,0,-1174405120,3,0,0,-1174405120,3,"","","",""
13,"RedLightningHit","[""it""]",[],1,0,0,0,-335544320,3,0,0,-335544320,3,"","","",""
14,"HeistTrapLaserBeamImpact","[""tarfallBloodScytheHit""]",[],1,0,0,0,805306368,4,0,0,805306368,4,"","","",""
15,"HeistTwinsColdSnipeImpact","[""䠀椀琀䌀漀渀猀漀氀攀""]",[],1,0,0,0,1979711488,4,16777216,0,1979711488,4,"","","",""
16,"BrutalPirateLordHitEffect","[""琀攀爀䔀昀昀攀挀琀䠀椀琀""]",[],1,0,0,0,-1006632960,4,0,0,-1006632960,4,"","","",""
17,"CrimsonPriestRuneHitEffect","[""吀漀瀀愀稀䘀氀愀猀欀匀栀椀攀氀搀䠀椀琀䔀昀昀攀挀琀""]",[],1,0,16777216,0,469762048,5,0,0,603979776,5,"","","",""
18,"MavenOnHitEffect","[""椀爀攀䘀氀愀猀欀匀栀椀攀氀搀䠀椀琀䔀昀昀攀挀琀""]",[],1,0,0,0,1476395008,5,0,0,1476395008,5,"","","",""
19,"MavenBrainOnHitEffect","[""ireFlaskShieldHitEffect""]",[],1,0,0,0,-1778384896,5,0,0,-1778384896,5,"","","",""
20,"BloodTendrilsOnHitEffect","[""""]",[],1,50331648,0,0,-637534208,5,0,0,-637534208,5,"","","",""
21,"BloodScytheHitEffect","[""""]",[],1,50331648,0,0,369098752,6,0,0,369098752,6,"","","",""
22,"BloodScytheHitEffectConsole","[""""]",[],1,50331648,0,0,1610612736,6,0,0,1610612736,6,"","","",""
23,"OblivionToxicRainHitEffect","[""䈀愀琀琀氀攀倀愀猀猀䘀漀甀爀匀栀愀瘀爀漀渀渀攀猀圀爀愀瀀瀀椀渀最猀䠀椀琀䔀昀昀攀挀琀""]",[],1,0,0,0,-1476395008,6,0,0,-1476395008,6,"","","",""
24,"ArcaneHit","[""""]",[],1,0,0,0,-838860800,6,0,0,-838860800,6,"","","",""
25,"VoidEmperorFireDamage",[],[],1,0,0,0,-67108864,6,0,0,-67108864,6,"","","",308
26,"StygianFireHit","[""""]",[],1,0,0,0,738197504,7,0,0,738197504,7,"","","",""
27,"DemonicLightningHit","[""it""]",[],1,0,0,0,1711276032,7,0,0,1711276032,7,"","","",""
28,"BloodTendrilsOnHitEffectTranscendence","[""""]",[],1,50331648,0,0,-1006632960,7,0,0,-1006632960,7,"","","",""
29,"SpectralSpiralHitEffect",[],[],1,0,0,0,-167772160,7,0,0,-167772160,7,"","","",323
30,"TraumaStrikeHitEffect","[""""]",[],1,0,0,0,872415232,8,0,0,872415232,8,"","","",""
31,"RageVortexHit","[""tConsole""]",[],1,0,0,0,1644167168,8,0,0,1644167168,8,"","","",""
32,"BurningArrowMysticHit","[""PlayerBlood""]",[],1,0,0,0,-1610612736,8,0,0,-1610612736,8,"","","",""
33,"ExpeditionMedvedChaosHit","[""愀礀攀爀䈀氀漀漀搀""]",[],1,0,0,0,-469762048,8,0,0,-469762048,8,"","","",""
34,"ExpeditionVoranaHit","[""ayerBlood""]",[],1,0,0,0,503316480,9,0,0,503316480,9,"","","",""
35,"ExpeditionPhsicalOnHit","[""礀攀爀䈀氀漀漀搀""]",[],1,0,0,0,1577058304,9,0,0,1577058304,9,"","","",""
36,"ExpeditionFireOnHit","[""yerBlood""]",[],1,0,0,0,-1744830464,9,0,0,-1744830464,9,"","","",""
37,"ExpeditionColdOnHit","[""攀爀䈀氀漀漀搀""]",[],1,0,0,0,-771751936,9,0,0,-771751936,9,"","","",""
38,"ExpeditionChaosOnHit","[""erBlood""]",[],1,0,0,0,234881024,10,0,0,234881024,10,"","","",""
39,"OlrothBloodSpatter1","[""tadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet""]",[],1,0,0,0,1207959552,10,0,0,1207959552,10,"","","",""
40,"OlrothBloodSpatter2","[""愀搀愀琀愀⼀倀愀爀琀椀挀氀攀猀⼀攀氀攀洀攀渀琀愀氀开搀愀洀愀最攀猀⼀戀氀漀漀搀开椀洀瀀愀挀琀猀⼀戀氀漀漀搀开椀洀瀀愀挀琀开瀀氀愀礀攀爀⸀瀀攀琀""]",[],1,16777216,0,0,-2113929216,10,0,0,-2113929216,10,"","","",""
41,"OlrothBloodSpatter3","[""adata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet""]",[],1,16777216,0,0,-1140850688,10,0,0,-1140850688,10,"","","",""
42,"MyrmidonLightningStrikeHit","[""rticles/elemental_damages/blood_impacts/blood_impact_player.pet""]",[],1,0,0,0,67108864,11,0,0,67108864,11,"","","",""
43,"HellscapeDemonEliteScreechHit","[""攀琀""]",[],1,16777216,16777216,0,1375731712,11,0,0,1509949440,11,"","","",""
44,"DirebladeFireHit","[""xtraGoreRedSmall""]",[],1,0,0,0,-1912602624,11,0,0,-1912602624,11,"","","",""
45,"HellscapePaleBossSnipePierce","[""Small""]",[],1,16777216,0,0,-637534208,11,0,0,-637534208,11,"","","",""
46,"HellscapePaleBossAxeTossPierce","[""氀氀""]",[],1,16777216,0,0,704643072,12,0,0,704643072,12,"","","",""
47,"OblivionSummonRagingSpiritsHit","[""愀琀愀⼀䔀昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,2046820352,12,0,0,2046820352,12,"","","",""
48,"OnyxOblivionSummonRagingSpiritsHit","[""ata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood_impact.pet""]",[],1,0,0,0,-771751936,12,0,0,-771751936,12,"","","",""
49,"StygianScourgeArrowHit","[""od/new/red/blood_impact.pet""]",[],1,0,0,0,301989888,13,0,0,301989888,13,"","","",""
50,"ProjectEssenceDrainHit","[""d/blood_impact.pet""]",[],1,0,0,0,1375731712,13,0,0,1375731712,13,"","","",""
51,"ScientistEssenceDrainHit","[""⼀戀氀漀漀搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,-1778384896,13,0,0,-1778384896,13,"","","",""
52,"VoidSparkHit","[""搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,-1040187392,13,0,0,-1040187392,13,"","","",""
53,"AuspiciousToxicRainHit","["".pet""]",[],1,0,0,0,33554432,14,0,0,33554432,14,"","","",""
54,"BloodTendrilsOnHitEffectMercurial","[""攀琀愀搀愀琀愀⼀䔀昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,50331648,0,0,1476395008,14,0,0,1476395008,14,"","","",""
55,"ToxicRainOnHitEffectVulcan","[""䔀昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,0,0,-1610612736,14,0,0,-1610612736,14,"","","",""
56,"ConsumeBossLightningHit","[""sactions/Misc/Extra_Blood/new/red/blood1_impact.pet""]",[],1,0,0,0,-503316480,14,0,0,-503316480,14,"","","",""
57,"VulcanLightningStrikeHit","[""c/Extra_Blood/new/red/blood1_impact.pet""]",[],1,0,0,0,637534208,15,0,0,637534208,15,"","","",""
58,"SummonRagingSpiritsDemonicHit","[""lood/new/red/blood1_impact.pet""]",[],1,0,0,0,1946157056,15,0,0,1946157056,15,"","","",""
59,"CelestialEnergyBladeHit","[""⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,50331648,0,0,-1241513984,15,0,0,-1241513984,15,"","","",""
60,"DivineLightningArrowHit","[""a/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,0,0,0,-134217728,15,0,0,-134217728,15,"","","",""
61,"OblivionFireTrapHit","[""昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀挀爀椀琀椀挀愀氀开猀琀爀椀欀攀猀开爀攀搀⸀瀀攀琀""]",[],1,0,0,0,838860800,16,0,0,838860800,16,"","","",""
62,"OozeCharacterEffectHit","[""猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀挀爀椀琀椀挀愀氀开猀琀爀椀欀攀猀开爀攀搀⸀瀀攀琀""]",[],1,50331648,0,0,1912602624,16,0,0,1912602624,16,"","","",""
63,"MagmaMoltenShellHit","[""s/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,50331648,0,0,-1409286144,16,0,0,-1409286144,16,"","","",""
64,"TraumaStrikeHitEffectCelestial","[""sactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,50331648,0,0,-67108864,16,0,0,-67108864,16,"","","",""
65,"MistCharacterEffectHit","[""actions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,16777216,0,0,1006632960,17,0,0,1006632960,17,"","","",""
66,"BattlePassThreeColdIronPointHit","[""ions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,50331648,0,0,-1912602624,17,0,0,-1912602624,17,"","","",""
67,"IllusionistCobraLashHit","[""ᦀ""]",[],1,0,0,0,-805306368,17,0,0,-805306368,17,"","","",""
68,"VoidEmperorLightningStrikeHit","[""爀猀琀䈀氀漀漀搀刀攀搀""]",[],1,0,16777216,0,503316480,18,0,0,637534208,18,"","","",""
69,"StarfallRageSlashHit","[""䈀氀漀漀搀刀攀搀""]",[],1,0,0,0,1644167168,18,0,0,1644167168,18,"","","",""
70,"StarfallBloodScytheHit","[""漀漀搀刀攀搀""]",[],1,50331648,0,0,-1577058304,18,0,0,-1577058304,18,"","","",""
71,"StarfallBloodScytheHitConsole","[""oodRed""]",[],1,50331648,0,0,-268435456,18,0,0,-268435456,18,"","","",""
