"rownum","InfluenceMod","UpgradedMod","bool"
0,14882,24912,1
1,14883,24913,1
2,14884,14885,""
3,14885,24914,1
4,14886,14887,""
5,14887,24915,1
6,14888,14889,""
7,14889,24916,1
8,14890,24917,1
9,14892,24918,1
10,14894,14895,""
11,14895,24919,1
12,14896,14897,""
13,14897,24920,1
14,14898,24921,1
15,14899,14900,""
16,14900,24922,1
17,14901,14902,""
18,14902,24923,1
19,14903,14904,""
20,14904,24924,1
21,14905,14906,""
22,14906,24925,1
23,14907,14908,""
24,14908,24926,1
25,14909,14910,""
26,14910,24927,1
27,14911,14912,""
28,14912,24928,1
29,14913,14914,""
30,14914,24929,1
31,14915,14916,""
32,14916,24930,1
33,14917,14918,""
34,14918,24931,1
35,21038,21039,""
36,21039,24932,1
37,21114,21115,""
38,21115,24933,1
39,21116,24934,1
40,21120,21121,""
41,21121,24937,1
42,21122,24938,1
43,21123,21124,""
44,21124,24939,1
45,21125,21126,""
46,21126,24940,1
47,21127,21128,""
48,21128,24941,1
49,21129,24942,1
50,21130,24943,1
51,21131,21132,""
52,21132,21133,""
53,21133,24944,1
54,21134,21135,""
55,21135,24945,1
56,21136,24946,1
57,21137,21138,""
58,21138,24947,1
59,21139,21140,""
60,21140,24948,1
61,21141,24949,1
62,21142,21143,""
63,21143,24950,1
64,21144,24951,1
65,21145,24952,1
66,21146,24953,1
67,21147,21148,""
68,21148,24954,1
69,21149,24955,1
70,21150,21151,""
71,21151,24956,1
72,21152,21153,""
73,21153,24957,1
74,21154,21155,""
75,21155,24958,1
76,21156,21157,""
77,21157,24959,1
78,21158,21159,""
79,21159,24960,1
80,21160,24962,1
81,21161,24963,1
82,21162,21163,""
83,21163,24964,1
84,21164,21165,""
85,21165,24965,1
86,21166,21167,""
87,21167,24966,1
88,21168,21169,""
89,21169,24967,1
90,14815,14816,""
91,14816,14817,""
92,14817,24968,1
93,14818,14819,""
94,14819,14820,""
95,14820,24969,1
96,14821,14822,""
97,14822,24970,1
98,14823,14824,""
99,14824,14825,""
100,14825,24971,1
101,14826,14827,""
102,14827,14828,""
103,14828,24972,1
104,14832,14833,""
105,14833,14834,""
106,14834,24974,1
107,14835,14836,""
108,14836,14837,""
109,14837,24975,1
110,14838,14839,""
111,14839,14840,""
112,14840,24976,1
113,14841,14842,""
114,14842,14843,""
115,14843,24977,1
116,14844,14845,""
117,14845,14846,""
118,14846,24978,1
119,14847,14848,""
120,14848,14849,""
121,14849,24979,1
122,14850,14851,""
123,14851,24980,1
124,14852,24981,1
125,14853,14854,""
126,14854,14855,""
127,14855,24982,1
128,14856,14857,""
129,14857,14858,""
130,14858,24983,1
131,14859,14860,""
132,14860,14861,""
133,14861,24984,1
134,14862,14863,""
135,14863,14864,""
136,14864,24985,1
137,14865,14866,""
138,14866,14867,""
139,14867,24986,1
140,14868,14869,""
141,14869,24987,1
142,14870,14871,""
143,14871,24988,1
144,14872,14873,""
145,14873,24989,1
146,14874,14875,""
147,14875,14876,""
148,14876,24990,1
149,14877,14878,""
150,14878,14879,""
151,14879,24991,1
152,14880,24992,1
153,14881,24993,1
154,20927,20928,""
155,20928,24994,1
156,21034,21035,""
157,21035,24995,1
158,21040,21041,""
159,21041,24997,1
160,21042,24998,1
161,21043,21044,""
162,21044,24999,1
163,21045,21046,""
164,21046,25000,1
165,21047,25001,1
166,21048,21049,""
167,21049,21050,""
168,21050,25002,1
169,21051,21052,""
170,21052,21053,""
171,21053,25003,1
172,21054,21055,""
173,21055,21056,""
174,21056,25004,1
175,21057,25005,1
176,21058,21059,""
177,21059,25006,1
178,21060,21061,""
179,21061,21062,""
180,21062,25007,1
181,21063,21064,""
182,21064,25008,1
183,21065,25009,1
184,21066,21067,""
185,21067,21068,""
186,21068,25010,1
187,21069,21070,""
188,21070,25011,1
189,21071,25012,1
190,21072,21073,""
191,21073,21074,""
192,21074,25013,1
193,21075,21076,""
194,21076,25014,1
195,21077,21078,""
196,21078,25015,1
197,21079,25016,1
198,21080,25017,1
199,21081,21083,""
200,21083,25018,1
201,21085,21086,""
202,21086,25020,1
203,21087,21088,""
204,21088,25021,1
205,21089,21090,""
206,21090,25022,1
207,21091,21092,""
208,21092,25023,1
209,21093,21094,""
210,21094,21095,""
211,21095,25024,1
212,21096,21097,""
213,21097,21098,""
214,21098,25025,1
215,21099,21100,""
216,21100,21101,""
217,21101,25026,1
218,21102,21103,""
219,21103,21104,""
220,21104,25027,1
221,21105,21106,""
222,21106,21107,""
223,21107,25028,1
224,21108,25029,1
225,21109,21110,""
226,21110,25030,1
227,21111,25031,1
228,21112,25032,1
229,21113,25033,1
230,14752,14753,""
231,14753,14754,""
232,14754,25034,1
233,14755,14756,""
234,14756,14757,""
235,14757,25035,1
236,14758,14759,""
237,14759,14760,""
238,14760,25036,1
239,14761,25037,1
240,14762,14763,""
241,14763,14764,""
242,14764,25038,1
243,14765,14766,""
244,14766,14767,""
245,14767,25039,1
246,14768,14769,""
247,14769,14770,""
248,14770,25040,1
249,14771,25041,1
250,14776,14777,""
251,14777,14778,""
252,14778,25044,1
253,14779,14780,""
254,14780,14781,""
255,14781,25045,1
256,14782,14783,""
257,14783,14784,""
258,14784,25046,1
259,14785,14786,""
260,14786,14787,""
261,14787,25047,1
262,14788,14789,""
263,14789,14790,""
264,14790,25048,1
265,14791,14792,""
266,14792,14793,""
267,14793,25049,1
268,14794,14795,""
269,14795,14796,""
270,14796,25050,1
