"rownum","BaseItemTypesKey","HeistAreasKey","i32"
0,10097,0,45
1,10098,1,0
2,10099,2,0
3,10100,3,0
4,10119,0,0
5,10101,4,0
6,10102,5,0
7,10103,6,45
8,10104,7,0
9,10105,8,0
10,10120,1,0
11,10121,8,0
12,10122,1,0
13,10123,7,0
14,10124,3,0
15,10125,0,0
16,10126,5,0
17,10127,2,0
18,10128,2,0
19,10129,7,0
20,10130,8,0
21,10131,3,0
22,10132,0,0
23,10133,0,0
24,10134,2,0
25,10135,7,0
26,10136,4,0
27,10137,7,0
28,10138,7,0
29,10139,0,0
30,10140,1,0
31,10141,1,0
32,10142,3,0
33,10143,1,0
34,10144,7,0
35,10145,1,0
36,10146,8,0
37,10147,8,0
38,10148,2,81
39,10149,8,0
40,10150,8,0
41,10151,8,0
42,10152,8,81
