"rownum","BlightTowersKey","i32","MonsterVarietiesKey","Cost","i32"
0,0,1,7661,0,0
1,1,1,7662,100,0
2,2,1,7663,150,0
3,3,1,7664,300,0
4,4,1,7665,500,0
5,5,1,7666,500,0
6,6,11,7667,100,0
7,7,11,7668,150,0
8,8,11,7669,300,0
9,9,11,7670,500,0
10,10,11,7671,500,0
11,11,45,7672,100,0
12,12,45,7673,150,0
13,13,45,7674,300,0
14,14,45,7675,500,0
15,15,45,7676,500,0
16,16,20,7677,100,0
17,17,20,7678,150,0
18,18,20,7679,300,0
19,19,20,7680,500,0
20,20,20,7681,500,0
21,21,6,7682,100,0
22,22,6,7683,150,0
23,23,6,7684,300,0
24,24,6,7685,500,0
25,25,6,7686,500,0
26,26,1,7687,100,0
27,27,1,7688,150,0
28,28,1,7689,300,0
29,29,1,7690,500,0
30,30,1,7691,500,0
