"rownum","Type","Items"
0,0,"[9889,9891,9890,9892]"
1,1,"[9860,9861,9862,9863,9864]"
2,2,"[9869,9870,9873,9872,9871]"
3,3,"[9878,9879,9880]"
4,4,"[9916,9918,9917]"
5,5,"[9923,9924,9925]"
6,6,"[9930,9931,9932,9933,9934]"
7,7,"[9939,9940,9942,9941]"
8,8,"[9956,9957,9958,9959,9960]"
9,9,"[9909,9910,9911]"
10,10,"[10017,10018,10019,10020]"
11,11,"[9973,9974,9975,9976]"
12,12,"[9901,9902,9904,9903]"
13,14,"[9977,9978,9979]"
14,15,"[10021,10022,10023,10024,10025]"
15,16,"[10012,10013,10014,10015,10016]"
16,23,"[10002,10003,10004,10006,10005]"
17,17,"[9988,9989,9990]"
18,18,"[9991,9993,9992]"
19,19,"[9985,9986,9984,9987]"
20,20,"[9998,9999,10001,10000]"
21,13,"[10007,10008,10009,10010,10011]"
22,21,"[9980,9981,9983,9982]"
23,24,"[9947,9948,9949,9951,9950]"
24,22,"[9994,9995,9996,9997]"
25,25,"[10026,10027,10028,10029,10030,10031,10032]"
