"rownum","BaseItemTypesKey","Regular_WorldAreasKey","Unique_WorldAreasKey","MapUpgrade_BaseItemTypesKey","MonsterPacksKeys","AchievementItem","Regular_GuildCharacter","Unique_GuildCharacter","Tier","Shaped_Base_MapsKey","Shaped_AreaLevel","UpgradedFrom_MapsKey","MapsKey2","MapsKey3","MapSeriesKey","bool","bool","bool"
0,7155,758,759,7167,"[806,800,809,810,801,802,803,804,805,807,808]",166,"A","Å",1,"",0,"",329,426,1,"","",""
1,7156,760,"",7164,"[766,767,768,769,770,771,772,902]",167,"E","",1,"",0,"",326,"",1,"","",""
2,7157,761,"",7166,"[731,732,733,734,735,737]",168,"I","",1,"",0,"",329,"",1,"","",""
3,7158,762,"",7168,"[879,880,881,882]",169,"O","",1,"",0,"",329,"",1,"","",""
4,7159,763,"",7163,[783],170,"U","",1,"",0,"",327,"",1,"","",""
5,7160,764,"",7165,"[794,795,796]",171,"T","",1,"",0,"",327,"",1,"","",""
6,7161,765,766,7169,"[756,757,758,759,760]",172,"N","^",1,"",0,"",328,404,1,"","",""
7,7162,767,"",7168,[924],"","S","",1,"",0,"",328,"",1,"","",""
8,7163,768,"",7172,[895],173,"H","",2,"",0,"",326,"",1,"","",""
9,7164,769,"",7174,"[899,900]",174,"R","",2,"",0,"",326,"",1,"","",""
10,7165,770,"",7171,"[823,824,825]",175,"D","",2,"",0,"",328,"",1,"","",""
11,7166,771,772,7176,"[746,744,745,747,748]",176,"L","Ç",2,"",0,"",327,381,1,"","",""
12,7167,773,"",7173,"[856,857,858,859,860,861,862]",177,"C","",2,"",0,"",329,"",1,"","",""
13,7168,774,"",7175,"[884,887]",178,"M","",2,"",0,"",329,"",1,"","",""
14,7169,775,"",7170,[],179,"W","",2,"",0,"",326,"",1,"","",""
15,7170,776,"",7177,[916],180,"F","",3,"",0,"",326,"",1,"","",""
16,7171,777,"",7181,"[830,831,832,833,834,835]",181,"G","",3,"",0,"",328,"",1,"","",""
17,7172,778,779,7179,"[739,841]",182,"Y","g",3,"",0,"",329,398,1,"","",""
18,7173,780,781,7182,[983],183,"P","À",3,"",0,"",327,403,1,"","",""
19,7174,782,"",7178,"[723,867,724,725,726,727]",184,"B","",3,"",0,"",328,"",1,"","",""
20,7175,783,"",7180,"[773,774,777]",185,"V","",3,"",0,"",327,"",1,"","",""
21,7176,784,"",7181,"[738,928]","","K","",3,"",0,"",326,"",1,"","",""
22,7177,785,"",7184,"[806,800,809,810,801,802,803,804,805,807,808]",186,"J","Ø",4,"",0,"",331,"",1,"","",""
23,7178,787,788,7185,[],187,"X","Ô",4,"",0,"",334,441,1,"","",""
24,7179,789,"",7183,[],188,"Q","&",4,"",0,"",335,"",1,"","",""
25,7180,790,"",7187,"[781,782,783]",189,"Z","",4,"",0,"",336,"",1,"","",""
26,7181,791,"",7186,"[830,831,832,833,834,835]",190,"Ó","",4,"",0,"",336,"",1,"","",""
27,7182,792,793,7188,[],191,"É","Ù",4,"",0,"",331,428,1,"","",""
28,7183,794,"",7189,"[788,789,790,791,792,793]",192,"Á","",5,"",0,"",341,"",1,"","",""
29,7184,795,"",7190,[917],193,"Í","",5,"",0,"",341,"",1,"","",""
30,7185,796,"",7191,[936],194,"Ú","",5,"",0,"",344,"",1,"","",""
