"rownum","Id","WorldAreasKey","BaseItemTypesKeys","SocketColour"
0,"ProxyKey1",1376,[5488],"R_G_B"
1,"ProxyKey2",1376,[5595],"R_G_B"
2,"ProxyKey3",1376,[5264],"R_G_B"
3,"ProxyKey4",1376,[5773],"R_G_B"
4,"ProxyKey5",1376,[5734],"R_G_B"
5,"ProxyKey6",1376,[5460],"R_G_B"
6,"ProxyKey7",1376,[5432],"R_G_B"
7,"ProxyKey8",1376,[5379],"R_G_B"
8,"ProxyKey9",1376,[5290],"R_G_B"
9,"ProxyKey28",1376,[6170],""
10,"ProxyKey29",1376,[6193],""
11,"ProxyKey30",1376,[5832],"R_G_B"
12,"ProxyKey31",1376,[1],""
13,"ProxyKey32",1376,[1],""
14,"ProxyKey33",1376,[1],""
15,"ProxyKey34",1376,[1],""
16,"ProxyKey35",1376,[1],""
17,"ProxyKey10",1376,[6393],""
18,"ProxyKey11",1376,[6400],""
19,"ProxyKey12",1376,[6401],""
20,"ProxyKey13",1376,[6404],""
21,"ProxyKey14",1376,[6408],""
22,"ProxyKey15",1376,[6412],""
23,"ProxyKey16",1376,[6418],""
24,"ProxyKey17",1376,[6420],""
25,"ProxyKey18",1376,[6456],""
26,"ProxyKey19",1376,[6458],""
27,"ProxyKey20",1376,[6461],""
28,"ProxyKey21",1376,[6484],""
29,"ProxyKey22",1376,[6514],""
30,"ProxyKey23",1376,[6532],""
31,"ProxyKey24",1376,[6535],""
32,"ProxyKey25",1376,[6572],""
33,"ProxyKey26",1376,[6627],""
34,"ProxyKey27",1376,[6648],""
35,"ProxyKey36",1376,[6668],""
36,"ProxyKey37",1376,[6674],""
37,"ProxyKey38",1376,[6678],""
