"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues","bool","bool","bool","bool"
0,"InnerTreasure",[7136],"",[],[],[],"","","",""
1,"DropVaalItem",[7143],"",[],[],[],"","","",""
2,"AlwaysIgnite",[],"",[],"[4987,610]","[1,100]","","","",""
3,"RandomCurseOnMeleeHit",[],"",[],[1226],[100],"","","",""
4,"Maimed",[],497,"[-30,1]",[],[],"","","",""
5,"AlwaysShock",[],"",[],"[4986,658]","[1,100]","","","",""
6,"TormentedExperimenterPossess","[9014,9105,9190,9192]","",[],[],[],"","","",""
7,"TormentedBlasphemerPossess","[9017,9103,9190,9192]","",[],[],[],"","","",""
8,"TormentedNecromancerPossess","[9020,9105,9190,9192]","",[],[],[],"","","",""
9,"TormentedArsonistPossess","[9023,9105,9190,9192]","",[],[],[],"","","",""
10,"TormentedThiefPossess","[9052,9106,9190,9192]","",[],[],[],"","","",""
11,"TormentedMutilatorPossess","[9065,9105,9190,9192]","",[],[],[],"","","",""
12,"TormentedCharlatanPossess","[9033,9105,9190,9192]","",[],[],[],"","","",""
13,"TormentedCannibalPossess","[9058,9105,9190,9192]","",[],[],[],"","","",""
14,"TormentedPoisonerPossess","[9026,9105,9190,9192]","",[],[],[],"","","",""
15,"TormentedCorrupterPossess","[9029,9106,9190,9192]","",[],[],[],"","","",""
16,"TormentedThugPossess","[9036,9103,9190,9192]","",[],[],[],"","","",""
17,"TormentedRoguePossess","[9039,9103,9040,9190,9192]","",[],[],[],"","","",""
18,"TormentedFishermanPossess","[9042,9106,9190,9192]","",[],[],[],"","","",""
19,"TormentedLibrarianPossess","[9045,9106,9190,9192]","",[],[],[],"","","",""
20,"TormentedCutthroatPossess","[9049,9103,9190,9192]","",[],[],[],"","","",""
21,"TormentedSpyPossess","[9055,9103,9190,9192]","",[],[],[],"","","",""
22,"TormentedMartyrPossess","[9062,9105,9190,9192]","",[],[],[],"","","",""
23,"TormentedEmbezzlerPossess","[9068,9106,9190,9192]","",[],[],[],"","","",""
24,"TormentedCounterfeiterPossess","[9074,9105,9190,9192]","",[],[],[],"","","",""
25,"TormentedWarlordPossess","[9077,9103,9190,9192]","",[],[],[],"","","",""
26,"TormentedFreezerPossess","[9081,9105,9190,9192]","",[],[],[],"","","",""
27,"TormentedSmugglerPossess","[9085,9083,9106,9190,9192]","",[],[],[],"","","",""
28,"MapSupporterEssenceDaemon","[35479,35480,35481,35482,35483,35484,35485,35486,35487]","",[],[],[],1,"","",""
29,"MonsterSupporterEnrageDaemon",[35488],"",[],[],[],"","","",""
30,"MonsterUberMapShaperTouched",[5837],"",[],[],[],"","","",""
31,"MonsterScarabUberScarab5",[18583],"",[],[],[],"","","",""
