"rownum","Id","bool","bool","rid","rid","bool","Icon","bool","Description","[string]","Rooms","string","bool"
0,"Explore","","",235,234,"","","","","[""Abandoned Library"",""Decrepit Cellar"",""Halls of Worship"",""Undercroft""]","[0,5]","",""
1,"Arena","",1,237,236,"","","","","[""Templar Annals"",""Battleground"",""Infernum"",""Desecrated Crypts""]","[1,5]","",""
2,"Lair","",1,237,236,"","","","","[""Chambers of Inscription"",""Derelict Caverns"",""Unholy Lair"",""Lost Catacombs""]","[2,5]","",""
3,"Maze","","",235,234,"","","","","[""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles""]",[5],"",""
4,"Gauntlet","","",235,234,"","","","","[""Holy Trials"",""Gauntlet"",""Crucible"",""Entombment""]","[4,5]","",""
5,"Miniboss","",1,241,240,"","",1,"","[""Scriptorium"",""Reliquary"",""Sanctum Bellum"",""Mausoleum""]","[3,5,9]","",""
6,"Vault","","",235,234,"","","","","[""Repository"",""Treasury"",""Forsaken Arcae"",""Templar Coffers""]",[5],"",""
7,"Puzzle","","",239,238,"","","","","[""Puzzle"",""Conundrum"",""Enigma"",""Quandary""]",[5],"",""
8,"Boss","","",243,244,1,"",1,"","[""Candlelit Chapel"",""Experimentation Chamber"",""Hall of Mirrors"",""Sanctum Sanctorum""]",[6],"",""
9,"Merchant",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MerchantIcon","","Contains Merchant","[""Merchant"",""Merchant"",""Merchant"",""Merchant""]",[],"",""
10,"Fountain",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/HealingFountainIcon","","Contains Fountain","[""Fountain"",""Fountain"",""Fountain"",""Fountain""]",[],"",""
11,"Deal",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/LyciaPactIcon","","Contains Accursed Pact","[""Accursed Pact"",""Accursed Pact"",""Accursed Pact"",""Accursed Pact""]",[],"",""
12,"Deferral",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/CurrencyRewardIcon","","Offers Items on Completion","[""Offer"",""Offer"",""Offer"",""Offer""]",[],"",1
13,"CurseFountain",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/CurseFountainIcon","","Contains Afflicted Fountain","[""Afflicted Fountain"",""Afflicted Fountain"",""Afflicted Fountain"",""Afflicted Fountain""]",[],"",""
14,"BoonFountain",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/BoonFountainIcon","","Contains Benevolent Fountain","[""Benevolent Fountain"",""Benevolent Fountain"",""Benevolent Fountain"",""Benevolent Fountain""]",[],"",""
15,"RainbowFountain",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/RainbowFountainIcon","","Contains Radiant Fountain","[""Radiant Fountain"",""Radiant Fountain"",""Radiant Fountain"",""Radiant Fountain""]",[],"",""
16,"Treasure",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/TreasureIcon","","Contains Major Treasure Reward","[""Major Treasure"",""Major Treasure"",""Major Treasure"",""Major Treasure""]",[],"",""
17,"TreasureMinor",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/MinorTreasureIcon","","Contains Minor Treasure Reward","[""Minor Treasure"",""Minor Treasure"",""Minor Treasure"",""Minor Treasure""]",[],"",""
18,"Final",1,"","","","","Art/2DArt/UIImages/InGame/Sanctum/GargoyleBossIcon","","","[""Candlelit Chapel"",""Candlelit Chapel"",""Candlelit Chapel"",""Candlelit Chapel""]",[],"",""
