"rownum","Id","Projectile","bool","bool","bool","i32"
0,0,13,"","","",0
1,1,31,"","","",0
2,2,74,"","","",0
3,3,89,"","","",0
4,4,74,"","","",0
5,5,95,"","","",0
6,6,20,"","","",0
7,7,98,"","","",0
8,8,117,"","","",0
9,9,60,"","","",0
10,10,125,"","","",0
11,11,126,"","","",0
12,12,140,"","","",0
13,13,160,"","","",0
14,14,204,"","","",0
15,15,226,"","","",0
16,16,277,"","","",0
17,17,278,"","","",0
18,18,284,"","","",0
19,19,210,"","","",0
20,20,266,"","","",0
21,21,304,"","","",0
22,22,121,"","","",0
23,23,267,"","","",0
24,24,323,"","","",0
25,25,322,"","","",0
26,26,329,"","","",0
27,27,379,"","","",0
28,28,400,"","","",0
29,29,409,"","","",0
30,30,429,"","","",0
31,31,438,"","","",0
32,32,439,"","","",0
33,33,440,"","","",0
34,34,441,"","","",0
35,35,442,"","","",0
36,36,443,"","","",0
37,37,445,"","","",0
38,38,448,"","","",0
39,39,538,"","","",0
40,40,539,"","","",0
41,41,540,"","","",0
42,42,570,"","","",0
43,43,560,"","","",0
44,44,582,"","","",0
45,45,506,1,"","",0
46,46,577,"","","",0
47,47,583,"","","",0
48,48,586,"","","",0
49,49,587,"","","",0
50,50,584,"","","",0
51,51,595,"","","",0
52,52,600,"","","",0
53,53,603,"","","",0
54,54,608,"","","",0
55,55,618,"","","",0
56,56,624,"","","",0
57,57,625,"","","",0
58,58,626,"","","",0
59,59,627,"","","",0
60,60,628,"","","",0
61,61,629,"","","",0
62,62,630,"","","",0
63,63,631,"","","",0
64,64,632,"","","",0
65,65,633,"","","",0
66,66,634,"","","",0
67,67,635,"","","",0
68,68,562,"","","",0
69,69,677,"","","",0
70,70,678,1,1,"",0
71,71,695,"","","",0
72,72,686,1,"","",0
73,73,702,"","","",0
74,74,682,"","","",0
75,75,685,1,"","",0
76,76,720,"","","",0
77,77,608,"","","",0
78,78,703,"","","",0
79,79,704,"","","",0
80,80,564,"","","",0
81,81,566,"","","",0
82,82,785,"","","",0
83,83,814,1,"","",0
84,84,794,"","","",0
85,85,815,1,"","",0
86,86,817,"","","",0
87,87,820,1,"","",10
88,88,821,1,"","",0
89,89,822,1,"","",0
90,90,60,"","","",0
91,91,828,"",1,"",0
92,92,831,"","","",0
93,93,832,1,"","",0
94,94,823,1,"","",0
95,95,839,1,"","",0
96,96,840,1,"","",10
97,97,842,1,"","",5
98,98,843,1,"","",5
99,99,858,1,"","",5
100,100,860,"","","",0
101,101,861,1,"","",0
102,102,865,1,"","",0
103,103,873,1,"","",0
104,104,859,1,"","",0
105,105,886,"","","",0
106,106,878,"","","",0
107,107,891,"","","",0
108,108,894,"","","",0
109,109,898,"","","",0
110,110,905,1,"","",0
111,111,909,"","","",0
112,112,912,"","","",0
113,113,913,1,"","",7
114,114,935,"","","",0
115,115,937,"","","",0
116,116,127,"","","",0
117,117,942,1,"","",60
118,118,226,"","","",0
119,119,943,1,"","",100
120,120,961,"","","",0
121,121,956,"",1,"",0
122,122,964,"","","",0
123,123,957,"",1,"",0
124,124,969,"","","",0
125,125,970,"","","",0
126,126,971,"",1,"",0
127,127,977,"","","",0
128,128,955,"",1,"",0
129,129,1009,"","","",0
130,130,1010,"","","",0
131,131,1011,"","","",0
132,132,1012,"","","",0
133,133,1009,"","","",0
134,134,1010,"","","",0
135,135,1013,"",1,"",0
136,136,1014,"",1,"",0
137,137,1030,"","","",0
138,138,1038,"","","",0
139,139,106,1,"","",0
140,140,1059,1,"","",0
141,141,1076,"","",1,0
142,142,1077,"","",1,0
143,143,1082,1,"","",0
144,144,1095,"","","",0
145,145,1096,"",1,"",0
146,146,1097,"",1,"",0
147,147,1105,"","","",0
148,148,1106,"","","",0
149,149,1107,"","","",0
150,150,1121,"","","",0
151,151,1129,"","","",0
152,152,1130,"","","",0
153,153,1134,1,"","",0
154,154,1149,1,"","",30
155,155,1151,"","","",0
156,156,1150,1,"","",30
157,157,21,"","","",0
158,158,618,"","","",0
159,159,703,"","","",0
160,160,1218,"",1,"",0
161,161,1223,"","","",0
162,162,1252,"",1,"",0
163,163,1255,"","","",0
164,164,1262,"",1,"",0
165,165,1263,"","","",0
166,166,1264,"","","",0
167,167,1267,1,"","",0
168,168,1268,"","","",0
169,169,1269,"","","",0
170,170,1270,"","","",0
171,171,1282,"","","",10
172,172,1283,"","","",0
173,173,1286,"","","",0
174,174,1294,1,"","",5
175,175,1295,1,"","",5
