"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5639,100,0,25,100
1,5640,100,0,25,100
2,5641,100,0,25,100
3,5642,100,0,25,100
4,5643,100,0,25,100
5,5644,100,10,100,100
6,5645,100,10,100,100
7,5646,100,10,100,100
8,5647,100,10,100,100
9,5648,100,25,100,100
10,5649,100,25,100,100
11,5652,100,25,100,100
12,5655,100,25,100,100
13,5658,100,25,100,100
14,5661,100,46,100,100
15,5664,100,46,100,100
16,5667,100,46,100,100
17,5670,100,46,100,100
18,5673,100,46,100,100
19,5676,20,60,100,40
20,5677,20,60,100,40
21,5678,20,60,100,40
22,5679,20,60,100,40
23,5680,20,60,100,40
24,5681,20,60,100,40
25,5682,20,60,100,40
26,5683,20,60,100,40
27,5684,20,60,100,40
