"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey","rid"
0,"Hatred",1,"",2708,20103
1,"Woe",1,"",2709,20104
2,"Greed",1,"",2710,20105
3,"Contempt",1,"",2711,20106
4,"Sorrow",2,"",2712,20107
5,"Anger",2,"",2713,20108
6,"Torment",2,"",2714,20109
7,"Fear",2,"",2715,20110
8,"Suffering",3,"",2716,20111
9,"Rage",3,"",2718,20112
10,"Wrath",3,"",2717,20113
11,"Doubt",3,"",2719,20114
12,"Anguish",4,"",2720,20115
13,"Loathing",4,"",2721,20116
14,"Spite",4,"",2723,20117
15,"Zeal",4,"",2722,20118
16,"Misery",5,"",2724,20119
17,"Dread",5,"",2725,20120
18,"Scorn",5,"",2726,20121
19,"Envy",5,"",2727,20122
20,"Hysteria",6,1,2728,20123
21,"Insanity",6,1,2729,20124
22,"Horror",6,1,2730,20125
23,"Delirium",6,1,2731,20126
24,"NotEssence",0,"",2732,20127
