"rownum","Item","Pack","Description"
0,11258,14,"Pack monsters are Harmless Frogs"
1,11259,16,"Pack monsters are Rats"
2,11260,485,"Pack monsters can drop Splinters of Xoph"
3,11261,486,"Pack monsters can drop Splinters of Tul"
4,11262,487,"Pack monsters can drop Splinters of Esh"
5,11263,488,"Pack monsters can drop Splinters of Uul'Netol"
6,11264,489,"Pack monsters can drop Splinters of Chayula"
7,11265,490,"Pack monsters reward Sulphite on death"
8,11266,491,"Pack Monsters can drop Karui Tattoos"
9,11267,492,"Pack Monsters can drop Karui Tattoos"
10,11268,493,"Pack Monsters can drop Karui Tattoos"
11,11269,494,"Pack Monsters can drop Karui Tattoos"
12,11270,495,"Pack Monsters can drop Karui Tattoos"
13,11271,496,"Pack Monsters can drop Karui Tattoos"
14,11272,497,"Pack Monsters can drop Karui Tattoos"
15,11273,498,"Pack Monsters can drop Karui Tattoos"
16,11274,499,"Pack Monsters can drop Karui Tattoos"
17,11275,500,"Pack Monsters can drop Karui Tattoos"
18,11276,501,"Pack monsters can drop Abyssal Jewels"
19,11277,502,"Pack monsters can drop Tainted Currency"
20,11278,503,"Pack monsters can drop Tainted Currency"
21,11279,504,"Pack monsters can drop Tainted Currency"
22,11280,505,"Gemling Pack Leader drops an additional Quality Gem"
23,11281,506,"Gemling Pack Leader drops an additional Quality Gem"
24,11282,507,"Gemling Pack Leader drops an additional Quality Gem"
25,11283,508,"Gemling Pack Leader drops an additional Quality Gem"
26,11284,509,"Gemling Pack Leader drops an additional Quality Gem"
27,11285,510,"Pack monsters can drop Broken Circle Artifacts"
28,11286,511,"Pack monsters can drop Order of the Chalice Artifacts"
29,11287,512,"Pack monsters can drop Black Scythe Artifacts"
30,11288,513,"Pack monsters can drop Knights of the Sun Artifacts"
31,11289,514,"Monster has greatly increased Life"
32,11290,515,"Pack monsters reward greatly increased Experience"
33,11291,516,"Pack monsters reward greatly increased Experience"
34,11292,517,"Pack monsters reward greatly increased Experience"
35,11293,518,"Pack monsters reward greatly increased Experience"
36,11294,519,"Pack monsters reward greatly increased Experience"
37,11295,520,"Pack monsters reward greatly increased Experience"
38,11296,521,"Pack monsters reward greatly increased Experience"
39,11297,522,"Pack monsters can drop Omens"
40,11298,523,"Pack monsters can drop Omens"
41,11299,524,"Pack monsters can drop Omens"
42,11300,525,"Pack monsters can drop Timeless Karui Splinters "
43,11301,526,"Pack monsters can drop Timeless Eternal Empire Splinters "
44,11302,527,"Pack monsters can drop Timeless Maraketh Splinters "
45,11303,528,"Pack monsters can drop Timeless Templar Splinters "
46,11304,529,"Pack monsters can drop Timeless Vaal Splinters "
47,11325,530,"Pack monsters can drop Contracts and Rogue Markers\r\nPack monsters a have chance to leave corpses with a Special Craft"
48,11326,531,"Pack monsters can drop Shaper Influenced items"
49,11327,532,"Pack monsters can drop Elder Influenced items"
50,11328,536,"Pack monsters can drop Warlord Influenced items"
51,11329,534,"Pack monsters can drop Redeemer Influenced items"
52,11330,533,"Pack monsters can drop Crusader Influenced items"
53,11331,535,"Pack monsters can drop Hunter Influenced items"
54,11332,933,"Pack monsters can drop Omens\r\nPack monsters a have chance to leave corpses with a Special Craft"
55,11333,934,"Pack monsters can drop Expedition Artifacts\r\nPack monsters a have chance to leave corpses with a Special Craft"
56,11334,935,"Pack monsters can drop Abyssal Jewels\r\nPack monsters a have chance to leave corpses with a Special Craft"
57,11335,936,"Pack monsters a have chance to leave corpses with a Special Craft"
