"rownum","rid","rid","HASH32","Description","Achievement","rid","rid"
0,34,1229,-245757592,"Sends a wave of ice out in a circle, Freezing all enemies within 50 units",[9744],520,533
1,35,1230,1521726936,"Forms a volcano that erupts molten projectiles, sinking back into the earth after 20 seconds",[9745],520,533
2,36,1231,769958569,"Launches hooks at all enemies within 60 units, stunning them and pulling them in",[9746],520,533
3,37,1234,-360582733,"Revives all Ancestral Totems within 50 units",[9747],520,533
4,38,1235,1883173745,"Revives the nearest Ancestral Totem",[9748],520,533
5,39,1236,466918693,"Bursts healing pulses in a circle for 20 seconds",[9749],520,533
6,40,1237,1576526681,"Fully heals all Teammates",[9750],520,533
7,41,1238,820769034,"Drains the Life from nearby Enemy Corpses, preventing them from respawning for 10 seconds",[9751],520,533
8,42,1239,1309506545,"Encases all enemies within 50 units in jade for 10 seconds",[9752],520,533
9,43,1240,-1878223103,"Buffs all Teammates within 60 units for 20 seconds, making them invulnerable to damage and unable to be interrupted when banishing totems",[9753],520,533
10,44,1241,56948661,"Constructs a very long wall",[9754],520,533
11,45,1242,1395727638,"Casts a Tidal Wave which rolls forwards, crashing on the first Enemy it hits",[9755],520,533
12,46,1243,-1388200263,"Charges a beam of lightning, unleashing it after a short time. This beam can shock Enemies.",[9756],520,533
13,60,1266,-68480526,"Pulls all Teammate totems within 40 units inwards",[9757],520,533
14,61,1267,1002101423,"Provides more Attack Damage to all Teammates in an area",[9758],520,533
15,62,1268,738583123,"Provides more Spell Damage to all Teammates in an area",[9759],520,533
16,63,1270,283605583,"Creates shocked ground in a radius of 60 for 30 seconds.",[9760],520,533
17,64,1271,-539398206,"Repeatedly Stuns all enemies in within 40 units for 20 seconds",[9761],520,533
18,65,1272,1857174536,"All Ancestral Totems within 60 units are immune to banishing for 20 seconds",[9762],520,533
19,66,1280,1612667464,"Adds a buff to all Teammates that creates a highly damaging explosion of fire when they die",[9763],520,533
20,67,1281,957430105,"Returns all Teammates to a location near their Ancestral Totems",[9764],520,533
21,68,1282,-207180052,"Creates a proximity shield for 20 seconds",[9765],520,533
22,69,1283,1989562287,"Removes all ailments from Teammates within 60 units and gives them ailment immunity for 20 seconds",[9766],520,533
23,70,1284,-1472810117,"Summons multiple stampedes of spiritual boars that charge forwards",[9767],520,533
24,71,1285,1140691734,"All Teammates leech 100% of damage they deal as life to their Ancestral Totems for 20 seconds",[],520,533
25,72,1286,983355690,"All enemies within 60 units banish totems at a slower rate for 30 seconds",[],520,533
26,73,1287,-1545199319,"Creates a whirlwind of air that moves forward, giving all Teammates inside it Tailwind",[],520,533
