"rownum","StatsKey","MonsterPacksKeys"
0,16727,"[1860,1876,1877]"
1,16728,"[1866,1876,1877]"
2,16729,"[1872,1876,1877]"
3,16730,"[1873,1876,1877]"
4,16731,"[1874,1876,1877]"
5,1016,"[723,724,725,726,727,728,729,730,867]"
6,1015,"[779,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,817,922,941,946,1020,1024,818,819,820,821,822,1053,1054,1055]"
7,1017,"[745,746,747,748,749]"
8,1018,"[788,789,790,791,792,793,829]"
9,1019,"[766,767,768,769,770,771,772,902,903,904]"
10,1020,"[739,781,782,783,788,806,846,847,848,867,868,869,870,871,872,873,913,955,962]"
11,2009,"[737,744,755,773,828,905,927,936,938,753,1027,1029,1030,1031,1037]"
12,2010,"[879,880,881,882,883]"
13,5282,"[962,963,964,965,966,967,968]"
14,2011,"[786,976,958,919,920,921]"
15,5601,"[830,831,832,833,834,835,836,837,838]"
16,5602,"[874,875,876,877]"
17,6292,"[1005,1006,1007,1008,1013,1014,1015,1016,1017,892,891]"
18,6293,"[1009,1010,1011,1012,1021,1022,1023,1026,889]"
19,6294,"[740,741,742,981,997,998,1039,743]"
20,6857,"[974,975,976,977,978,979,1046,1042,1043,1044,1045,1041,1063,1064]"
21,7957,"[839,840,841,842,843,844,845,846,847,848,849]"
22,19130,"[924,1002,1490]"
23,19148,"[2927,2928]"
24,19150,"[2929,2930]"
