"rownum","rid","i32","i32","rid","bool","string","bool","rid"
0,0,0,0,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingRing/TrackingRingFootstepsIcon",1,""
1,1,0,1,11,1,"","",""
2,1,1,2,17,1,"","",""
3,1,2,3,12,1,"","",""
4,1,3,4,16,1,"","",""
5,1,4,5,8,1,"","",""
6,1,5,6,7,1,"","",""
7,1,6,7,2,1,"","",""
8,1,7,8,15,1,"","",""
9,1,8,9,32,1,"","",""
10,1,9,10,33,1,"","",""
11,1,10,11,29,1,"","",""
12,1,11,12,31,1,"","",""
13,1,12,13,30,1,"","",""
14,1,13,14,9,1,"","",""
15,1,14,15,13,1,"","",""
16,1,15,16,38,1,"","",""
17,1,16,17,12222,"","","",""
18,1,17,18,34,1,"","",""
19,1,18,19,6,1,"","",""
20,2,0,20,"",1,"Art/2DArt/UIImages/InGame/MTX/KrampusTradeWindow/KrampusPlayerTradeIcon","",""
