"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts","bool","i32","[rid]"
0,"Disabled","[7740,7741,7742,7743]",0,"",0,"",1,"","","",[],"",1344,[]
1,"Atziri1","[7668,7669,7670,7671]",756,24,0,"",0,"","","",[],"",1344,[]
2,"Atziri2","[7673,7674,7675,7676]",757,24,0,"",0,"","","",[],"",1344,[]
3,"VaalFragment1_1",[7668],1509,"",72,"",0,"","","",[],1,1344,[]
4,"VaalFragment1_2",[7669],1509,"",70,"",0,"","","",[],1,1344,[]
5,"VaalFragment1_3",[7670],1509,"",71,"",0,"","","",[],1,1344,[]
6,"VaalFragment1_4",[7671],1509,"",69,"",0,"","","",[],1,1344,[]
7,"VaalFragment2_1",[7673],1509,"",74,"",0,"","","",[],1,1344,[]
8,"VaalFragment2_2",[7674],1509,"",76,"",0,"","","",[],1,1344,[]
9,"VaalFragment2_3",[7675],1509,"",75,"",0,"","","",[],1,1344,[]
10,"VaalFragment2_4",[7676],1509,"",73,"",0,"","","",[],1,1344,[]
11,"Disabled2","[7678,7679,7680,7681]",0,"",0,"",0,"","","",[],"",1344,[]
12,"ShapersRealm","[7683,7684,7685,7686]",1250,20,0,"",0,"",1,"",[],"",1344,[]
13,"EldersRealm","[7688,7689,7690,7691]",1288,108,0,"",0,"",1,"",[],"",1344,[]
14,"UberEldersRealm","[7693,7694,7695,7696]",1289,20,0,"",0,"",1,"",[],"",1344,[]
15,"BreachDomainFire",[7704],1063,"",0,"",0,"","","",[],"",1344,[]
16,"BreachDomainCold",[7705],1064,"",0,"",0,"","","",[],"",1344,[]
17,"BreachDomainLightning",[7706],1065,"",0,"",0,"","","",[],"",1344,[]
18,"BreachDomainPhysical",[7707],1061,"",0,"",0,"","","",[],"",1344,[]
19,"BreachDomainChaos",[7708],1062,"",0,"",0,"","","",[],"",1344,[]
20,"ClassicVault",[7744],278,27,0,"",0,"","","",[],"",1344,[]
21,"MaligaroMap",[6342],109,"",0,1282,0,"","","",[],"",1344,[]
22,"340Vault",[7745],279,27,0,"",0,"","","",[],"",1344,[]
23,"UberVenariusVault",[7747],281,27,0,"",0,"","","",[],"",1344,[]
24,"UberEaterOfWorldsVault",[7748],282,27,0,"",0,"","","",[],"",1344,[]
25,"UberMavenVault",[7749],283,27,0,"",0,"","","",[],"",1344,[]
26,"UberSearingExarchVault",[7750],284,27,0,"",0,"","","",[],"",1344,[]
27,"UberSirusVault",[7751],285,27,0,"",0,"","","",[],"",1344,[]
28,"UberShaperVault",[7752],286,27,0,"",0,"","","",[],"",1344,[]
29,"UberUberElderVault",[7753],287,27,0,"",0,"","","",[],"",1344,[]
30,"CelestialReliquaryVault",[7754],288,"",0,"",0,"","","",[],"",1344,[]
31,"CelestialReliquaryVaultTencent",[7755],288,"",0,"",0,"","","",[],"",1344,[]
32,"BreachDomainFire2",[7709],1068,"",0,"",0,"","","",[],"",1344,[]
33,"BreachDomainCold2",[7710],1069,"",0,"",0,"","","",[],"",1344,[]
34,"BreachDomainLightning2",[7711],1070,"",0,"",0,"","","",[],"",1344,[]
35,"BreachDomainPhysical2",[7712],1066,"",0,"",0,"","","",[],"",1344,[]
