"rownum","BaseItemTypesKey","i32","rid","rid"
0,355,50,2,9801
1,5152,50,2,9804
2,580,20,2,9798
3,579,15,3,9799
4,577,10,0,9797
5,355,10,2,9800
6,5152,10,2,9803
7,5152,5,1,9802
8,8398,1,8,""
9,8205,1,8,""
10,8007,1,8,""
11,7799,1,0,""
12,8402,1,2,""
13,8403,1,2,""
14,8285,1,7,""
15,8393,1,3,""
16,8397,1,3,""
17,8121,1,9,""
18,8024,1,4,""
19,7830,1,4,""
20,8286,1,7,""
21,8404,1,2,""
22,8284,1,0,""
23,8144,1,2,""
24,8206,1,4,""
25,8399,1,8,""
26,7863,1,2,""
27,8405,1,2,""
28,7908,1,2,""
29,8061,1,8,""
30,8069,1,3,""
31,8164,1,1,""
32,8287,1,7,""
33,864,1,8,""
34,860,1,8,""
35,4771,1,8,""
36,456,1,9,""
37,592,1,2,""
38,391,1,2,""
39,557,1,2,""
40,558,1,2,""
41,559,1,2,""
42,923,1,2,""
43,560,1,2,""
44,904,1,2,""
45,905,1,2,""
46,919,1,2,""
47,455,1,8,""
48,597,1,2,""
49,598,1,3,""
50,719,1,0,""
51,717,1,0,""
52,484,1,0,""
53,718,1,0,""
54,716,1,0,""
55,642,1,0,""
56,409,1,0,""
57,476,1,0,""
58,589,1,3,""
59,590,1,7,""
60,591,1,3,""
61,583,1,3,""
62,869,1,8,""
63,785,1,2,""
64,783,1,2,""
65,784,1,2,""
66,782,1,2,""
67,827,1,1,""
68,938,1,2,""
69,936,1,2,""
70,937,1,2,""
71,935,1,2,""
72,933,1,2,""
73,922,1,2,""
74,629,1,1,""
75,828,1,1,""
76,394,1,7,""
77,387,1,7,""
78,823,1,1,""
79,821,1,1,""
80,822,1,1,""
81,820,1,1,""
82,824,1,1,""
83,481,1,1,""
84,830,1,1,""
85,896,1,2,""
86,890,1,2,""
87,892,1,2,""
88,891,1,2,""
89,893,1,2,""
90,901,1,2,""
91,895,1,2,""
92,900,1,2,""
93,898,1,2,""
94,899,1,2,""
95,897,1,2,""
96,894,1,2,""
97,902,1,2,""
98,593,1,2,""
99,440,1,1,""
100,655,1,2,""
101,653,1,2,""
102,654,1,2,""
103,652,1,2,""
104,393,1,2,""
105,572,1,1,""
106,595,1,2,""
107,920,1,2,""
108,389,1,7,""
109,906,1,2,""
110,485,1,3,""
111,461,1,3,""
112,372,1,1,""
113,379,1,4,""
114,641,1,2,""
115,594,1,2,""
116,715,1,9,""
117,713,1,9,""
118,494,1,9,""
119,714,1,9,""
120,712,1,9,""
121,495,1,9,""
122,480,1,9,""
123,768,1,3,""
124,766,1,3,""
125,767,1,3,""
126,765,1,3,""
127,699,1,1,""
128,697,1,1,""
129,489,1,1,""
130,698,1,1,""
131,696,1,1,""
132,831,1,1,""
133,924,1,2,""
134,439,1,9,""
135,463,1,9,""
136,411,1,2,""
137,382,1,2,""
138,383,1,2,""
139,620,1,2,""
140,384,1,0,""
141,661,1,4,""
142,659,1,4,""
143,482,1,4,""
144,660,1,4,""
145,658,1,4,""
146,402,1,4,""
147,477,1,4,""
148,396,1,3,""
149,471,1,7,""
150,781,1,8,""
151,779,1,8,""
152,483,1,8,""
153,780,1,8,""
154,778,1,8,""
155,410,1,8,""
156,478,1,8,""
157,756,1,3,""
158,385,1,2,""
159,488,1,9,""
160,458,1,9,""
161,513,1,3,""
162,510,1,8,""
163,735,1,7,""
164,733,1,7,""
165,487,1,7,""
166,734,1,7,""
167,732,1,7,""
168,736,1,7,""
169,737,1,7,""
170,454,1,7,""
171,679,1,3,""
172,619,1,2,""
173,465,1,1,""
174,596,1,2,""
175,435,1,1,""
176,528,1,2,""
177,537,1,7,""
178,545,1,7,""
179,533,1,2,""
180,549,1,3,""
181,553,1,7,""
182,529,1,2,""
183,538,1,7,""
184,546,1,7,""
185,534,1,2,""
186,550,1,3,""
187,554,1,7,""
188,650,1,7,""
189,722,1,7,""
190,491,1,7,""
191,530,1,2,""
192,540,1,7,""
193,547,1,7,""
194,536,1,2,""
195,551,1,3,""
196,555,1,7,""
197,531,1,2,""
198,539,1,7,""
199,548,1,7,""
200,535,1,2,""
201,552,1,3,""
202,556,1,7,""
203,630,1,7,""
204,616,1,7,""
205,479,1,7,""
206,657,1,8,""
207,571,1,7,""
208,395,1,2,""
209,397,1,3,""
210,399,1,9,""
211,390,1,2,""
212,829,1,1,""
213,648,1,3,""
214,646,1,2,""
215,644,1,2,""
216,645,1,2,""
217,643,1,2,""
218,868,1,8,""
219,866,1,8,""
220,867,1,8,""
221,865,1,8,""
222,438,1,0,""
223,433,1,2,""
224,925,1,2,""
225,392,1,3,""
226,561,1,2,""
227,562,1,2,""
228,486,1,1,""
229,563,1,2,""
230,564,1,2,""
231,459,1,1,""
232,826,1,1,""
233,565,1,2,""
234,566,1,2,""
235,493,1,9,""
236,567,1,2,""
237,568,1,2,""
238,457,1,9,""
239,388,1,7,""
240,637,1,2,""
241,638,1,9,""
242,639,1,8,""
243,501,1,2,""
244,449,1,2,""
245,443,1,4,""
246,725,1,8,""
247,720,1,8,""
248,858,1,8,""
249,721,1,8,""
250,450,1,0,""
251,834,1,2,""
252,835,1,2,""
253,430,1,0,""
254,724,1,1,""
255,624,1,1,""
256,623,1,1,""
257,741,1,1,""
258,441,1,8,""
259,942,1,2,""
260,422,1,4,""
261,744,1,3,""
262,788,1,1,""
263,423,1,9,""
264,786,1,2,""
265,431,1,9,""
266,636,1,2,""
267,689,1,9,""
268,453,1,9,""
269,686,1,2,""
270,764,1,3,""
271,726,1,7,""
272,739,1,1,""
273,451,1,1,""
274,743,1,1,""
275,738,1,1,""
276,444,1,0,""
277,690,1,2,""
278,419,1,2,""
279,448,1,2,""
280,939,1,2,""
281,943,1,2,""
282,832,1,8,""
283,680,1,7,""
284,687,1,3,""
285,432,1,8,""
286,445,1,7,""
287,447,1,7,""
288,452,1,8,""
289,415,1,7,""
290,622,1,0,""
291,414,1,9,""
292,442,1,8,""
293,4788,1,9,""
294,4789,1,4,""
295,4790,1,7,""
296,4826,1,8,""
297,4828,1,2,""
298,4848,1,1,""
299,4835,1,2,""
300,4823,1,3,""
301,4852,1,2,""
302,4824,1,2,""
303,4822,1,2,""
304,4845,1,2,""
305,4886,1,8,""
306,4846,1,4,""
307,4833,1,2,""
308,4843,1,2,""
309,4825,1,4,""
310,4792,1,7,""
311,4793,1,9,""
312,4794,1,9,""
313,4796,1,2,""
314,4866,1,0,""
315,4883,1,1,""
316,4842,1,3,""
317,4891,1,2,""
318,4857,1,2,""
319,4856,1,2,""
320,4859,1,2,""
321,4805,1,9,""
322,4888,1,2,""
323,4798,1,3,""
324,4799,1,2,""
325,4804,1,4,""
326,4806,1,2,""
327,4802,1,2,""
328,4889,1,2,""
329,4807,1,2,""
330,4810,1,1,""
331,4808,1,2,""
332,4890,1,2,""
333,4869,1,0,""
334,5152,1,2,""
335,434,1,2,""
336,4809,1,2,""
337,4795,1,2,""
338,355,1,2,""
339,462,1,2,""
