"rownum","StatsKey","TagsKeys","bool","i32","bool","bool","bool"
0,10638,[658],1,0,1,"",""
1,10639,[34],1,0,1,"",""
2,10640,[319],1,0,1,"",""
3,10641,[317],1,0,1,"",""
4,10642,[660],1,0,1,"",""
5,10643,[633],1,0,1,"",""
6,10644,[634],1,0,1,"",""
7,10645,"[659,706]",1,0,1,"",""
8,10646,[324],1,0,1,"",""
9,10647,[625],1,0,1,"",""
10,2464,[319],"",1,"","",""
11,2463,[34],"",1,"","",""
12,12441,[313],1,0,"","",""
13,12442,[309],1,0,"","",""
14,12443,[311],1,0,"","",""
15,12444,[310],1,0,"","",""
16,12445,[312],1,0,"","",""
17,12446,[661],1,0,"","",""
18,12447,[323],1,0,"","",""
19,12448,[324],1,0,"","",""
20,12449,[625],1,0,"","",""
21,12450,[634],1,0,"","",""
22,12451,[636],1,0,"","",""
23,12452,[632],1,0,"","",""
24,12502,[316],1,0,"","",""
25,12545,[317],1,0,"","",""
26,12546,[633],1,0,"","",""
27,12847,[],1,0,"","",""
28,14005,[712],1,0,"","",""
29,18150,[320],1,0,"","",""
30,18151,[658],1,0,"","",""
31,18152,"[659,706]",1,0,"","",""
32,3850,[],"",0,1,"",""
33,19526,[],1,0,"","",1
34,19527,[],1,0,"",1,""
