"rownum","rid","[rid]","[i32]"
0,7,[616],[100]
1,8,[621],[100]
2,13,[626],[100]
3,15,[630],[100]
4,25,"[637,639,640]","[100,100,100]"
5,30,[641],[100]
6,31,[646],[100]
7,33,[650],[100]
8,36,[653],[100]
9,49,[662],[100]
10,62,[677],[100]
11,68,"[678,683,684,685]","[100,100,100,100]"
12,77,[690],[100]
13,91,[691],[100]
14,95,[694],[100]
15,100,[695],[100]
16,108,[696],[100]
17,128,"[701,702]","[100,100]"
18,130,"[704,705]","[100,100]"
19,134,"[709,710]","[100,100]"
20,140,[711],[100]
21,139,[713],[100]
22,141,[714],[100]
