"rownum","Id","Monster","Tier","i32","[i32]","Achievements","SeedAnimation","i32","HatchAnimation","SeedType"
0,"DropBearT1Red",8257,1,2,"[110,150,175]",[7020],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
1,"HellionT1Red",8259,1,1,"[110,150,175]",[7021],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
2,"WolfT1Red",8262,1,2,"[110,150,175]",[7022],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",48,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
3,"MonkeyT1Red",8264,1,2,"[110,150,175]",[7023],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
4,"InsectT1Red",8266,1,2,"[110,150,175]",[7024],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_03.ao",43,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
5,"BeastT2Red",8268,2,1,"[110,150,175]",[7055],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
6,"HoundT2Red",8270,2,1,"[110,150,175]",[7056],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
7,"MinerHammerT2Red",8273,2,1,"[110,150,175]",[7057],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",62,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
8,"ChieftainT2Red",8275,2,1,"[110,150,175]",[7058],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
9,"SpikerT2Red",8278,2,1,"[110,150,175]",[7059],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_02/thorn_tier02_03.ao",68,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
10,"BeastT3Red",8281,3,1,"[110,150,175]",[7119],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
11,"HellionT3Red",8284,3,1,"[110,150,175]",[7120],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",47,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
12,"BirddogT3Red",8287,3,1,"[110,150,175]",[7121],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
13,"BrambleHulkT3Red",8289,3,1,"[110,150,175]",[7122],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
14,"InsectSpawnerT3Red",8292,3,1,"[110,150,175]",[7123],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_03/thorn_tier03_03.ao",52,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/tier_01/thorn_tier01_Hatch.ao",1
15,"BearBoss",8369,4,1,"[110,280,375]",[],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/boss/thorn_boss_03.ao",75,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/thorn/boss/thorn_boss_hatch.ao",1
16,"MeleeSpiderT1Green",8295,1,1,"[130,140,150]",[7025],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
17,"WetaT1Green",8298,1,2,"[130,140,150]",[7026],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",40,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
18,"ParasiteT1Green",8301,1,2,"[130,140,150]",[7027],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",40,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
19,"ScorpionT1Green",8304,1,1,"[130,140,150]",[7028],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
20,"ThornSpiderT1Green",8307,1,1,"[130,140,150]",[7029],"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_03.ao",45,"Metadata/Effects/Spells/monsters_effects/LeagueHarvest/monster_plants/scale/tier_01/scale_tier01_Hatch.ao",2
