"rownum","Id","bool","bool","bool","i32","i32","i32","i32","bool","rid","i32","i32","bool","i32","i32","[rid]"
0,"Idle",1,"","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
1,"Melee","","","",-16843010,-16843010,3,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
2,"MeleeWithStep","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
3,"OffMelee","","","",1,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
4,"Run",1,"",1,-16843010,-16843010,-16843010,-16843010,"",16431,-16843010,-16843010,"",-16843010,-16843010,[]
5,"TakeHit","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
6,"Death",1,"","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
7,"Stomp","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
8,"Impale","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
9,"Cleave","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
10,"Charge",1,1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
11,"ChargeEnd","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
12,"ChargeEndAlt","","","",11,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
13,"GroundSlam","",1,"",-16843010,-16843010,104,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
14,"LeapSlam","",1,"",-16843010,-16843010,105,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
15,"DoubleStrike","","","",-16843010,-16843010,106,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
16,"DoubleSlash","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
17,"DoubleSlashOffhand","","","",18,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
18,"DoubleSlashMainhand","","","",-16843010,-16843010,17,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
19,"Sweep","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
20,"SpellProjectile","","","",-16843010,-16843010,-16843010,-16843010,"",16129,-16843010,-16843010,"",-16843010,-16843010,[]
21,"SpellProjectileUpward","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
22,"SpellAreaOfEffect","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
23,"SpellBuff","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
24,"SpellProjectileFire","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
25,"SpellProjectileCold","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
26,"SpellProjectileLightning","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
27,"SpellProjectileChaos","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
28,"SpellProjectileUpwardFire","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
29,"SpellProjectileUpwardCold","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
30,"SpellProjectileUpwardLightning","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
31,"SpellProjectileUpwardChaos","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
32,"SpellAreaOfEffectFire","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
33,"SpellAreaOfEffectCold","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
34,"SpellAreaOfEffectLightning","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
35,"SpellAreaOfEffectChaos","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
