"rownum","Id","[rid]","i32","i32","rid"
0,"anger_aura_end",[842],3,2,""
1,"hatred_aura_end",[843],3,2,""
2,"hatred_aura_end",[1473],3,3,""
3,"wrath_aura_end",[841],3,2,""
4,"haste_aura_end",[812],3,2,""
5,"steelskin_block",[3097],1,0,""
6,"steelskin_block",[5119],1,1,""
7,"steelskin_block",[3098],1,2,""
8,"cremation_explosion",[1664],1,0,""
9,"cremation_explosion",[1664],1,1,""
10,"cremation_explosion",[1815],1,2,""
11,"cremation_explosion",[1840],1,3,""
12,"cremation_explosion",[1667],1,4,""
13,"cremation_explosion",[5338],1,5,""
14,"cremation_explosion",[5491],1,6,""
15,"cremation_explosion",[5513],1,7,""
16,"cremation_explosion",[7188],1,8,""
17,"cremation_geyser",[1665],3,0,""
18,"cremation_geyser",[1665],3,1,""
19,"cremation_geyser",[1816],3,2,""
20,"cremation_geyser",[1841],3,3,""
21,"cremation_geyser",[1668],3,4,""
22,"cremation_geyser",[5337],3,5,""
23,"cremation_geyser",[5490],3,6,""
24,"cremation_geyser",[5512],3,7,""
25,"cremation_geyser",[7189],3,8,""
26,"cremation_impact",[1663],1,0,""
27,"cremation_impact",[1663],1,1,""
28,"cremation_impact",[1814],1,2,""
29,"cremation_impact",[1839],1,3,""
30,"cremation_impact",[1666],1,4,""
31,"cremation_impact",[5336],1,5,""
32,"cremation_impact",[5489],1,6,""
33,"cremation_impact",[5511],1,7,""
34,"cremation_impact",[7190],1,8,""
35,"consecrated_path_slam",[2218],1,0,""
36,"consecrated_path_slam",[2555],1,1,""
37,"consecrated_path_slam",[4476],1,2,""
38,"consecrated_path_slam",[4482],1,3,""
39,"consecrated_path_slam",[6818],1,4,""
40,"consecrated_path_teleport",[2219],1,0,""
41,"consecrated_path_teleport",[2556],1,1,""
42,"consecrated_path_teleport",[4477],1,2,""
43,"consecrated_path_teleport",[4483],1,3,""
44,"consecrated_path_teleport",[6819],1,4,""
45,"consecrated_path_range",[2220],1,0,""
46,"consecrated_path_range",[2557],1,1,""
47,"consecrated_path_range",[4478],1,2,""
48,"consecrated_path_range",[4484],1,3,""
49,"consecrated_path_range",[6820],1,4,""
50,"consecrated_path_slam_ancestral",[4168],1,0,11883
51,"consecrated_path_slam_ancestral",[4479],1,2,11883
52,"consecrated_path_slam_ancestral",[4485],1,3,11883
53,"consecrated_path_teleport_ancestral",[4169],1,0,11883
54,"consecrated_path_teleport_ancestral",[4480],1,2,11883
55,"consecrated_path_teleport_ancestral",[4486],1,3,11883
56,"consecrated_path_range_ancestral",[4170],1,0,11883
57,"consecrated_path_range_ancestral",[4481],1,2,11883
58,"consecrated_path_range_ancestral",[4487],1,3,11883
59,"divine_cry",[5533],1,0,""
60,"divine_cry",[5983],1,2,""
61,"divine_cry",[4426],1,3,""
62,"absolution_blast",[5567],1,0,""
63,"absolution_blast",[5569],1,1,""
64,"absolution_blast_convert",[5607],3,0,""
65,"absolution_blast_convert",[5607],3,1,""
66,"absolution_blast_shockwave",[5568],3,0,14222
67,"absolution_blast_shockwave",[5570],3,1,14222
68,"absolution_blast_lite",[5711],1,0,""
69,"absolution_blast_lite",[5569],1,1,""
70,"absolution_blast_ascended_refesh",[5572],3,0,""
71,"absolution_blast_ascended_refesh",[5572],3,1,""
72,"soulfeast_primary_explode",[5553],1,0,""
73,"soulfeast_wall_explode",[5656],1,0,""
74,"soulfeast_primary_explode",[6422],1,1,""
75,"soulfeast_wall_explode",[6423],1,1,""
76,"mana_void",[5554],3,0,""
77,"mana_void_rect_1",[5555],3,0,""
78,"mana_void_rect_2",[5556],3,0,""
79,"mana_void_rect_3",[5557],3,0,""
80,"mana_void_rect_4",[5558],3,0,""
81,"mana_void_lite",[5704],3,0,""
82,"mana_void_rect_1_lite",[5705],3,0,""
83,"mana_void_rect_2_lite",[5706],3,0,""
84,"mana_void_rect_3_lite",[5707],3,0,""
85,"mana_void_rect_4_lite",[5708],3,0,""
86,"mana_void_unleash",[5709],3,0,""
87,"storm_rain_arrow",[5549],1,0,""
88,"storm_rain_impact",[5546],1,0,""
89,"storm_rain_muzzle_flash",[5565],1,0,""
90,"igniting_flask_flask",[5622],1,0,""
91,"igniting_flask_explode_base",[5603],1,0,""
92,"igniting_flask_explode_base_wall",[5620],1,0,""
93,"igniting_flask_explode_fire",[5604],1,0,14296
94,"igniting_flask_explode_cold",[5605],1,0,14316
95,"igniting_flask_explode_cold_wall",[5621],1,0,14316
96,"igniting_flask_explode_lightning",[5606],1,0,14314
97,"igniting_flask_explode_base_lite",[5676],1,0,""
98,"igniting_flask_explode_base_wall_lite",[5680],1,0,""
99,"igniting_flask_explode_fire_lite",[5677],1,0,14296
100,"igniting_flask_explode_cold_lite",[5678],1,0,14316
101,"igniting_flask_explode_cold_wall_lite",[5681],1,0,14316
102,"igniting_flask_explode_lightning_lite",[5679],1,0,14314
103,"infernal_blow_explode_big",[2152],3,0,""
104,"infernal_blow_explode_small",[2153],3,0,""
105,"infernal_blow_explode_big",[5586],3,1,""
106,"infernal_blow_explode_small",[5587],3,1,""
107,"smoke_mine_poof",[252],3,0,""
108,"smoke_mine_poof",[5589],3,1,""
109,"chain_strike_beam",[3002],3,0,""
110,"chain_strike_area",[3003],1,0,""
111,"chain_strike_area",[5591],1,1,""
112,"chain_strike_kickup",[3005],1,0,""
113,"chain_strike_kickup",[5593],1,1,""
114,"chain_strike_cone",[3004],1,0,""
115,"chain_strike_cone",[5592],1,1,""
116,"chain_strike_circle_area",[3314],1,0,""
117,"chain_strike_circle_area",[5594],1,1,""
118,"arcane_cloak_block",[3097],1,0,""
119,"arcane_cloak_block",[3097],1,1,""
120,"orb_of_storms_cloud",[672],1,0,""
121,"orb_of_storms_cloud",[1618],1,1,""
122,"orb_of_storms_cloud",[5598],1,2,""
123,"orb_of_storms_charged_cloud",[686],1,0,""
124,"orb_of_storms_charged_cloud",[1619],1,1,""
125,"orb_of_storms_charged_cloud",[5596],1,2,""
126,"orb_of_storms_range_indicator",[726],1,0,""
127,"orb_of_storms_range_indicator",[1621],1,1,""
128,"orb_of_storms_range_indicator",[5599],1,2,""
129,"dual_strike_impact_main",[3449],1,0,""
130,"dual_strike_impact_main",[5609],1,2,""
131,"dual_strike_impact_secondary",[3487],1,0,""
132,"dual_strike_impact_secondary",[5610],1,2,""
133,"dual_strike_audio",[162],1,0,""
134,"dual_strike_audio",[5608],1,2,""
135,"dual_strike_surge",[5611],1,2,""
136,"weapon_trap_spinner",[5615],1,0,""
137,"weapon_trap_start",[5616],1,0,""
138,"weapon_trap_end",[5617],1,0,""
139,"weapon_trap_trap",[5664],1,0,""
140,"shield_waves",[5613],1,0,""
141,"shield_waves",[5614],1,1,""
142,"shield_waves_swipe",[5618],1,0,""
143,"shield_waves_swipe",[5619],1,1,""
144,"void_burst",[5514],1,0,""
145,"void_burst_corpse_explosion",[5718],3,0,""
146,"void_burst_buildup",[5639],1,0,""
147,"bladefall",[661],1,0,""
148,"bladefall",[846],1,1,""
149,"bladefall",[1484],1,2,""
150,"bladefall",[662],1,5,""
151,"bladefall",[3969],1,6,""
152,"bladefall",[5643],1,7,""
153,"bladefall_ground_blade",[3928],3,0,11749
154,"bladefall_ground_blade",[3921],3,1,11749
155,"bladefall_ground_blade",[3920],3,2,11749
156,"bladefall_ground_blade","[3922,3923,3924,3925]",3,5,11749
157,"bladefall_ground_blade",[3971],3,6,11749
158,"bladefall_ground_blade",[5644],3,7,11749
159,"bladefall_lite",[3961],1,0,""
160,"bladefall_lite",[3965],1,1,""
161,"bladefall_lite",[3964],1,2,""
162,"bladefall_lite",[3010],1,3,""
163,"bladefall_lite",[3011],1,4,""
164,"bladefall_lite",[3962],1,5,""
165,"bladefall_lite",[3970],1,6,""
166,"bladefall_lite",[5645],1,7,""
167,"blade_blast",[3779],3,0,""
168,"blade_blast",[3956],3,1,""
169,"blade_blast",[3966],3,2,""
170,"blade_blast",[5646],3,3,""
171,"blade_blast_wide",[3911],3,0,""
172,"blade_blast_wide",[3957],3,1,""
173,"blade_blast_wide",[3967],3,2,""
174,"blade_blast_wide",[5647],3,3,""
175,"rage_slash",[5515],3,0,""
176,"rage_slash",[6707],3,1,""
177,"rage_slash_sweep",[5655],1,0,""
178,"rage_slash_sweep",[6708],1,1,""
179,"shock_nova_circle",[3290],1,0,""
180,"shock_nova_circle",[994],1,1,""
181,"shock_nova_circle",[3194],1,2,""
182,"shock_nova_circle",[3452],1,3,""
183,"shock_nova_circle",[5652],1,4,""
184,"shock_nova_circle",[5668],1,5,""
185,"shock_nova_donut",[3291],1,0,""
186,"shock_nova_donut",[993],1,1,""
187,"shock_nova_donut",[5640],1,2,""
188,"shock_nova_donut",[3453],1,3,""
189,"shock_nova_donut",[5653],1,4,""
190,"shock_nova_donut",[5669],1,5,""
191,"boneshatter_shockwave",[5641],3,0,""
192,"boneshatter_shockwave",[6579],3,1,""
193,"cold_snap_impact",[2144],1,0,""
194,"cold_snap_impact",[172],1,1,""
195,"cold_snap_impact",[2237],1,2,""
196,"cold_snap_impact",[2237],1,3,""
197,"cold_snap_impact",[5670],1,4,""
198,"cold_snap_impact",[6891],1,5,""
199,"cold_snap_impact",[6957],1,6,""
200,"cold_snap_secondary_impact",[171],1,1,""
201,"cold_snap_ground_effect",[2145],1,0,""
202,"cold_snap_ground_effect",[2145],1,1,""
203,"cold_snap_ground_effect",[2238],1,2,""
204,"cold_snap_ground_effect",[2393],1,3,""
205,"cold_snap_ground_effect",[5671],1,4,""
206,"cold_snap_ground_effect",[6892],1,5,""
207,"cold_snap_ground_effect",[6958],1,6,""
208,"vaal_cold_snap_ground_effect",[2190],1,0,""
209,"vaal_cold_snap_ground_effect",[2190],1,1,""
210,"vaal_cold_snap_ground_effect",[2239],1,2,""
211,"vaal_cold_snap_ground_effect",[2239],1,3,""
212,"vaal_cold_snap_ground_effect",[5673],1,4,""
213,"vaal_cold_snap_ground_effect",[6894],1,5,""
214,"vaal_cold_snap_ground_effect",[6960],1,6,""
215,"blood_rage",[11],1,0,""
216,"blood_rage",[5674],1,1,""
217,"ambush_end",[5667],3,0,""
218,"lightning_strike_slash",[100],1,0,""
219,"lightning_strike_slash",[100],1,1,""
220,"lightning_strike_slash",[5686],1,2,""
221,"lightning_strike_slash",[6285],1,3,""
222,"lightning_strike_slash",[6694],1,4,""
223,"lightning_strike_slash",[7032],1,5,""
224,"lightning_strike_projectile_ground","[98,99]",1,0,""
225,"lightning_strike_projectile_ground",[174],1,1,""
226,"lightning_strike_projectile_ground",[174],1,2,""
227,"lightning_strike_projectile_ground",[174],1,3,""
228,"lightning_strike_projectile_ground",[174],1,4,""
229,"lightning_strike_projectile_ground",[174],1,5,""
230,"lightning_strike_vaal_orb",[2028],1,0,""
231,"lightning_strike_vaal_orb",[2028],1,1,""
232,"lightning_strike_vaal_orb",[5687],1,2,""
233,"lightning_strike_vaal_orb",[6286],1,3,""
234,"lightning_strike_vaal_orb",[6695],1,4,""
235,"lightning_strike_vaal_orb",[7033],1,5,""
236,"lightning_strike_slash_lite",[101],1,0,""
237,"lightning_strike_slash_lite",[101],1,1,""
238,"lightning_strike_slash_lite",[5686],1,2,""
239,"lightning_strike_slash_lite",[6285],1,3,""
240,"lightning_strike_slash_lite",[6694],1,4,""
241,"lightning_strike_slash_lite",[7032],1,5,""
242,"vortex_explode",[950],1,0,""
243,"vortex_explode",[949],1,1,""
244,"vortex_explode",[5688],1,5,""
245,"vortex_explode",[6954],1,6,""
246,"burning_arrow_attached_arrow",[3569],1,0,""
247,"burning_arrow_vaal_explode",[74],1,0,""
248,"burning_arrow_attached_arrow",[5697],1,1,""
249,"burning_arrow_vaal_explode",[5698],1,1,""
250,"dash_start",[3267],1,1,""
251,"dash_start",[5743],1,5,""
252,"dash_start",[6290],1,6,""
253,"dash_player_start",[6291],1,6,""
254,"dash_player_end",[6292],1,6,""
255,"dash_audio_start",[3054],1,0,""
256,"dash_audio_end",[3056],1,0,""
257,"dash_audio_afterimage",[3055],1,0,""
258,"dash_audio_start",[3054],1,1,""
259,"dash_audio_end",[3056],1,1,""
260,"dash_audio_afterimage",[3055],1,1,""
261,"dash_audio_start",[3054],1,2,""
262,"dash_audio_end",[3056],1,2,""
263,"dash_audio_afterimage",[3055],1,2,""
264,"dash_audio_start",[3054],1,3,""
265,"dash_audio_end",[3056],1,3,""
266,"dash_audio_afterimage",[3055],1,3,""
267,"dash_audio_start",[3054],1,4,""
268,"dash_audio_end",[3056],1,4,""
269,"dash_audio_afterimage",[3055],1,4,""
270,"dash_audio_start",[5775],1,5,""
271,"dash_audio_end",[5777],1,5,""
272,"dash_audio_afterimage",[5776],1,5,""
273,"dash_audio_start",[3054],1,6,""
274,"dash_audio_end",[3056],1,6,""
275,"cyclone_spin",[2958],1,0,""
276,"cyclone_spin",[181],1,1,""
277,"cyclone_spin",[183],1,2,""
278,"cyclone_spin",[186],1,3,""
279,"cyclone_spin",[3319],1,4,""
280,"cyclone_spin",[3378],1,5,""
281,"cyclone_spin",[1543],1,8,""
282,"cyclone_spin",[2448],1,9,""
283,"cyclone_spin",[4010],1,10,""
284,"cyclone_spin",[4998],1,11,""
285,"cyclone_spin",[5272],1,12,""
286,"cyclone_spin",[5273],1,13,""
287,"cyclone_spin",[5484],1,14,""
288,"cyclone_spin",[5700],1,15,""
289,"cyclone_spin",[5763],1,16,""
290,"cyclone_spin",[5788],1,17,""
291,"cyclone_spin",[6212],1,18,""
292,"cyclone_spin",[6920],1,19,""
293,"cyclone_spin_scaled",[2956],1,0,""
294,"cyclone_spin_scaled",[3137],1,1,""
295,"cyclone_spin_scaled",[3138],1,2,""
296,"cyclone_spin_scaled",[3139],1,3,""
297,"cyclone_spin_scaled",[3320],1,4,""
298,"cyclone_spin_scaled",[3379],1,5,""
299,"cyclone_spin_scaled",[3136],1,8,""
300,"cyclone_spin_scaled",[3140],1,9,""
301,"cyclone_spin_scaled",[4011],1,10,""
302,"cyclone_spin_scaled",[5701],1,15,""
303,"cyclone_spin_scaled",[5764],1,16,""
304,"cyclone_spin_scaled",[5789],1,17,""
305,"cyclone_spin_scaled",[6213],1,18,""
306,"cyclone_impact_sound_override",[188],1,3,""
