"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]","rid","Skills","i32","bool","rid","bool"
0,"Metadata/Pet/Kiwi/Basic",4811,37988,-398558118,8,"","",[1],27,[],0,"","",""
1,"Metadata/Pet/Kiwi/Bronze",4812,44438,774276016,8,"","",[1],27,[],0,"","",""
2,"Metadata/Pet/Kiwi/Silver",4813,42132,-80846918,8,"","",[1],27,[],0,"","",""
3,"Metadata/Pet/Kiwi/Gold",4814,60474,1808500721,8,"","",[1],27,[],0,"","",""
4,"Metadata/Pet/Kiwi/Diamond",4815,18975,235029533,9,"","",[1],27,[],0,"","",""
5,"Metadata/Pet/Basilisk/Green",4788,61895,-1091154127,8,"","",[1],86,[],0,"","",""
6,"Metadata/Pet/Basilisk/Infernal",4789,36008,237863557,8,"","",[1],75,[],0,"","",""
7,"Metadata/Pet/Basilisk/Spectral",4790,17172,1286475706,8,"","",[1],86,[],0,"","",""
8,"Metadata/Pet/Frog/Blue",4791,37577,1910039313,8,"","",[1],86,[],0,"","",""
9,"Metadata/Pet/Frog/BlueCrown",4792,48394,1576132859,8,"","",[1],86,[],0,"","",""
10,"Metadata/Pet/Frog/Green",4793,58853,1150919036,8,"","",[1],86,[],0,"","",""
11,"Metadata/Pet/Frog/GreenCrown",4794,38190,-1138087676,8,"","",[1],86,[],0,"","",""
12,"Metadata/Pet/Frog/Red",4795,47577,-1986187196,8,"","",[1],86,[],0,"","",""
13,"Metadata/Pet/Frog/RedCrown",4796,46175,1589963419,8,"","",[1],86,[],0,"","",""
14,"Metadata/Pet/Frog/Mysterious",4797,45262,-943687922,8,"","",[1],86,[],0,"","",""
15,"Metadata/Pet/Scorpion/Black",4798,37381,-296518570,8,"","",[1],60,[],0,"","",""
16,"Metadata/Pet/Scorpion/Chrome",4799,20859,386156159,8,"","",[1],86,[],0,"","",""
17,"Metadata/Pet/Scorpion/Purple",4800,13085,1481075546,8,"","",[1],86,[],0,"","",""
18,"Metadata/Pet/Scorpion/Red",4801,29389,-2141064532,8,"","",[1],86,[],0,"","",""
19,"Metadata/Pet/Scorpion/White",4802,41999,784698058,8,"","",[1],86,[],0,"","",""
20,"Metadata/Pet/Scorpion/Yellow",4803,20903,465717861,8,"","",[1],86,[],0,"","",""
21,"Metadata/Pet/Weta/Basic",4807,33343,1722344599,8,"","",[1],86,[],0,"","",""
22,"Metadata/Pet/Weta/Colossal",4808,12979,1519151167,8,"","",[1],86,[],0,"","",""
23,"Metadata/Pet/Weta/Giant",4809,29172,1896349948,8,"","",[1],86,[],0,"","",""
24,"Metadata/Pet/Scorpion/fire_upgrade",4804,30851,493774317,8,"","",[1],75,[],0,"","",""
25,"Metadata/Pet/Scorpion/acid_upgrade",4805,37150,501714169,8,"","",[1],1,[],0,"","",""
26,"Metadata/Pet/Scorpion/Light_upgrade",4806,5815,-902046580,8,"","",[1],82,[],0,"","",""
27,"Metadata/Pet/Weta/Blood",4810,58150,-1362539025,8,"","",[1],63,[],0,"","",""
28,"Metadata/Pet/Kiwi/Albino",4816,27785,495546624,8,"","",[1],27,[],0,"","",""
29,"Metadata/Pet/BabyRhoa/babyrhoa",4817,26930,-1705315480,8,"","",[1],89,[],0,"","",""
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",4818,17929,55199043,8,"","",[1],89,[],0,"","",""
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",4819,25177,-1157441189,8,"","",[1],89,[],0,"","",""
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",4820,14091,-1647793469,8,"","",[1],89,[],0,"","",""
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",4821,27061,-1667107564,9,"","",[1],89,[],0,"","",""
34,"Metadata/Pet/Ferret/Ferret",4822,23993,-1027825915,8,"","",[1],86,[],0,"","",""
35,"Metadata/Pet/Cat/Black",4823,45791,424651664,8,"","",[1],60,[],0,"","",""
36,"Metadata/Pet/DemonHand/Basic",4824,44454,-915315497,8,"","",[1],38,[],0,"","",""
37,"Metadata/Pet/Fox/infernal_fox/Infernal",4825,28741,-177240790,9,"","",[1],75,[],0,"","",""
38,"Metadata/Pet/Bat/Vampire_Bat/Lightning",4826,63077,1760403080,8,"","",[1],82,[],0,"","",""
39,"Metadata/Pet/Garena/Garena",4827,21065,1776958371,8,"","",[1],86,[],0,"","",""
40,"Metadata/Pet/BellLizard/BellLizard",4828,38215,-1052814216,8,"","",[1],86,[],0,"","",""
41,"Metadata/Pet/Lion/Demon/DemonLion",4829,61331,2043582045,11,"","",[1],86,[],0,"","",""
42,"Metadata/Pet/Lion/Gem/GemLion",4830,51436,92786027,11,"","",[1],86,[],0,"","",""
43,"Metadata/Pet/Cobra/Cobra",4831,37676,2142825620,8,"","",[1],86,[],0,"","",""
44,"Metadata/Pet/Cockroach/Cockroach",4832,61480,-184875821,8,"","",[1],86,[],0,"","",""
45,"Metadata/Pet/FormosanBear/FormosanBear",4833,51230,-33606175,10,"","",[1],86,[],0,"","",""
46,"Metadata/Pet/SpiderLizard/SpiderLizard",4834,179,1059602331,8,"","",[1],86,[],0,"","",""
47,"Metadata/Pet/BlueLandCrab/BlueLandCrab",4835,32372,2015692369,8,"","",[1],86,[],0,"","",""
48,"Metadata/Pet/CaneToad/CaneToad1/CaneToad1",4836,37890,1447674443,8,"","",[1],86,[],0,"","",""
49,"Metadata/Pet/CaneToad/CaneToad2/CaneToad2",4837,236,-1925083731,8,"","",[1],86,[],0,"","",""
50,"Metadata/Pet/CaneToad/CaneToad3/CaneToad3",4838,32726,107313587,8,"","",[1],86,[],0,"","",""
51,"Metadata/Pet/CaneToad/CaneToad4/CaneToad4",4839,38988,-170234474,8,"","",[1],86,[],0,"","",""
52,"Metadata/Pet/CaneToad/CaneToad5/CaneToad5",4840,35988,561753583,8,"","",[1],86,[],0,"","",""
53,"Metadata/Pet/CaneToad/CaneToad6/CaneToad6",4841,52732,1611509233,8,"","",[1],86,[],0,"","",""
54,"Metadata/Pet/Spider/spider",4842,55525,-1498775985,8,"","",[1],86,[],0,"","",""
55,"Metadata/Pet/FormosanDeer/FormosanDeer",4843,24612,-519143126,10,"","",[1],86,[],0,"","",""
56,"Metadata/Pet/FlySwarm/FlySwarm",4844,21094,323895592,10,"","",[1],86,[],0,"","",""
57,"Metadata/Pet/DropBear/DropBear",4847,53741,-1624813878,9,"","",[1],86,[],0,"","",""
58,"Metadata/Pet/BloodWorm/BloodWorm",4848,22385,250173848,8,"","",[1],63,[],0,"","",""
59,"Metadata/Pet/Rat_Black/Rat_Black",4849,12421,1561226635,8,"","",[1],94,[],0,"","",""
60,"Metadata/Pet/RollingHead/RollingHead",4850,39587,525305324,8,"","",[1],86,[],0,"","",""
61,"Metadata/Pet/FlySwarm/FlySwarmGreen",4845,54607,-1460765279,9,"","",[1],58,[],0,"","",""
62,"Metadata/Pet/FlySwarm/FlySwarmOrange",4846,45808,65843484,9,"","",[1],86,[],0,"","",""
63,"Metadata/Pet/BabyBlackDeath/BabyBlackDeath",4851,61684,736025386,10,"","",[1],86,[],0,"","",""
64,"Metadata/Pet/Chicken/Chicken",4852,56633,-52944415,8,"","",[1],86,[],0,"","",""
