"rownum","Projectile","Variant","[rid]","i32","rid"
0,"default_ranged",0,[60],3,""
1,"default_ranged",1,[214],3,""
2,"default_ranged",2,[337],3,""
3,"default_ranged",3,[570],3,""
4,"default_ranged",4,[571],3,""
5,"default_ranged",5,[607],3,""
6,"default_ranged",6,[624],3,""
7,"default_ranged",7,[625],3,""
8,"default_ranged",8,[626],3,""
9,"default_ranged",9,[627],3,""
10,"default_ranged",10,[628],3,""
11,"default_ranged",11,[629],3,""
12,"default_ranged",12,[630],3,""
13,"default_ranged",13,[631],3,""
14,"default_ranged",14,[632],3,""
15,"default_ranged",15,[633],3,""
16,"default_ranged",16,[634],3,""
17,"default_ranged",17,[635],3,""
18,"default_ranged",18,[717],3,""
19,"default_ranged",19,[693],3,""
20,"default_ranged",20,[702],3,""
21,"default_ranged",21,[718],3,""
22,"default_ranged",22,[725],3,""
23,"default_ranged",23,[726],3,""
24,"default_ranged",24,[727],3,""
25,"default_ranged",25,[826],3,""
26,"default_ranged",26,[829],3,""
27,"default_ranged",27,[837],3,""
28,"default_ranged",28,[936],3,""
29,"default_ranged",29,[984],3,""
30,"default_ranged",30,[991],3,""
31,"default_ranged",31,[1075],3,""
32,"default_ranged",32,[1086],3,""
33,"default_ranged",33,[1087],3,""
34,"default_ranged",34,[1088],3,""
35,"default_ranged",35,[61],3,""
36,"cremation_projectile",0,[377],3,""
37,"cremation_projectile",1,[377],3,""
38,"cremation_projectile",2,[420],3,""
39,"cremation_projectile",3,[424],3,""
40,"cremation_projectile",4,[378],3,""
41,"cremation_projectile",5,[1069],3,""
42,"cremation_projectile",6,[1085],3,""
43,"cremation_projectile",7,[1089],3,""
44,"cremation_projectile",8,[1273],3,""
45,"soulfeast_primary",0,[1091],3,""
46,"soulfeast_secondary",0,[1092],3,""
47,"soulfeast_primary_short",0,[1093],3,""
48,"soulfeast_secondary_short",0,[1094],3,""
49,"soulfeast_primary",1,[1189],3,""
50,"soulfeast_secondary",1,[1190],3,""
51,"soulfeast_primary_short",1,[1191],3,""
52,"soulfeast_secondary_short",1,[1192],3,""
53,"igniting_flask",0,[1108],3,""
54,"spark",0,[17],3,""
55,"spark",1,[18],3,""
56,"spark",2,[19],3,""
57,"spark",3,[261],3,""
58,"spark",4,[360],3,""
59,"spark",5,[361],3,""
60,"spark",6,[17],3,""
61,"spark",7,[437],3,""
62,"spark",8,[452],3,""
63,"spark",9,[479],3,""
64,"spark",10,[492],3,""
65,"spark",11,[541],3,""
66,"spark",12,[619],3,""
67,"spark",13,[728],3,""
68,"spark",14,[735],3,""
69,"spark",15,[786],3,""
70,"spark",16,[933],3,""
71,"spark",17,[1052],3,""
72,"spark",18,[1053],3,""
73,"spark",19,[1109],3,""
74,"spark",20,[1211],3,""
75,"spark_monster",1,[96],3,""
76,"spark_monster",2,[97],3,""
77,"spark_monster",3,[879],3,""
78,"spark_monster",4,[880],3,""
79,"spark_tornado",0,[361],3,""
80,"spark_tornado",2,[364],3,""
81,"spark_tornado",17,[362],3,""
82,"spark_tornado",18,[363],3,""
83,"spark_tornado",19,[365],3,""
84,"lightning_strike_projectile",0,[30],3,""
85,"lightning_strike_projectile_lite",0,[1133],3,""
86,"lightning_strike_projectile",1,[30],3,""
87,"lightning_strike_projectile_lite",1,[1133],3,""
88,"lightning_strike_projectile",2,[1117],3,""
89,"lightning_strike_projectile_lite",2,[1117],3,""
90,"lightning_strike_projectile",3,[1180],3,""
91,"lightning_strike_projectile_lite",3,[1180],3,""
92,"lightning_strike_projectile",4,[1204],3,""
93,"lightning_strike_projectile_lite",4,[1204],3,""
94,"lightning_strike_projectile",5,[1241],3,""
95,"lightning_strike_projectile_lite",5,[1241],3,""
96,"burning_arrow",0,[64],3,""
97,"burning_arrow_vaal",0,[65],3,""
98,"burning_arrow",1,[1122],3,""
99,"burning_arrow_vaal",1,[1123],3,""
100,"eye_of_winter_ball",0,[1110],3,""
101,"eye_of_winter_ball",1,[1137],3,""
