"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","NotificationIcon","HideoutName","Id"
0,8,1,[542],0,"","","","SeraphBootsCerulean"
1,8,2,[541],0,"","","","SeraphBodyCerulean"
2,8,3,[543],0,"","","","SeraphGlovesCerulean"
3,8,4,[544],0,"","","","SeraphHelmetCerulean"
4,9,1,[554],0,"","","","SeraphBootsSanguine"
5,9,2,[553],0,"","","","SeraphBodySanguine"
6,9,3,[555],0,"","","","SeraphGlovesSanguine"
7,9,4,[556],0,"","","","SeraphHelmetSanguine"
8,7,1,[8216],1,"","","","HideoutTotemPole1"
9,10,1,[8218],1,"","","","HideoutTotemPole2"
10,11,5,[546],0,"","","","SeraphBootsGolden"
11,11,10,[547],0,"","","","SeraphGlovesGolden"
12,11,15,[545],0,"","","","SeraphBodyGolden"
13,11,20,[548],0,"","","","SeraphHelmetGolden"
14,12,7,[693],0,"","","","RigwaldBoots"
15,12,14,[694],0,"","","","RigwaldGloves"
16,12,21,[695],0,"","","","RigwaldBody"
17,12,28,[692],0,"","","","RigwaldHelmet"
18,12,18,[8220],2,"","","","HideoutTotemPole3"
19,13,12,[728],0,"","","","PerandusFootprints"
20,13,24,[729],0,"","","","PerandusWeapon"
21,13,36,[730],0,"","","","PerandusPortal"
22,13,19,[8222],3,"","","","HideoutTotemPole4"
23,14,12,[751],0,"","","","ProphecyFootprints"
24,14,24,[752],0,"","","","ProphecyWeapon"
25,14,36,[4887],0,"","","","NavaliMonkey"
26,14,19,[8224],3,"","","","HideoutTotemPole5"
27,15,12,[819],0,"","","","EssenceFootprints"
28,15,24,[817],0,"","","","EssenceWings"
29,15,36,[818],0,"","","","EssencePortal"
30,15,19,[8226],3,"","","","HideoutTotemPole6"
31,16,12,[876],0,"","","","BreachFootprints"
32,16,24,[857],0,"","","","BreachPortal"
33,16,36,[847],0,"","","","DemonicWings"
34,16,19,[8228],3,"","","","HideoutTotemPole7"
35,17,12,[934],0,"","","","LegacyFootprintsEffect"
36,17,24,[940],0,"","","","LegacyWeaponEffect"
37,17,36,[889],0,"","","","LegacyPortalEffect"
38,17,19,[8230],3,"","","","HideoutTotemPole8"
39,18,12,[1040],0,"","","","HarbingerEyes"
40,18,24,"[1041,1042]",0,"","","","HarbingerCrownBundle"
41,18,36,[1043],0,"","","","HarbingerCharacterEffect"
42,18,19,[8232],3,"","","","HideoutTotemPole9"
43,19,12,[1240],0,"","","","AbyssHelmet"
44,19,24,[1116],0,"","","","AbyssWings"
45,19,36,[1243],0,"","","","AbyssPortalEffect"
46,19,19,[8234],3,"","","","HideoutTotemPole10"
47,20,12,[1628],0,"","","","BestiaryHelmet"
48,20,24,[1608],0,"","","","BestiaryWings"
49,20,36,[1629],0,"","","","BestiaryPortalEffect"
50,20,19,[8236],3,"","","","HideoutTotemPole11"
51,21,1,[],0,"Congratulations!\nYou earned a Sin and Innocence Mystery Box!","Art/2DItems/Effects/MysteryChest/SinInnocenceMysteryBox.dds","Sin and Innocence Mystery Box","MysteryPackSinAndInnocenceBox"
52,22,12,[1665],0,"","","","IncursionBandana"
53,22,24,[1667],0,"","","","IncursionCloak"
54,22,36,[1668],0,"","","","IncursionPortalEffect"
55,22,19,[8238],3,"","","","HideoutTotemPole12"
56,23,1,[],0,"Congratulations!\nYou earned an Apocalypse Mystery Box!","Art/2DItems/Effects/MysteryChest/ApocalypseMysteryBox.dds","Apocalypse Mystery Box","MysteryPackApocalypseBox"
57,24,12,[4951],0,"","","","DelvePet"
58,24,24,[1843],0,"","","","DelveBackAttachment"
59,24,36,[1833],0,"","","","DelvePortalEffect"
60,24,19,[8240],3,"","","","HideoutTotemPole13"
61,25,12,[1899],0,"","","","BetrayalHelmetAttachment"
62,25,24,[1900],0,"","","","BetrayalAuraEffect"
63,25,36,[1901],0,"","","","BetrayalCloak"
64,25,19,[8242],3,"","","","HideoutTotemPole14"
65,26,12,"[2082,2083]",0,"","","","SynthesisHelmetBundle"
66,26,24,[4965],0,"","","","SynthesisPet"
67,26,36,[2084],0,"","","","SynthesisWings"
68,26,19,[8244],3,"","","","HideoutTotemPole15"
69,27,1,[],0,"Congratulations!\nYou earned a Glimmerwood Mystery Box!","Art/2DItems/Effects/MysteryChest/DarkwoodMysteryBox.dds","Glimmerwood Mystery Box","MysteryPackGlimmerwoodBox"
70,28,12,[2268],0,"Earned Monolith Crown Microtransaction!","","","LegionHelmet"
71,28,24,[2269],0,"Earned Monolith Aura Effect Microtransaction!","","","LegionAuraEffect"
72,28,36,[2270],0,"Earned Monolith Wings Microtransaction!","","","LegionWings"
73,28,19,[8246],3,"Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole16"
74,29,12,[2357],0,"Earned Blight Helmet Microtransaction!","","","BlightHelmet"
75,29,24,[2358],0,"Earned Blight Portal Effect Microtransaction!","","","BlightPortalEffect"
76,29,36,[2359],0,"Earned Blight Wings Microtransaction!","","","BlightWings"
77,29,19,[8248],3,"Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole17"
78,30,12,[2486],0,"Earned Metamorph Footprints Effect Microtransaction!","","","MetamorphFootprintsEffect"
79,30,24,[2487],0,"Earned Metamorph Weapon Effect Microtransaction!","","","MetamorphWeaponEffect"
80,30,36,[2488],0,"Earned Metamorph Portal Effect Microtransaction!","","","MetamorphPortalEffect"
81,30,19,[8250],3,"Earned Metamorph Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole18"
82,31,12,[2599],0,"Earned Delirium Horn Microtransaction!","","","DeliriumHorns"
83,31,24,[2600],0,"Earned Delirium Cloak Microtransaction!","","","DeliriumCloak"
84,31,36,[2601],0,"Earned Delirium Wings Microtransaction!","","","DeliriumWings"
85,31,19,[8252],3,"Earned Delirium Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole19"
86,32,12,[2761],0,"Earned Harvest Footprints Effect Microtransaction!","","","HarvestFootprintsEffect"
87,32,24,[2762],0,"Earned Harvest Cloak Microtransaction!","","","HarvestCloak"
88,32,36,[2763],0,"Earned Harvest Portal Effect Microtransaction!","","","HarvestPortalEffect"
89,32,19,[8254],3,"Earned Harvest Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole20"
90,33,12,"[2879,2880,2881]",0,"Earned Heist Helmet Pack!","Art/2DItems/Effects/Hats/HeistHelmetPack.dds","","HeistHelmetPack"
91,33,24,[5049],0,"Earned Heist Cat Pet Microtransaction!","","","HeistPet"
92,33,36,[2882],0,"Earned Heist Portal Effect Microtransaction!","","","HeistPortalEffect"
93,33,19,[8256],3,"Earned Heist Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole21"
94,34,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
95,35,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
96,36,1,[],0,"Congratulations!\nYou earned a Twilight Mystery Box!","Art/2DItems/Effects/MysteryChest/TwilightMysteryBox.dds","Twilight Mystery Box","MysteryPackTwilightBox"
97,37,12,[3085],0,"Congratulations!\nYou earned the Ritual Weapon Effect!","","","RitualWeaponEffect"
98,37,24,[3086],0,"Congratulations!\nYou earned the Ritual Character Effect!","","","RitualCharacterEffect"
99,37,36,[],0,"Congratulations!\nYou earned the Ritualist's Hideout!","Art/2DItems/Hideout/RitualHideout.dds","Ritualist's Hideout","HideoutRitualLeague"
100,37,19,[8258],3,"Congratulations! You earned the Ritual Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole22"
101,38,12,[3166],0,"Congratulations!\nYou earned the Ultimatum Helmet Skin!","","","UltimatumHelmet"
102,38,24,[5083],0,"Congratulations!\nYou earned the Ultimatum Pet!","","","UltimatumPet"
103,38,36,[3167],0,"Congratulations!\nYou earned the Ultimatum Portal Effect!","","","UltimatumPortalEffect"
104,38,19,[8260],3,"Congratulations! You earned the Ultimatum Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole23"
105,39,12,[3309],0,"Congratulations!\nYou earned the Expedition Footprints Effect!","","","ExpeditionFootprintsEffect"
106,39,24,[3310],0,"Congratulations!\nYou earned the Expedition Weapon Effect!","","","ExpeditionWeaponEffect"
107,39,36,[3311],0,"Congratulations!\nYou earned the Expedition Portal Effect!","","","ExpeditionPortalEffect"
108,39,19,[8262],3,"Congratulations! You earned the Expedition Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole24"
109,40,12,[3523],0,"Congratulations!\nYou earned the Scourge Weapon!","","","ScourgeWeapon"
110,40,24,[3524],0,"Congratulations!\nYou earned the Scourge Wings!","","","ScourgeWings"
111,40,36,[5117],0,"Congratulations!\nYou earned the Scourge Pet!","","","ScourgePet"
112,40,19,[8264],3,"Congratulations! You earned the Scourge Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole25"
113,41,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
114,42,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
115,43,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
116,44,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
117,45,1,[],0,"Congratulations!\nYou earned a Atlantis Mystery Box!","Art/2DItems/Effects/MysteryChest/AtlantisMysteryBox.dds","Atlantis Mystery Box","MysteryPackAtlantisBox"
118,46,12,[3654],0,"Congratulations!\nYou earned the Archnemesis Ice Character Effect!","","","ArchnemesisIceCharacterEffect"
119,46,24,[3657],0,"Congratulations!\nYou earned the Archnemesis Weapon Skin!","","","ArchnemesisWeapon"
120,46,32,[3655],0,"Congratulations!\nYou earned the Archnemesis Lightning Character Effect!","","","ArchnemesisLightningCharacterEffect"
121,46,34,[3653],0,"Congratulations!\nYou earned the Archnemesis Fire Character Effect!","","","ArchnemesisFireCharacterEffect"
122,46,36,[3658],0,"Congratulations!\nYou earned the Archnemesis Wings!","","","ArchnemesisWings"
123,46,38,[3656],0,"Congratulations!\nYou earned the Archnemesis Prismatic Character Effect!","","","ArchnemesisElementalCharacterEffect"
124,46,19,[8266],3,"Congratulations! You earned the Archnemesis Totem!\nThe more challenges you complete, the bigger it gets!","","","HideoutTotemPole26"
125,47,6,[3911],0,"Congratulations!\nYou earned the Ophidian Gloves!","","","OphidianGloves"
126,47,12,[3910],0,"Congratulations!\nYou earned the Ophidian Boots!","","","OphidianBoots"
127,47,16,[3909],0,"Congratulations!\nYou earned the Ophidian Helmet!","","","OphidianHelmet"
128,47,20,[3912],0,"Congratulations!\nYou earned the Ophidian Body Armour!","","","OphidianBodyArmour"
129,47,24,[3913],0,"Congratulations!\nYou earned the Ophidian Wings!","","","OphidianWings"
130,47,28,[3916],0,"Congratulations!\nYou earned the Ophidian Lord Gloves!","","","OphidianLordGloves"
131,47,31,[3915],0,"Congratulations!\nYou earned the Ophidian Lord Boots!","","","OphidianLordBoots"
132,47,34,[3914],0,"Congratulations!\nYou earned the Ophidian Lord Helmet!","","","OphidianLordHelmet"
133,47,36,[3917],0,"Congratulations!\nYou earned the Ophidian Lord Body Armour!","","","OphidianLordBodyArmour"
134,47,38,[3918],0,"Congratulations!\nYou earned the Ophidian Lord Wings!","","","OphidianLordWings"
