"rownum","Id","MonsterType","MovementSpeed","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","Mods","i32_96","string_100","string_108","ModelSizeMultiplier","i32_120","i32_124","rid_128","i32_144","i32_148","Tags","ExperienceMultiplier","[i32]_172","MinAgroRange","MaxAgroRange","SpotlightColour1","SpotlightColour2","SpotlightColour3","GrantedEffects","AISFile","Mods2","Stance","rid_256","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentity","Weapon2_ItemVisualIdentity","Back_ItemVisualIdentity","MainHand_ItemClass","OffHand_ItemClass","Helmet_ItemVisualIdentity","i32_388","KillSpecificMonsterCount_AchievementItems","Special_Mods","KillRare_AchievementItems","bool_440","i32_441","i32_445","i32_449","i32_453","i32_457","i32_461","HASH16","bool_467","string_468"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","KillWhileOnslaughtIsActive_AchievementItem","MonsterSegment","MonsterArmour","KillWhileTalismanIsActive_AchievementItem","Part1_Mods","Part2_Mods","Endgame_Mods","rid_588","i32_604","i32_608","[rid]_612","MultiPartAchievements","i32_644","SinkAnimation_AOFile","bool_656","[rid]_657","bool_673","bool_674","bool_675","i32_676","i32_680","f32_684","AilmentThreshold","AilmentThreshold (French)","AilmentThreshold (German)","AilmentThreshold (Japanese)","AilmentThreshold (Korean)","AilmentThreshold (Portuguese)","AilmentThreshold (Russian)","AilmentThreshold (Spanish)","AilmentThreshold (Thai)","AilmentThreshold (Traditional Chinese)","SinkEffect","i32_696","MonsterConditionalEffectPack","bool_716","bool_717","i32_718","bool_722","i32_723","i32_727","i32_731","i32_735","i32_739","i32_743","i32_747","i32_751","i32_755"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32_759","i32_763","i32_767","BossHealthBar","rid_772","i32_788","bool_792","i32_793","i32_797","i32_801","i32_805","bool_809","rid_810","f32_826","f32_830","bool_834","[string]_835","rid_851","i32_867","i32_871","f32_875","rid_879","bool_895","i32_896","bool_900","i32_901","rid_905"
0,"Any",42,40,1,6,6,[],[],"Metadata/Monsters/Clone/Clone",[],1,"","",100,1,3,"",17,0,"[74,755]",100,[],105,105,700,500,0,[744],"",[],"",3,"[ANY MONSTER]","[ANY MONSTER]","[ANY MONSTER]","[モンスター]","[모든 몬스터]","[ANY MONSTER]","[ЛЮБОЙ МОНСТР]","[ANY MONSTER]","[มอนสเตอร์ใดก็ได้]","[任意怪物]",100,100,830,[],[],"","","","",0,[],[],[],"",0,6,135,0,0,135,6509,"","","M","N","","","N","","","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,162,168,168,150,152,168,164,162,172,148,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",0,100,0.05,0,1,0,"",10,2
1,"Metadata/Monsters/Monkeys/MonkeyJungle",0,46,2,4,9,"[""Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.act""]","[""Metadata/Monsters/Monkeys/BloodMonkey/BloodMonkeyJungle.ao""]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle",[],1,"","",100,1,6,5,1,0,"[774,72,921,755,757,742,49,713,31,29,714,709,32,118,745,1025]",65,[4],105,105,700,500,0,"[751,974,3270]","Metadata/Monsters/Monkeys/Jungle/MonkeyJungle.ais",[],"",0,"Feral Primate","Primate sauvage","Ungezähmter Primat","凶暴な猿","야생 영장류","Primata Feral","Дикий примат","Primate feral","Feral Primate","野性靈長類",65,65,1005,[],[],"","","","",0,[],[],[614],1,1,4,3,0,0,3,18656,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,15,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,1030,1040,1052,1000,1006,1042,1038,1036,1040,1000,0,-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],48,3,65,0.05,0,1,0,"",25,4
2,"Metadata/Monsters/Monkeys/MonkeyJungleTamed",1,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamed",[],1,"","",100,1,6,5,1,0,"[774,72,757,742,49,754,713,31,29,714,709,118,745,1025]",65,[4],105,105,700,500,0,[751],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"",0,"Feral Primate","Primate sauvage","Ungezähmter Primat","凶暴な猿","야생 영장류","Primata Feral","Дикий примат","Primate feral","Feral Primate","野性靈長類",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,16101,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,1786,1796,1808,1756,1762,1798,1794,1792,1796,1756,0,-5,5,"","",7,"",0,0,0,1,"","",1,1,"",[],48,3,65,0.05,0,1,0,"",25,4
3,"Metadata/Monsters/Monkeys/MonkeyJungleTamedBossSpectator",1,33,2,4,7,"[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.act""]","[""Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ao""]","Metadata/Monsters/Monkeys/Jungle/BloodApeTamedBoss",[],1,"","",100,1,6,5,1,0,"[774,72,757,742,49,754,713,31,29,714,709,118,745,1025]",65,[4],105,105,700,500,0,[751],"Metadata/Monsters/Monkeys/Jungle/BloodApeTamed.ais",[],"stance5",0,"Feral Primate","Primate sauvage","Ungezähmter Primat","凶暴な猿","야생 영장류","Primata Feral","Дикий примат","Primate feral","Feral Primate","野性靈長類",65,65,1005,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,30687,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,2284,2294,2306,2254,2260,2296,2292,2290,2294,2254,0,-5,5,"","",7,"",0,0,0,1,"","",1,1,"",[],48,3,65,0.05,0,1,0,"",25,4
4,"Metadata/Monsters/BloodChieftain/MonkeyChiefJungle",14,36,4,8,11,"[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.act""]","[""Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ao""]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain",[],1,"","",100,3,6,18,1,0,"[72,772,757,731,725,49,747,754,713,1040,30,31,714,709,118]",175,[],105,105,700,500,0,"[744,993,4312,4178,3270,2193,4102,4103]","Metadata/Monsters/BloodChieftain/Jungle/JungleChieftain.ais",[],"",0,"Alpha Primate","Primate alpha","Alpha-Primat","ボス猿","우두머리 영장류","Primata Feral","Примат-альфа","Primate alfa","Alpha Primate","靈長類幻獸",175,175,1905,[],[],"",12,"","",0,[],[],[602],"",1,3,135,0,0,3,57331,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,10,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,3296,3306,3316,3246,3262,3278,3302,3300,3306,3250,0,-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],48,7,138,0.05,0,1,0,"",70,4
5,"Metadata/Monsters/InsectMinion/InsectTest",25,40,1,6,6,"[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.act""]","[""Metadata/Monsters/InsectMinion/Minion/InsectMinion.ao""]","Metadata/Monsters/InsectMinion/Testling",[],1,"","",60,1,6,4,1,0,"[774,72,1024,743,755,757,75,121,742,713,714]",100,[],105,105,700,500,0,[744],"Metadata/Monsters/InsectMinion/InsectMinion.ais",[],"",40,"Testling","Insectest","Testling","テストリング","Testling","Testador","Пробник","Testling","Testling","測試蟲",100,100,1500,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,5091,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","","",0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,4012,4024,4032,3958,3978,3994,4016,4016,4022,3956,0,-50,50,"","",7,"",0,0,0,0,"","",1,1,"",[],"",0,100,0.05,0,1,0,"",10,4
6,"Metadata/Monsters/Spiker/Spiker",12,32,3,6,9,"[""Metadata/Monsters/Spiker/Spiker.act""]","[""Metadata/Monsters/Spiker/Spiker.ao""]","Metadata/Monsters/Spiker/Spiker",[7035],1,"","",100,3,6,4,1,0,"[723,774,72,1024,757,738,725,49,747,754,713,1091,714,118,708]",140,[],105,105,700,500,0,[],"Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath","Porc-épic colossal","Stachelschweingoliath","ポーキュパイン・ゴライアス","호저 골리앗","Porco-Espinho Gigante","Дикобразный исполин","Goliat puercoespín","Porcupine Goliath","針背巨獸",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,62270,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,4624,4638,4652,4562,4568,4614,4632,4630,4634,4542,0,-5,5,"","",7,"",0,-5,5,0,"","",1,1,"",[],51,6,120,0.05,0,1,0,"",60,4
7,"Metadata/Monsters/Spiker/Spiker3_",12,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerNew.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/Spiker",[13424],1,"","",100,3,6,4,1,0,"[723,72,1024,49,754,713,1091,714,118,708]",140,[],105,105,700,500,0,"[744,1717,4487,823]","Metadata/Monsters/Spiker/Spiker.ais",[],"",0,"Porcupine Goliath","Porc-épic colossal","Stachelschweingoliath","ポーキュパイン・ゴライアス","호저 골리앗","Porco-Espinho Gigante","Дикобразный исполин","Goliat puercoespín","Porcupine Goliath","針背巨獸",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,8963,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-8,8,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,0,0,5134,5148,5162,5072,5078,5124,5142,5140,5144,5052,0,-10,5,"","",7,1,0,-5,5,0,"","",1,1,"",[],51,6,120,0.05,0,1,0,"",60,4
8,"Metadata/Monsters/Spiker/Spiker3SanctumTrial__",13,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerSanctum.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/SpikerSanctum",[13424],1,"","",100,3,6,4,1,0,"[723,72,1024,49,754,713,1091,714,118,708,1015]",140,[],105,105,700,500,0,"[744,1721,4488]","Metadata/Monsters/Spiker/SpikerSanctum.ais",[],"",0,"Porcupine Goliath","Porc-épic colossal","Stachelschweingoliath","ポーキュパイン・ゴライアス","호저 골리앗","Porco-Espinho Gigante","Дикобразный исполин","Goliat puercoespín","Porcupine Goliath","針背巨獸",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,60816,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-8,8,0,80,80,80,80,80,80,80,80,80,80,0,0,"","",1,3,1,0,0,0,0,0,0,1,0,5876,5890,5904,5814,5820,5866,5884,5882,5886,5794,0,-10,5,"","",7,1,0,-5,5,0,"","",1,1,"",[],51,6,120,0.05,0,1,0,"",60,4
9,"Metadata/Monsters/Totems/StrengthTotem",21,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,38406,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,80,80,80,80,80,80,80,80,80,80,0,0,"","","",3,1,0,0,0,0,0,0,0,0,6486,6500,6514,6422,6424,6476,6494,6492,6496,6398,0,0,0,"","",7,"",0,0,0,0,"","",1,1,"",[],"",4,100,0.05,0,1,0,"",40,2
