"rownum","SetId","AchievementsRequired","Rewards","TotemPieceEveryNAchievements","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","NotificationIcon","HideoutName","HideoutName (French)","HideoutName (German)","HideoutName (Japanese)","HideoutName (Korean)","HideoutName (Portuguese)","HideoutName (Russian)","HideoutName (Spanish)","HideoutName (Thai)","HideoutName (Traditional Chinese)","Id"
0,8,1,[212],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsCerulean"
1,8,2,[211],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodyCerulean"
2,8,3,[213],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesCerulean"
3,8,4,[214],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetCerulean"
4,9,1,[224],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsSanguine"
5,9,2,[223],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodySanguine"
6,9,3,[225],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesSanguine"
7,9,4,[226],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetSanguine"
8,7,1,[5024],1,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole1"
9,10,1,[5026],1,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole2"
10,11,5,[216],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBootsGolden"
11,11,10,[217],0,"","","","","","","","","","","","","","","","","","","","","","SeraphGlovesGolden"
12,11,15,[215],0,"","","","","","","","","","","","","","","","","","","","","","SeraphBodyGolden"
13,11,20,[218],0,"","","","","","","","","","","","","","","","","","","","","","SeraphHelmetGolden"
14,12,7,[363],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldBoots"
15,12,14,[364],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldGloves"
16,12,21,[365],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldBody"
17,12,28,[362],0,"","","","","","","","","","","","","","","","","","","","","","RigwaldHelmet"
18,12,18,[5028],2,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole3"
19,13,12,[398],0,"","","","","","","","","","","","","","","","","","","","","","PerandusFootprints"
20,13,24,[399],0,"","","","","","","","","","","","","","","","","","","","","","PerandusWeapon"
21,13,36,[400],0,"","","","","","","","","","","","","","","","","","","","","","PerandusPortal"
22,13,19,[5030],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole4"
23,14,12,[421],0,"","","","","","","","","","","","","","","","","","","","","","ProphecyFootprints"
24,14,24,[422],0,"","","","","","","","","","","","","","","","","","","","","","ProphecyWeapon"
25,14,36,[4232],0,"","","","","","","","","","","","","","","","","","","","","","NavaliMonkey"
26,14,19,[5032],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole5"
27,15,12,[489],0,"","","","","","","","","","","","","","","","","","","","","","EssenceFootprints"
28,15,24,[487],0,"","","","","","","","","","","","","","","","","","","","","","EssenceWings"
29,15,36,[488],0,"","","","","","","","","","","","","","","","","","","","","","EssencePortal"
30,15,19,[5034],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole6"
31,16,12,[546],0,"","","","","","","","","","","","","","","","","","","","","","BreachFootprints"
32,16,24,[527],0,"","","","","","","","","","","","","","","","","","","","","","BreachPortal"
33,16,36,[517],0,"","","","","","","","","","","","","","","","","","","","","","DemonicWings"
34,16,19,[5036],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole7"
35,17,12,[604],0,"","","","","","","","","","","","","","","","","","","","","","LegacyFootprintsEffect"
36,17,24,[610],0,"","","","","","","","","","","","","","","","","","","","","","LegacyWeaponEffect"
37,17,36,[559],0,"","","","","","","","","","","","","","","","","","","","","","LegacyPortalEffect"
38,17,19,[5038],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole8"
39,18,12,[710],0,"","","","","","","","","","","","","","","","","","","","","","HarbingerEyes"
40,18,24,"[711,712]",0,"","","","","","","","","","","","","","","","","","","","","","HarbingerCrownBundle"
41,18,36,[713],0,"","","","","","","","","","","","","","","","","","","","","","HarbingerCharacterEffect"
42,18,19,[5040],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole9"
43,19,12,[910],0,"","","","","","","","","","","","","","","","","","","","","","AbyssHelmet"
44,19,24,[786],0,"","","","","","","","","","","","","","","","","","","","","","AbyssWings"
45,19,36,[913],0,"","","","","","","","","","","","","","","","","","","","","","AbyssPortalEffect"
46,19,19,[5042],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole10"
47,20,12,[1298],0,"","","","","","","","","","","","","","","","","","","","","","BestiaryHelmet"
48,20,24,[1278],0,"","","","","","","","","","","","","","","","","","","","","","BestiaryWings"
49,20,36,[1299],0,"","","","","","","","","","","","","","","","","","","","","","BestiaryPortalEffect"
50,20,19,[5044],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole11"
51,21,1,[],0,"Congratulations!\nYou earned a Sin and Innocence Mystery Box!","Félicitations !\nVous avez remporté une Boîte mystère Péché & Innocence !","Glückwunsch!\nDu hast eine Sin und Innocence Überraschungskiste freigespielt!","Congratulations!\nYou earned a Sin and Innocence Mystery Box!","축하합니다!\n씬과 이노센스 미스터리 박스를 획득하셨습니다!","Parabéns!\nVocê ganhou uma Caixa Misteriosa do Pecado e Inocência!","Поздравляем!\nВы получили Загадочную коробку Греха и Невинности!","¡Felicitaciones!\n¡Has obtenido una Caja misteriosa de Inocencia y Pecado!","ยินดีด้วย!\nคุณได้รับกล่องปริศนา Sin and Innocence แล้ว!","恭喜！你獲得 1 個善與惡神秘寶箱！","Art/2DItems/Effects/MysteryChest/SinInnocenceMysteryBox.dds","Sin and Innocence Mystery Box","Boîte mystère Péché & Innocence","Sin und Innocence Überraschungskiste","Sin and Innocence Mystery Box","씬과 이노센스 미스터리 박스","Caixa Misteriosa do Pecado e Inocência","Загадочная коробка Греха и Невинности","Caja misteriosa de Inocencia y Pecado","กล่องปริศนา Sin and Innocence","罪與善神秘寶箱","MysteryPackSinAndInnocenceBox"
52,22,12,[1335],0,"","","","","","","","","","","","","","","","","","","","","","IncursionBandana"
53,22,24,[1337],0,"","","","","","","","","","","","","","","","","","","","","","IncursionCloak"
54,22,36,[1338],0,"","","","","","","","","","","","","","","","","","","","","","IncursionPortalEffect"
55,22,19,[5046],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole12"
56,23,1,[],0,"Congratulations!\nYou earned an Apocalypse Mystery Box!","Félicitations !\nVous avez remporté une Boîte mystère Apocalypse !","Glückwunsch!\nDu hast eine Apokalypse-Überraschungskiste freigespielt!","Congratulations!\nYou earned an Apocalypse Mystery Box!","축하합니다!\n종말의 미스터리 박스를 획득하셨습니다!","Parabéns!\nVocê ganhou uma Caixa Misteriosa do Apocalipse!","Поздравляем!\nВы получили Загадочную коробку Апокалипсиса!","¡Felicitaciones!\n¡Has obtenido una Caja misteriosa del Apocalipsis!","ยินดีด้วย!\nคุณได้รับกล่องปริศนา Apocalypse แล้ว!","恭喜！你獲得 1 個天啟神秘寶箱！","Art/2DItems/Effects/MysteryChest/ApocalypseMysteryBox.dds","Apocalypse Mystery Box","Boîte mystère Apocalypse","Apokalypse-Überraschungskiste","Apocalypse Mystery Box","종말의 미스터리 박스","Caixa Misteriosa do Apocalipse","Загадочная коробка Апокалипсиса","Caja misteriosa del Apocalipsis","กล่องปริศนา Apocalypse","天啟神秘寶箱","MysteryPackApocalypseBox"
57,24,12,[4296],0,"","","","","","","","","","","","","","","","","","","","","","DelvePet"
58,24,24,[1513],0,"","","","","","","","","","","","","","","","","","","","","","DelveBackAttachment"
59,24,36,[1503],0,"","","","","","","","","","","","","","","","","","","","","","DelvePortalEffect"
60,24,19,[5048],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole13"
61,25,12,[1569],0,"","","","","","","","","","","","","","","","","","","","","","BetrayalHelmetAttachment"
62,25,24,[1570],0,"","","","","","","","","","","","","","","","","","","","","","BetrayalAuraEffect"
63,25,36,[1571],0,"","","","","","","","","","","","","","","","","","","","","","BetrayalCloak"
64,25,19,[5050],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole14"
65,26,12,"[1752,1753]",0,"","","","","","","","","","","","","","","","","","","","","","SynthesisHelmetBundle"
66,26,24,[4310],0,"","","","","","","","","","","","","","","","","","","","","","SynthesisPet"
67,26,36,[1754],0,"","","","","","","","","","","","","","","","","","","","","","SynthesisWings"
68,26,19,[5052],3,"","","","","","","","","","","","","","","","","","","","","","HideoutTotemPole15"
69,27,1,[],0,"Congratulations!\nYou earned a Glimmerwood Mystery Box!","Félicitations !\nVous avez remporté une Boîte mystère de Boiscintillant !","Glückwunsch!\nDu hast eine Düsterwald-Überraschungskiste freigespielt!","Congratulations!\nYou earned a Glimmerwood Mystery Box!","축하합니다!\n미광의 숲 미스터리 박스를 획득하셨습니다!","Parabéns!\nVocê ganhou uma Caixa Misteriosa da Madeira Cintilante!","Поздравляем!\nВы получили Загадочную коробку Мерцающего леса!","¡Felicitaciones!\n¡Has obtenido una Caja misteriosa de Bosque Encantado!","ยินดีด้วย!\nคุณได้รับกล่องปริศนา Glimmerwood แล้ว!","恭喜！你獲得 1 個微熠之森神秘寶箱！","Art/2DItems/Effects/MysteryChest/DarkwoodMysteryBox.dds","Glimmerwood Mystery Box","Boîte mystère de Boiscintillant","Düsterwald-Überraschungskiste","Glimmerwood Mystery Box","미광의 숲 미스터리 박스","Caixa Misteriosa da Madeira Cintilante","Загадочная коробка Мерцающего леса","Caja misteriosa de Bosque encantado","กล่องปริศนา Glimmerwood","微熠之森神秘寶箱","MysteryPackGlimmerwoodBox"
70,28,12,[1938],0,"Earned Monolith Crown Microtransaction!","Vous avez remporté la microtransaction Couronne du Monolithe !","Du hast die Mikrotransaktion 'Monolith-Krone' freigespielt!","Earned Monolith Crown Microtransaction!","기둥 왕관 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Coroa do Monólito!","Получена микротранзакция: корона Монолита!","¡Has obtenido la Microtransacción \""Corona de Monolito\""!","ได้รับของแฟชั่น Monolith Crown แล้ว!","獲得頭部外觀：石陣之冠！","","","","","","","","","","","","LegionHelmet"
71,28,24,[1939],0,"Earned Monolith Aura Effect Microtransaction!","Vous avez remporté la microtransaction Effet d'aura du Monolithe !","Du hast die Mikrotransaktion 'Monolith-Auraeffekt' freigespielt!","Earned Monolith Aura Effect Microtransaction!","기둥 오라 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito: Aura do Monólito!","Получена микротранзакция: эффект ауры Монолита!","¡Has obtenido la Microtransacción \""Efecto de Aura de Monolito\""!","ได้รับของแฟชั่น Monolith Aura Effect แล้ว!","獲得光環效果．永恆石陣！","","","","","","","","","","","","LegionAuraEffect"
72,28,36,[1940],0,"Earned Monolith Wings Microtransaction!","Vous avez remporté la microtransaction Ailes du Monolithe !","Du hast die Mikrotransaktion 'Monolith-Flügel' freigespielt!","Earned Monolith Wings Microtransaction!","기둥 날개 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Asas do Monólito!","Получена микротранзакция: крылья Монолита!","¡Has obtenido la Microtransacción \""Alas de Monolito\""!","ได้รับของแฟชั่น Monolith Wings แล้ว!","獲得背飾：石陣之翼！","","","","","","","","","","","","LegionWings"
73,28,19,[5054],3,"Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","Vous avez remporté le Totem Legion !\nPlus vous réussirez de défis, plus il sera imposant !","Du hast das Legion-Totem freigespielt!\nSchließe mehr Herausforderungen ab, um weitere davon zu erhalten!","Earned Legion Totem!\nThe more challenges you complete, the bigger it gets!","군단 토템을 획득했습니다!\n도전과제를 완료할수록 더 큰 보상이 기다립니다!","Ganhou o Totem Legion!\nQuanto mais desafios completar, maior ele fica!","Получена часть тотема Легиона!\nЗавершайте больше испытаний, чтобы получить оставшиеся части тотема!","¡Has obtenido el Tótem de Legion!\n¡Cuantos más desafíos completes, más grande será!","ได้รับชิ้นส่วนโทเทม Legion แล้ว!\nยิ่งคุณผ่านภารกิจท้าทายมากเท่าไหร่ โทเทมก็จะยิ่งสูงขึ้นเท่านั้น!","獲得戰亂圖騰！\n你完成越多挑戰，圖騰就越長！","","","","","","","","","","","","HideoutTotemPole16"
74,29,12,[2027],0,"Earned Blight Helmet Microtransaction!","Vous avez remporté la microtransaction Casque Blight !","Du hast die Mikrotransaktion 'Blight-Helm' freigespielt!","Earned Blight Helmet Microtransaction!","메마름의 시대 투구 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Elmo Infestado!","Получена микротранзакция: шлем Скверны!","¡Has obtenido la Microtransacción \""Casco de Blight\""!","ได้รับของแฟชั่น หมวกไบล์ท แล้ว!","獲得頭部外觀：凋落禁地！","","","","","","","","","","","","BlightHelmet"
75,29,24,[2028],0,"Earned Blight Portal Effect Microtransaction!","Vous avez remporté la microtransaction Portail Blight !","Du hast die Mikrotransaktion 'Blight-Portaleffekt' freigespielt!","Earned Blight Portal Effect Microtransaction!","메마름의 시대 포탈 이펙트 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Efeito Portal Infestado!","Получена микротранзакция: портал Скверны!","¡Has obtenido la Microtransacción \""Efecto de portal de Blight\""!","ได้รับของแฟชั่น เอฟเฟควาร์ปไบล์ท แล้ว!","獲得時空之門．凋落禁地","","","","","","","","","","","","BlightPortalEffect"
76,29,36,[2029],0,"Earned Blight Wings Microtransaction!","Vous avez remporté la microtransaction Ailes Blight !","Du hast die Mikrotransaktion 'Blight-Flügel' freigespielt!","Earned Blight Wings Microtransaction!","메마름의 시대 날개 포인트 아이템을 획득했습니다!","Ganhou a Microtransação Asas Infestadas!","Получена микротранзакция: крылья Скверны!","¡Has obtenido la Microtransacción \""Alas de Blight\""!","ได้รับของแฟชั่น ปีกไบล์ท แล้ว!","獲得背飾：凋落禁地！","","","","","","","","","","","","BlightWings"
77,29,19,[5056],3,"Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","Vous avez remporté le Totem Blight !\nPlus vous réussirez de défis, plus il sera imposant !","Du hast das Blight-Totem freigespielt!\nSchließe mehr Herausforderungen ab, um weitere davon zu erhalten!","Earned Blight Totem!\nThe more challenges you complete, the bigger it gets!","메마름의 시대 토템을 획득했습니다!\n도전과제를 완료할수록 더 큰 보상을 얻을 수 있습니다!","Ganhou o Totem Infestado!\nQuanto mais desafios completar, maior ele fica!","Получена часть тотема Скверны!\nЗавершайте больше испытаний, чтобы получить оставшиеся части тотема!","¡Has obtenido el Tótem de Blight!\n¡Cuantos más desafíos completes, más grande será!","ได้รับชิ้นส่วนโทเทมไบล์ทแล้ว!\nยิ่งคุณผ่านภารกิจท้าทายมากเท่าไหร่ โทเทมก็จะยิ่งสูงขึ้นเท่านั้น!","獲得凋落圖騰！\n你完成越多挑戰，圖騰就越長！","","","","","","","","","","","","HideoutTotemPole17"
