"rownum","string_0","i32_8","i32_12","i32_16","bool_20","i32_21","i32_25","bool_29","i32_30","bool_34","i32_35","i32_39"
0,"Basic Grenade",1058642330,1061997773,1056964608,"",0,1068289229,"",0,"",0,0
1,"Toxic Grenade",1058642330,1061997773,1056964608,"",0,1068289229,"",0,1,0,0
2,"Oil Grenade",1058642330,1061997773,1056964608,"",0,1068289229,1,0,"",0,0
3,"Mini Cluster Grenade",1058642330,1061997773,1056964608,"",0,1068289229,"",0,1,0,0
4,"Rolling Magma",1069547520,1069547520,1069547520,"",1,1070386381,"",0,"",0,0
5,"Rudja Gas Grenade",1053609165,1066611507,1058642330,"",5,1070386381,"",0,"",0,0
6,"Rudja Tar Grenade",1053609165,1065353216,1058642330,"",10,1070386381,"",0,"",0,0
7,"Rudja Flashbang",1053609165,1066611507,1056964608,"",5,1070386381,1,0,"",0,0
8,"Rudja Explosive Grenade",1053609165,1066611507,1058642330,"",5,1071225242,"",0,"",0,0
9,"DrudgeExplosive Grenade",1053609165,1061997773,1058642330,"",4,1068289229,"",0,"",0,6
10,"Titan Boss",1065353216,1065353216,1065353216,"",5,1065353216,1,0,"",0,0
11,"DoryaniHumanBossCrystalMines",1048576000,1058642330,1058642330,"",3,1073741824,"",0,"",0,60
12,"VaalHumanoidPyramidHandsGrenade",1053609165,1058642330,1058642330,"",5,1071225242,"",0,1,0,10
13,"VaalHumanoidCannonHands",1048576000,1045220557,1045220557,"",0,1077936128,1,0,"",0,15
14,"UndeadMarakethPriest",1064514355,1061997773,1064514355,"",15,1071644672,1,0,"",0,0
15,"VaalStormcallerBouncingLightning",1065353216,1065353216,1065353216,"",40,1071644672,1,120,"",0,15
16,"VaalGoliathCrystalCannisterCrystal",1056964608,1058642330,1060320051,"",5,1071225242,"",0,1,0,60
17,"BreachEliteFallenLunarisMonsterProjectile",1065353216,1045220557,1065353216,"",30,1068289229,1,30,"",0,0
18,"ChimeraWetlandsLightningBreath",1063675494,1063675494,1063675494,"",5,1065353216,1,120,"",50,15
