"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)"
0,"Strength","Strength","Force","Stärke","筋力","힘","Força ","Сила","Fuerza","Strength","力量"
1,"Dexterity","Dexterity","Dextérité","Geschick","器用さ","민첩","Destreza ","Ловкость","Destreza","Dexterity","敏捷"
2,"ManaMultiplier","Mana Multiplier","Multiplicateur de Mana","Manamultiplikator","マナ倍率","마나 배율","Multiplicador de Mana ","Множитель маны","Multiplicador de maná","ตัวคูณมานา","魔力加成"
3,"CostMultiplier","Cost Multiplier","Multiplicateur de Coût","Kostenmultiplikator","コスト倍率","소모 배율","Multiplicador de Custo ","Множитель расхода","Multiplicador de costo","ตัวคูณค่าใช้งาน","消耗加成"
4,"Intelligence","Intelligence","Intelligence","Intelligenz","知性","지능","Inteligência ","Интеллект","Inteligencia","Intelligence","智慧"
5,"Slow","Slow","Ralentissement","Verlangsamen","減速","감속","Desacelerar ","Замедление","Ralentización","เชื่องช้า","緩速"
6,"Ignite","Ignite","Embrassement","Entzünden","発火","점화","Incêndio ","Поджог","Quemadura","ลุกไหม้","點燃"
7,"AdditionalReservation","Additional Reservation","Réservation supplémentaire","Zusätzliche Reservierung","追加リザーブ","추가 점유","Reserva Adicional ","Дополнительное удержание","Reserva adicional","ค่าสำรองเพิ่มเติม","額外保留"
8,"Ammo","Ammo","Munitions","Munition","弾薬","탄약","Munição ","Боеприпас","Munición","กระสุน","彈藥"
9,"Sacrifice","Sacrifice","Sacrifice","Opfer","犠牲","희생","Sacrifício ","Жертва","Sacrificio","สละ","獻祭"
10,"Summon","Summon","Invocation","Beschwörung","召喚","소환","Invocar ","Призыв","Invocación","อัญเชิญ","召喚"
11,"Skeleton","Skeleton","Squelette","Skelett","スケルトン","해골","Esqueleto ","Скелет","Esqueleto","โครงกระดูก","骷髏"
12,"Skeletal","Skeletal","Squelettique","Skelettartig","スケルタル","해골","Esquelético ","Скелеты","Esquelético","กระดูก","骷髏的"
13,"Mana","Mana","Mana","Mana","マナ","마나","Mana ","Мана","Maná","มานา","魔力"
14,"Trigger","Trigger","Déclenchement","Auslöser","トリガー","발동","Ativação","Активатор","Activación","ทริกเกอร์","觸發"
15,"Command","Command","Ordre","Befehl","コマンド","명령","Comando ","Команда","Orden","สั่งการ","命令"
16,"Minion","Minion","Créature","Kreatur","ミニオン","소환수","Lacaio ","Приспешник","Esbirro","มิเนียน","召喚物"
17,"Sticky","Sticky","Collant","Haftend","粘着","점착","Pegajoso ","Закрепляемое","Pegajoso","เกาะติด","黏性"
18,"Utility","Utility","Utilitaire","Nützliches","ユーティリティ","특수","Utilitário ","Вспомогательное","Utilidad","ช่วยเหลือ","功能"
19,"Bomb","Bomb","Bombe","Bombe","爆弾","폭탄","Bomba ","Бомба","Bomba","ระเบิด","炸彈"
20,"Trade-off","Trade-off","Apothéose","Heimzahlen","トレード・オフ","상쇄","Compensação ","Обмен","Equilibrio","แลกเปลี่ยน","交換"
21,"Counter","Counter","Contre","Konter","カウンター","대응","Contra ","Противодействие","Contrarresto","สวนกลับ","反制"
22,"Counterattack","Counterattack","Contre-attaque","Gegenangriff","反撃","반격","Contra-ataque ","Контратака","Contraataque","โจมตีสวนกลับ","反擊"
23,"Parry","Parry","Parade","Parieren","パリィ","흘려보내기","Aparar ","Парирование","Parada","แพรี่","招架"
24,"Shield","Shield","Bouclier","Schild","盾","보호막","Escudo ","Щит","Escudo","โล่","盾"
25,"Poise","Poise","Posture","Balance","安定","침착","Equilíbrio ","Устойчивость","Compostura","ทรงตัว","沉著"
26,"Meta","Meta","Méta","Meta","メタ","메타","Meta ","Мета","Meta","เมต้า","主要"
27,"ArcaneArcher","Arcane Archer","Archer arcanique","Arkane Bogenschützen","アーケインアーチャー","아케인 아처","Arqueiro Arcano ","Колдовская лучница","Arquero arcano","Arcane Archer","秘能弓箭手"
28,"Reservation","Reservation","Réservation","Reservierung","リザーブ","점유","Reserva ","Удержание","Reserva","ค่าสำรอง","保留"
29,"Banner","Banner","Étendard","Banner","バナー","깃발","Estandarte ","Знамя","Estandarte","ธง","旗幟"
30,"Block","Block","Blocage","Blocken","ブロック","막기","Bloqueio ","Блок","Bloqueo","บล็อค","格擋"
31,"Defense","Defense","Défense","Defensive","防御力","방어","Defesa","Защита","Defensa","ป้องกัน","防禦"
32,"Defence","Defence","Défense","Verteidigung","防御力","방어","Defesa","Защита","Defensa","ป้องกัน","防禦"
