"rownum","Id","Variant","i32_12","i32_16","TextAudio","RoundsMin","RoundsMax"
0,"ApproachShout",0,-256,256,13013,1,1
1,"ApproachShout",1,-256,256,13013,2,2
2,"ApproachShout",2,-256,256,13013,3,3
3,"ApproachShout",3,-256,256,13013,4,4
4,"ApproachShout",4,-256,256,13013,5,5
5,"ApproachShout",5,-256,256,13021,6,6
6,"ApproachShout",6,-256,256,13021,7,7
7,"ApproachShout",7,-256,256,13021,8,8
8,"ApproachShout",8,-256,256,13021,9,9
9,"ApproachShout",9,-256,-5,13048,0,0
10,"ApproachShout",10,-4,-2,13039,0,0
11,"ApproachShout",11,-1,-1,13027,0,0
12,"ApproachShout",12,0,0,12945,0,0
13,"ApproachShout",13,1,1,12957,0,0
14,"ApproachShout",14,2,2,12977,0,0
15,"ApproachShout",15,3,4,12980,0,0
16,"ApproachShout",16,5,256,12995,0,0
17,"PlayerWon",0,-256,-5,13634,0,10
18,"PlayerWon",1,-4,-2,13628,0,10
19,"PlayerWon",2,-1,-1,13622,0,10
20,"PlayerWon",3,0,0,13640,0,10
21,"PlayerWon",4,1,1,13640,0,10
22,"PlayerWon",5,2,4,13646,0,10
23,"PlayerWon",6,100,100,13619,0,10
24,"PlayerWon",7,5,256,13652,0,10
25,"PlayerLost",0,-256,-5,12915,0,10
26,"PlayerLost",1,-4,-2,12903,0,10
27,"PlayerLost",2,-1,-1,12876,0,10
28,"PlayerLost",3,0,0,12876,0,10
29,"PlayerLost",4,1,1,12876,0,10
30,"PlayerLost",5,2,4,12876,0,10
31,"PlayerLost",6,5,256,12876,0,10
