"rownum","Id","QuestStates","[i32]_24","AchievementItems","NPCs","bool_72"
0,"UnlockScionClass",[532],[],[],[],""
1,"DefeatShaper",[],[318],[],"[83,81]",""
2,"DefeatElder",[],[317],[],"[83,81]",""
3,"DefeatUberElder",[],[319],[],"[83,81]",""
4,"CompleteAllOptionalQuests",[72],[],[],[],""
5,"DefeatCatarina",[],[536],[],"[44,46]",""
6,"CraftingUnlockMovementSpeed1",[],[146],[],[68],""
7,"CraftingUnlockSpellDamage1",[],[161],[],[68],""
8,"CraftingUnlockAttackCastSpeed1",[],[168],[],[68],""
9,"CraftingUnlockSocketNumbers1",[],[245],[],[68],""
10,"CraftingUnlockAccuracy1",[],[183],[],[68],""
11,"CraftingUnlockSpellDamage3",[],[163],[],[68],""
12,"CraftingUnlockPhysicalDamage3",[],[160],[],[68],""
13,"CraftingUnlockDefences2",[],[188],[],[68],""
14,"CraftingUnlockEnergyShieldRecharge1",[],[198],[],[68],""
15,"CraftingUnlockMinions2",[],[229],[],[68],""
16,"UnlockedMapDevice",[],[350],[8278],"[83,81]",""
17,"KillAtziri",[185],[],[],[],""
18,"KillUberAtziri",[978],[],[],[],""
19,"DefeatSirusTheAwakener",[],[347],[],"[83,81]",""
20,"DefeatOshabi",[2183],[1097],[7019],"[83,81]",""
21,"ContractStolenLockpicks",[],[800],[7232],"[123,121,140]",""
22,"ContractKarstsRevenge",[],[801],[7233],"[123,121,140]",""
23,"ContractCreditWhereCreditsDue",[],[802],[7234],"[123,121,140]",""
24,"ContractFindingOpal",[],[803],[7235],"[123,121,140]",""
25,"ContractOpalsJewels",[],[804],[7236],"[123,121,140]",""
26,"ContractEnochsWhereabouts",[],[805],[7237],"[123,121,140]",""
27,"ContractEnochsRemains",[],[806],[7238],"[123,121,140]",""
28,"ContractGroceryList",[],[807],[7239],"[123,121,140]",""
29,"ContractTheVinderiBomb",[],[808],[7240],"[123,121,140]",""
30,"ContractTheNamelessPlay",[],[809],[7241],"[123,121,140]",""
31,"ContractTheFinestCostumes",[],[810],[7242],"[123,121,140]",""
32,"ContractTheWeddingDress",[],[811],[7243],"[123,121,140]",""
33,"ContractDisengagement",[],[812],[7244],"[123,121,140]",""
34,"ContractRationalTools",[],[813],[7245],"[123,121,140]",""
35,"ContractAMundaneSample",[],[814],[7246],"[123,121,140]",""
36,"ContractTheTwins",[],[832],[7250],"[123,121,140]",""
37,"ContractBreakingTheUnbreakable",[],[819],[7247],"[123,121,140]",""
38,"ContractHeartOfGlory",[],[822],[7248],"[123,121,140]",""
39,"ContractDeathToNarnaw",[],[828],[7249],"[123,121,140]",""
40,"TheMaven",[],[885],[7739],"[83,81]",""
41,"ExpeditionTutorial1",[],[1096],[7772],"[173,174,175,176,181,182,183,184]",""
42,"ExpeditionTutorial2",[],[1154],[7773],"[173,174,175,176,181,182,183,184]",""
43,"ScourgeTutorial",[],[1159],[8073],"[189,190,191]",""
44,"FavouriteMaps",[],"[355,356,357,358,359,360,361,362,363,364,365,366]","[8420,9063]",[],1
45,"Unlock5SlotMapDevice",[],[6],[8771],"[83,81]",""
46,"LakeQuestReroll",[],"[1216,1217,1218]",[8759],"[83,81]",""
47,"LakeQuestSkip",[],"[1219,1220,1221]",[8760],"[83,81]",""
48,"LakeQuestBanish",[],"[1222,1223,1274]",[8761],"[83,81]",""
49,"SanctumUnlockRelics",[],[1011],[8944],[213],""
50,"SanctumUnlockAllRelics",[],"[1011,1013,1023,1024,1025,1014,1015,1016,1017,1018,1020,1021,1022]",[9053],[213],""
51,"PoeMTutorialDone","[3373,0]",[],[9354],[],""
52,"PoeMCompleteShapedReliquary",[3552],[],[9385],[],""
53,"PoeMCollectMemoryfragment1",[3570],[],[9386],[],""
54,"PoeMCollectMemoryfragment2",[3569],[],[9387],[],""
55,"PoeMCollectMemoryfragment3",[3568],[],[9388],[],""
56,"PoeMCollectMemoryfragment4",[3567],[],[9389],[],""
57,"PoeMCollectMemoryfragment5",[3566],[],[9390],[],""
58,"PoeMCollectMemoryfragment6",[3565],[],[9391],[],""
59,"PoeMCompleteAct1",[3268],[],[9400],[],""
60,"PoeMCompleteAct2",[3278],[],[9401],[],""
61,"PoeMTownLore1",[4265],[],[9402],[],""
62,"PoeMTownLore2",[4266],[],[9403],[],""
63,"PoeMTownLore3",[4267],[],[9404],[],""
64,"PoeMTownLore4",[4268],[],[9405],[],""
65,"PoeMTownLore5",[4269],[],[9406],[],""
66,"PoeMTownLore6",[4270],[],[9407],[],""
67,"PoeMTownLore7",[4271],[],[9408],[],""
68,"PoeMTownLorePreface",[3881],[],[9409],[],""
69,"Act1Achievement",[3000],[],[9418],"[239,240,344,310]",""
70,"Act2Achievement",[3725],[],"[9419,9451]","[239,240,344,310]",""
71,"Act3Achievement",[3907],[],[9420],"[239,240,344,310]",""
72,"AllAscendancyPoints","[2690,0,0,0]",[],[9426],"[239,240,344,310]",""
73,"CraftingBenchUnlocks",[],[4026],[9467],"[239,240,344,310]",""
74,"74",[],[],[],[],""
