"rownum","Id","bool_8"
0,"DISABLED",""
1,"AtlasMission",1
2,"DIVIDER1",1
3,"Gossip",""
4,"Topic",""
5,"DIVIDER2",""
6,"Quests",1
7,"QuestReward",1
8,"NextPresetQuest",1
9,"DIVIDER3",1
10,"OpenExpeditionMap",1
11,"RightMenu",1
12,"BuyItems",1
13,"SellItems",1
14,"Crafting",1
15,"DIVIDER4",1
16,"PVP",1
17,"ArenaPVP",1
18,"DIVIDER5",1
19,"TradeDivinationCards",1
20,"CadiroOffer",1
21,"Music",1
22,"DIVIDER6",1
23,"SelectHideout",1
24,"SelectGuildHideout",1
25,"InviteToHideout",1
26,"BuyExpeditionItems",1
27,"BuySanctumRelics",1
28,"IdentifyItems",1
29,"RespecPassivePoints",1
30,"RespecAtlasPassivePoints",1
31,"CurrencyExchange",1
32,"ChooseOneUnique",1
33,"Recombinate",1
