"rownum","BaseItemType","Tier","AreaLevel"
0,2832,1,1
1,2832,2,4
2,2832,3,7
3,2832,4,11
4,2832,5,15
5,2832,6,19
6,2832,7,23
7,2832,8,27
8,2832,9,32
9,2832,10,37
10,2832,11,42
11,2832,12,47
12,2832,13,53
13,2832,14,59
14,2834,1,1
15,2834,2,35
16,2834,3,53
17,2834,4,85
18,2834,5,86
19,2834,6,87
20,2834,7,88
21,2834,8,89
22,2834,9,90
23,2834,10,91
24,2834,11,92
25,2833,1,1
26,3173,1,1
27,3173,2,4
28,3173,3,7
29,3173,4,11
30,3173,5,15
31,3173,6,19
32,3173,7,23
33,3173,8,27
34,3173,9,32
35,3173,10,37
36,3173,11,42
37,3173,12,47
38,3173,13,53
39,3173,14,59
