"rownum","BaseItemType","Block","i32_20"
0,273,25,0
1,2388,25,0
2,2236,26,0
3,2237,26,0
4,2238,26,0
5,2239,26,0
6,2240,26,0
7,2241,26,0
8,2242,26,0
9,2243,26,0
10,2244,26,0
11,2245,26,0
12,2246,26,0
13,2247,26,0
14,2248,26,0
15,2249,25,0
16,2250,25,0
17,2251,25,0
18,2252,25,0
19,2253,25,0
20,2254,25,0
21,2255,25,0
22,2256,25,0
23,2257,25,0
24,2258,25,0
25,2259,25,0
26,2260,25,0
27,2261,25,0
28,2262,25,0
29,2263,25,0
30,2264,25,0
31,2265,25,0
32,2266,25,0
33,2267,25,0
34,2268,25,0
35,2269,25,0
36,2270,25,0
37,2271,20,0
38,2272,20,0
39,2273,20,0
40,2274,20,0
41,2275,20,0
42,2276,20,0
43,2277,20,0
44,2278,20,0
45,2279,20,0
46,2280,20,0
47,2281,20,0
48,2282,20,0
49,2283,20,0
50,2585,26,0
51,2586,26,0
52,2587,26,0
53,2588,26,0
54,2589,26,0
55,2590,26,0
56,2591,25,0
57,2592,25,0
58,2593,25,0
59,2594,25,0
60,2595,25,0
61,2596,25,0
62,2597,25,0
63,2598,25,0
64,2599,25,0
65,2600,25,0
66,2601,25,0
67,2602,25,0
68,2603,20,0
69,2604,20,0
70,2605,20,0
71,2606,20,0
72,2607,20,0
73,2608,20,0
74,2689,26,0
75,2690,26,0
76,2691,26,0
77,2692,25,0
78,2693,25,0
79,2694,25,0
80,2695,25,0
81,2696,25,0
82,2697,25,0
83,2698,20,0
84,2699,20,0
85,2700,20,0
