"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57"
0,653,[7355],[6838],20,"","","","","",1
1,654,[7355],[6838],20,"","","","","",1
2,655,[7355],[6838],20,"","","","","",1
3,656,[7355],[6838],20,"","","","","",1
4,658,[7356],[],20,"","","","","",1
5,659,[7356],[],20,"","","","","",1
6,660,[7356],[],20,"","","","","",1
7,661,[7356],[],20,"","","","","",1
8,668,[7359],[],20,"","","","","",1
9,669,[7359],[],20,"","","","","",1
10,670,[7359],[],20,"","","","","",1
11,671,[7359],[],20,"","","","","",1
12,673,[7360],[],20,"","","","","",1
13,674,[7360],[],20,"","","","","",1
14,675,[7360],[],20,"","","","","",1
15,676,[7360],[],20,"","","","","",1
16,678,[7361],[],20,"","","","","",1
17,679,[7361],[],20,"","","","","",1
18,680,[7361],[],20,"","","","","",1
19,681,[7361],[],20,"","","","","",1
20,683,[7362],[],20,"","","","","",1
21,684,[7362],[],20,"","","","","",1
22,685,[7362],[],20,"","","","","",1
23,686,[7362],[],20,"","","","","",1
24,688,[7363],[],20,"","","","","",""
25,860,[10833],[6839],1,1,"","","","",""
26,861,[10834],[6839],1,1,"","","","",""
27,862,[10835],[6839],1,1,"","","","",""
28,863,[10836],"[6839,6977]",1,1,"","","","",""
29,864,[10837],[6839],2,1,"","","","",""
30,865,[10838],[6839],2,1,"","","","",""
31,866,[10839],[6839],2,1,"","","","",""
32,867,[10840],"[6839,6978]",2,1,"","","","",""
33,868,[10841],[6839],3,1,"","","","",""
34,869,[10842],[6839],3,1,"","","","",""
35,870,[10843],[6839],3,1,"","","","",""
36,871,[10844],"[6839,6979]",3,1,"","","","",""
37,872,[10845],[6839],0,1,"","","","",""
38,873,[10846],[6839],0,1,"","","","",""
39,874,[10847],[6839],0,1,"","","","",""
40,875,[10848],"[6839,6980]",0,1,"","","","",""
41,876,[10849],[6839],0,1,"","","","",""
42,877,[10850],[6839],0,1,"","","","",""
43,878,[10851],[6839],0,1,"","","","",""
44,879,[10852],[6839],0,1,"","","","",""
45,880,[10853],[6839],4,1,1,"","","",""
46,881,[10854],[6839],4,1,1,"","","",""
47,882,[10855],[6839],4,1,1,"","","",""
48,883,[10856],"[6839,6981]",4,1,1,"","","",""
49,884,[10857],[6839],5,1,"",1,"","",""
50,885,[10858],[6839],5,1,"",1,"","",""
51,886,[10859],[6839],5,1,"",1,"","",""
52,887,[10860],"[6839,6982]",5,1,"",1,"","",""
53,888,[10861],[6839],0,1,"","","","",""
54,889,[10862],[6839],0,1,"","","","",""
55,890,[10863],[6839],0,1,"","","","",""
56,891,[10864],"[6839,6983]",0,1,"","","","",""
57,892,[10865],[6839],6,1,"","","","",""
58,893,[10866],[6839],6,1,"","","","",""
59,894,[10867],[6839],6,1,"","","","",""
60,895,[10868],"[6839,6984]",6,1,"","","","",""
61,896,[10869],[6839],7,1,"","","","",""
62,897,[10870],[6839],7,1,"","","","",""
63,898,[10871],[6839],7,1,"","","","",""
64,899,[10872],"[6839,6985]",7,1,"","","","",""
65,900,[10873],[6839],8,1,"","","","",""
66,901,[10874],[6839],8,1,"","","","",""
67,902,[10875],[6839],8,1,"","","","",""
68,903,[10876],"[6839,6986]",8,1,"","","","",""
69,904,[10877],[6839],9,1,"","","","",""
70,905,[10878],[6839],9,1,"","","","",""
71,906,[10879],[6839],9,1,"","","","",""
72,907,[10880],"[6839,6987]",9,1,"","","","",""
73,908,[10881],[6839],10,1,"","","","",""
74,909,[10882],[6839],10,1,"","","","",""
75,910,[10883],[6839],10,1,"","","","",""
76,911,[10884],"[6839,6988]",10,1,"","","","",""
77,912,[10885],[6839],11,1,"","","","",""
78,913,[10886],[6839],11,1,"","","","",""
79,914,[10887],[6839],11,1,"","","","",""
80,915,[10888],"[6839,6989]",11,1,"","","","",""
81,916,[10889],[6839],12,1,"","","","",""
82,917,[10890],[6839],12,1,"","","","",""
83,918,[10891],[6839],12,1,"","","","",""
84,919,[10892],"[6839,6990]",12,1,"","","","",""
85,920,[10893],[],13,1,"","","","",""
86,921,[10894],[],13,1,"","","","",""
87,922,[10895],[],13,1,"","","","",""
88,923,[10896],[],13,1,"","","","",""
89,924,[10897],[],14,1,"","","","",""
90,925,[10898],[],14,1,"","","","",""
91,926,[10899],[],14,1,"","","","",""
92,927,[10900],[],14,1,"","","","",""
93,715,"[11254,11259]",[],15,"","","",1,"",""
94,716,"[11255,11260]",[],16,"","","",1,"",""
95,717,"[11256,11261]",[],17,"","","",1,"",""
96,718,"[11257,11262]",[],18,"","","",1,"",""
97,719,"[11258,11263]",[],19,"","","",1,"",""
98,720,"[11264,11269]",[],15,"","","",1,"",""
99,721,"[11265,11270]",[],16,"","","",1,"",""
100,722,"[11266,11271]",[],17,"","","",1,"",""
101,723,"[11267,11272]",[],18,"","","",1,"",""
102,724,"[11268,11273]",[],19,"","","",1,"",""
103,725,[7357],[],20,"","","",1,"",""
104,756,[12515],[7608],20,1,"","","",1,""
105,743,[13361],[],20,"","","",1,"",""
106,744,[13362],[],20,"","","",1,"",""
107,745,[13363],[],20,"","","",1,"",""
108,746,[13364],[],20,"","","",1,"",""
109,747,[13365],[],20,"","","",1,"",""
110,748,[13366],[],20,"","","",1,"",""
111,749,[13367],[],20,"","","",1,"",""
112,750,[13368],[],20,"","","",1,"",""
113,751,[13369],[],20,"","","",1,"",""
114,752,[13370],[],20,"","","",1,"",""
115,753,[13371],[],20,"","","",1,"",""
116,754,[13372],[],20,"","","",1,"",""
117,755,[13373],[],20,"","","",1,"",""
