"rownum","i32_0","[rid]_4","[rid]_20","i32_36","i32_40","i32_44","string_48"
0,0,[],[72],24,0,1,""
1,1,"[2906,2907]",[2917],94,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master.tsi"
2,2,[2917],[3186],262,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_10.tsi"
3,3,[2919],[3724],414,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_11.tsi"
4,4,[3186],[2915],590,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_MarakethDesert.tsi"
5,5,"[2908,2909]","[2910,2911,2913]",830,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_3.tsi"
6,6,"[2910,3212,3213,3586]","[3217,3216]",1042,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_4.tsi"
7,7,[2911],[3225],1188,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_5.tsi"
8,8,"[2913,2914]",[3416],1376,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_6.tsi"
9,9,"[2915,2916]",[3281],1562,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_8.tsi"
10,10,[3281],[2920],1712,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_WhiteSandDesert.tsi"
11,11,[2920],[3725],1912,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_12.tsi"
12,12,[3725],[3640],2074,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_Worship.tsi"
13,13,[3640],[],2228,0,2,"Metadata/Terrain/Gallows/Act2/2_town/master_MarakethDesert.tsi"
14,14,"[3640,3641]",[3765],2316,0,3,"Metadata/Terrain/Gallows/Act3/3_town/tiles.tst"
15,15,[3765],[3816],2482,0,3,""
16,16,[3816],[],2538,0,3,""
17,17,[3861],[],2632,0,4,""
18,18,[3972],[],2676,0,5,""
