"rownum","ModType","HASH16"
0,425,22335
1,429,53708
2,433,38728
3,435,42784
4,134,24751
5,135,6108
6,136,25895
7,137,57399
8,10782,44244
9,247,54912
10,0,31066
11,233,48581
12,11,549
13,464,38023
14,56,19840
15,54,62727
16,6,7224
17,58,64186
18,49,49969
19,63,56498
20,57,44820
21,55,42008
22,8,13379
23,64,43788
24,65,52965
25,66,42009
26,61,34404
27,43,11451
28,9,62113
29,520,64233
30,518,55240
31,522,3668
32,530,45125
33,531,55444
34,532,14712
35,533,62322
36,534,32235
37,535,20928
38,77,18797
39,78,28205
40,79,20417
41,74,43109
42,75,46591
43,76,30472
44,84,19427
45,85,42489
46,86,40033
47,81,29129
48,82,9749
49,83,22210
50,91,47404
51,92,39398
52,93,1671
53,88,28685
54,89,41693
55,90,4528
56,1257,30086
57,10812,492
58,155,13054
59,3890,2860
60,130,60059
61,16,36507
62,1,10329
63,4,56525
64,5,32151
65,52,14570
66,53,60527
67,185,15771
68,186,43956
69,13,17684
70,14,1482
71,182,24710
72,183,52345
73,10775,60619
74,10772,42808
75,10773,32400
76,10774,4633
77,235,36909
78,12,41093
79,10771,36251
80,96,2038
81,99,34587
82,163,63413
83,169,16926
84,175,14650
85,179,27284
86,181,59967
87,1503,57302
88,1504,29560
89,381,46276
90,382,7066
91,383,43593
92,384,36640
93,385,41605
94,386,59613
95,387,29808
96,388,15945
97,389,25845
98,392,16925
99,393,37562
100,394,49840
101,395,33268
102,396,27172
103,397,45059
104,398,27350
105,399,38632
106,400,62281
107,401,59912
108,404,10795
109,127,13821
110,10783,12511
111,128,5667
112,21,13844
113,22,23507
114,26,52924
115,27,33237
116,355,9844
117,356,9475
118,266,22821
119,267,45947
120,120,17494
121,238,36958
122,10777,23396
123,117,32468
124,10778,47430
125,1497,64478
126,125,23116
127,421,65410
128,10779,63481
129,242,38564
130,10726,37613
131,252,55450
132,9320,18691
133,9321,21370
134,10780,44072
135,250,63217
136,329,8895
137,9347,30503
138,9348,42788
139,9349,61743
140,10781,2264
141,158,20842
142,159,37022
143,1258,23935
144,1260,11486
145,1262,28349
146,35,63501
147,36,36121
148,38,13616
149,147,48615
150,144,14336
151,145,15731
152,116,14557
153,115,49994
154,112,14098
155,114,35260
156,109,53599
157,110,44575
158,6168,21944
159,3966,56013
160,1220,1990
161,592,11353
162,2374,51913
163,2375,8675
164,6798,37348
165,28,25250
166,29,992
167,541,57032
168,545,34393
169,542,50847
170,536,553
171,537,2771
172,538,11126
173,539,48057
174,10957,8898
175,10805,61225
176,10809,25893
177,10806,29482
178,263,27965
179,7156,32406
180,1038,60577
181,10813,22608
182,10811,27791
183,723,65062
184,161,9108
185,167,36971
186,173,39082
187,2058,46306
188,268,49864
189,10845,6397
190,10846,45308
191,10847,30482
192,9292,49755
193,10814,8637
194,10804,2815
195,483,11665
196,4062,52188
197,4063,19246
