"rownum","rid_0","[rid]_16","[i32]_32"
0,3939,[19942],[300]
1,3484,[18672],[-50]
2,3485,[19034],[50]
3,2902,[119],[750]
4,3309,[3281],[1]
5,3413,[1007],[1]
6,3422,[19166],[50]
7,3499,[408],[-25]
8,3500,[19565],[5]
9,2765,[171],[-20]
10,3336,[4693],[1]
11,2409,[118],[100]
12,3290,[19762],[1]
13,2433,[118],[30]
14,2889,[119],[900]
15,2903,[119],[240]
16,3288,[3508],[1]
17,3325,[19551],[2]
18,3326,[18908],[10]
19,3344,[9229],[100]
20,3345,[804],[10]
21,3409,[16855],[1]
22,3414,"[11259,11260,19371,11261,12300]","[10,30,10,1,1]"
23,3478,[9442],[100]
24,3537,[9594],[60]
25,3153,[201],[40]
26,3172,[132],[50]
27,3273,[14861],[40]
28,3284,[8931],[10]
29,3351,[5146],[25]
30,3416,[133],[-30]
31,3423,[3828],[1]
32,3424,[18412],[50]
33,3427,[9435],[25]
34,3477,[19364],[500]
35,3551,[19740],[1]
36,2891,[119],[750]
37,3305,[18789],[50]
38,3340,[19441],[25]
39,3515,[11238],[1]
40,3516,[11237],[1]
41,3710,[1306],[-1]
42,2465,[118],[-25]
43,3160,[14119],[-50]
44,3443,[1248],[25]
45,3521,[19765],[1]
46,3159,[14119],[-50]
47,3343,[18909],[20]
48,3352,[4487],[-20]
49,3353,[4488],[100]
50,3415,[133],[40]
51,3420,[7204],[1]
52,3483,[19686],[1]
53,3492,[181],[20]
54,3493,[3781],[1]
55,3494,[3782],[1]
56,2300,[140],[62]
57,2347,[135],[30]
58,2350,[135],[-10]
59,2463,[118],[50]
60,2763,[171],[-10]
61,2893,[119],[180]
62,2895,[119],[750]
63,2901,[119],[270]
64,2950,[99],[10]
65,2962,[101],[10]
66,3163,[1039],[15]
67,3342,[17028],[20]
68,3380,[423],[15]
69,3388,[3462],[-42]
70,3389,[2546],[-42]
71,3390,[3463],[-42]
72,3430,[1992],[1]
73,3431,[9395],[1]
74,3440,[1745],[1]
75,3454,[19540],[1]
76,3455,[19602],[1]
77,3456,[19603],[1]
78,3472,[2041],[1]
79,3473,[2042],[1]
80,3474,[2043],[1]
81,3480,[19621],[100]
82,3488,[19684],[100]
83,3489,[19724],[1]
84,3556,[3368],[25]
85,3557,[10382],[52]
86,3566,[20299],[1]
87,3567,[20036],[3]
88,3569,[19184],[1]
89,3577,[4456],[12]
90,3578,[15409],[10]
91,3914,[451],[1]
92,3924,[793],[1]
93,3929,[2277],[1]
94,2900,[119],[480]
95,2951,[99],[8]
96,2963,[101],[5]
97,2974,[70],[5]
98,2975,[70],[6]
99,2976,[70],[5]
100,2980,[70],[-5]
101,2981,[70],[7]
102,3013,[210],[-10]
103,3014,[210],[9]
104,3209,[18417],[45]
105,3217,[17891],[25]
106,3220,[25],[15]
107,3289,[18772],[1]
108,3338,[19817],[1]
109,3356,[2053],[6000]
110,3357,[2054],[6000]
111,3358,[2055],[6000]
112,3359,[2056],[6000]
113,3360,[1799],[1]
114,3362,[20267],[12]
115,3367,[19619],[1]
116,3368,[9225],[800]
117,3369,[19620],[1]
118,3370,[5709],[1]
119,3375,[3435],[25]
120,3400,[2111],[1]
121,3401,[3266],[25]
122,3402,[3266],[25]
123,3405,[19066],[1]
124,3408,[19742],[1]
125,3915,[18014],[100]
126,3920,[19372],[33]
127,3921,[19373],[33]
128,3922,[19374],[33]
129,3928,[19202],[1]
130,2441,[117],[50]
131,2758,[171],[10]
132,2759,[171],[15]
133,2760,[171],[15]
134,2761,[171],[10]
135,2762,[171],[15]
136,2764,[171],[10]
137,2766,[171],[10]
138,2767,[171],[20]
139,2768,[171],[20]
140,2771,[171],[15]
141,2774,[171],[12]
142,2776,[171],[15]
143,2781,[171],[10]
144,2896,[119],[1350]
145,3155,[199],[40]
146,3156,[198],[40]
147,3157,[200],[40]
148,3171,[132],[-5]
149,3267,[18661],[1]
150,3285,[20723],[1]
151,3286,[11264],[1]
152,3372,[1082],[10]
153,3392,[19729],[1]
154,3393,[19710],[30]
155,3395,[174],[1]
156,3396,[175],[1]
157,3398,[172],[5]
158,3399,[3370],[12]
159,3417,[133],[100]
160,3446,[19446],[90]
161,3447,[19442],[25]
162,3457,[18926],[1]
163,3490,[19723],[40]
164,3502,[19741],[1]
165,3536,[19795],[1]
166,3549,[215],[200]
167,3707,[844],[15]
168,3925,[704],[1]
169,2266,[138],[22]
170,2780,[171],[-10]
171,2899,[119],[240]
172,3165,[947],[5]
173,3311,[19589],[200]
174,3312,[6576],[1]
175,3439,[21494],[8000]
176,3453,[19595],[1]
177,3459,[19678],[1]
178,3460,[19677],[1]
179,3468,[19625],[1]
180,3469,[19626],[1]
181,3503,[439],[180]
182,3504,[772],[180]
183,3505,[1243],[25]
184,3533,[2794],[4]
185,3572,[209],[40]
186,3573,[3239],[40]
187,3795,[2357],[50]
188,3298,[14597],[20]
189,2978,[70],[7]
190,3207,[18228],[50]
191,3540,[18120],[7]
192,3541,[18888],[7]
193,3548,[17767],[1]
194,2236,[592],[75]
195,2357,[135],[-30]
196,2462,[118],[-5]
197,2464,[118],[-20]
198,2467,[118],[8]
199,2775,[171],[-10]
200,3007,[18220],[15]
