"rownum","Id","rid_4","rid_20","rid_36","i32_52","bool_56","bool_57","bool_58","bool_59","i32_60","i32_64","i32_68","bool_72","i32_73","bool_77","bool_78","rid_79","i32_95","f32_99","f32_103","f32_107","bool_111","rid_112","string_128"
0,0,124,21,450,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
1,1,134,21,513,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
2,2,135,21,518,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",""
3,3,143,21,554,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
4,4,150,21,577,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
5,5,134,21,513,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
6,6,191,21,764,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
7,7,224,21,1008,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
8,8,291,21,1219,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
9,9,310,21,1353,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
10,10,316,32,1378,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
11,11,136,32,518,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
12,12,350,21,1511,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
13,13,357,21,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
14,14,358,21,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
15,15,376,21,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
16,16,376,32,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
17,17,380,32,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
18,18,392,25,1707,0,"","","",1,0,15,0,"",4,"","","",0,1,1,1,1,"",""
19,19,400,32,1715,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
20,20,377,32,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
21,21,378,32,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
22,22,402,21,1734,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
23,23,409,21,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
24,24,409,32,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
25,25,415,21,1780,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
26,26,416,21,1781,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
27,27,406,21,1758,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
28,28,381,21,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
29,29,403,21,1734,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
30,30,435,32,1851,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
31,31,437,21,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
32,32,451,21,518,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
33,33,431,21,1832,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
34,34,458,21,1997,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
35,35,481,27,2093,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
36,36,461,21,2036,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
37,37,462,21,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
38,38,463,21,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
39,39,478,21,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
40,40,483,27,2094,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
41,41,482,26,2093,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
