"rownum","Id","BonusMods","rid_24","[i32]_40","StatsKeys","StatValues"
0,"InnerTreasure",[7050],"",[],[],[]
1,"DropVaalItem",[7057],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4824,598]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1225],[100]
4,"Maimed",[],506,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4823,648]","[1,100]"
6,"TormentedExperimenterPossess","[7871,7962,8022,8024]","",[],[],[]
7,"TormentedBlasphemerPossess","[7874,7960,8022,8024]","",[],[],[]
8,"TormentedNecromancerPossess","[7877,7962,8022,8024]","",[],[],[]
9,"TormentedArsonistPossess","[7880,7962,8022,8024]","",[],[],[]
10,"TormentedThiefPossess","[7909,7963,8022,8024]","",[],[],[]
11,"TormentedMutilatorPossess","[7922,7962,8022,8024]","",[],[],[]
12,"TormentedCharlatanPossess","[7890,7962,8022,8024]","",[],[],[]
13,"TormentedCannibalPossess","[7915,7962,8022,8024]","",[],[],[]
14,"TormentedPoisonerPossess","[7883,7962,8022,8024]","",[],[],[]
15,"TormentedCorrupterPossess","[7886,7963,8022,8024]","",[],[],[]
16,"TormentedThugPossess","[7893,7960,8022,8024]","",[],[],[]
17,"TormentedRoguePossess","[7896,7960,7897,8022,8024]","",[],[],[]
18,"TormentedFishermanPossess","[7899,7963,8022,8024]","",[],[],[]
19,"TormentedLibrarianPossess","[7902,7963,8022,8024]","",[],[],[]
20,"TormentedCutthroatPossess","[7906,7960,8022,8024]","",[],[],[]
21,"TormentedSpyPossess","[7912,7960,8022,8024]","",[],[],[]
22,"TormentedMartyrPossess","[7919,7962,8022,8024]","",[],[],[]
23,"TormentedEmbezzlerPossess","[7925,7963,8022,8024]","",[],[],[]
24,"TormentedCounterfeiterPossess","[7931,7962,8022,8024]","",[],[],[]
25,"TormentedWarlordPossess","[7934,7960,8022,8024]","",[],[],[]
26,"TormentedFreezerPossess","[7938,7962,8022,8024]","",[],[],[]
27,"TormentedSmugglerPossess","[7942,7940,7963,8022,8024]","",[],[],[]
