"rownum","rid_0","rid_16","rid_32","bool_48","[rid]_49"
0,659,2218,2219,"",[18183]
1,660,2220,2221,"",[18184]
2,661,2222,2223,"",[18185]
3,662,2224,2225,"",[18186]
4,663,2226,2227,"",[18187]
5,664,2228,2229,"",[18188]
6,665,2230,2231,"",[18189]
7,666,2232,2233,"",[18190]
8,668,2238,2239,1,[18286]
9,669,2241,2242,"",[18300]
10,670,2244,2245,"",[]
11,671,2246,2247,"","[18306,18307]"
12,790,2367,2368,1,[19063]
13,848,2479,2480,"","[20112,20113,20114]"
14,865,2528,2529,"",[20324]
15,878,2544,2545,"",[20476]
16,905,2645,2646,"",[21552]
17,913,2683,"","",[]
18,914,2681,2682,"",[21902]
19,915,2684,2685,"",[21907]
