"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","i32_16"
0,"Str","[Str|Str]","[Str|Force]","[Str|Stä]","[Str|筋力]","[Str|힘]","[Str|For]","[Str|Сила]","[Str|Fue]","[Str|Str]","[Str|力量]",1
1,"Dex","[Dex|Dex]","[Dex|Dex]","[Dex|Ges]","[Dex|器用さ]","[Dex|민첩]","[Dex|Des]","[Dex|Ловк]","[Dex|Des]","[Dex|Dex]","[Dex|敏捷]",1
2,"Int","[Int|Int]","[Int|Int]","[Int|Int]","[Int|知性]","[Int|지능]","[Int|Int]","[Int|Инт]","[Int|Int]","[Int|Int]","[Int|智慧]",1
3,"StrDex","[StrDex|Str/Dex]","[StrDex|Force/Dex]","[StrDex|Stä/Ges]","[StrDex|筋力/器用さ]","[StrDex|힘/민첩]","[StrDex|For/Des]","[StrDex|Сила/Ловк]","[StrDex|Fue/Des]","[StrDex|Str/Dex]","[StrDex|力量/敏捷]",1
4,"StrInt","[StrInt|Str/Int]","[StrInt|Force/Int]","[StrInt|Stä/Int]","[StrInt|筋力/知性]","[StrInt|힘/지능]","[StrInt|For/Int]","[StrInt|Сила/Инт]","[StrInt|Fue/Int]","[StrInt|Str/Int]","[StrInt|力量/智慧]",1
5,"DexInt","[DexInt|Dex/Int]","[DexInt|Dex/Int]","[DexInt|Ges/Int]","[DexInt|器用さ/知性]","[DexInt|민첩/지능]","[DexInt|Des/Int]","[DexInt|Ловк/Инт]","[DexInt|Des/Int]","[DexInt|Dex/Int]","[DexInt|敏捷/智慧]",1
6,"StrDexInt","[StrDexInt|Str/Dex/Int]","[StrDexInt|Force/Dex/Int]","[StrDexInt|Stä/Ges/Int]","[StrDexInt|筋力/器用さ/知性]","[StrDexInt|힘/민첩/지능]","[StrDexInt|for/Des/Int]","[StrDexInt|Сила/Ловк/Инт]","[StrDexInt|Fue/Des/Int]","[StrDexInt|Str/Dex/Int]","[StrDexInt|力量/敏捷/智慧]",1
7,"OneHanded","[OneHanded|One-Handed]","[OneHanded|À une main]","[OneHanded|Einhand]","[OneHanded|片手]","[OneHanded|한손]","[OneHanded|Uma Mão]","[OneHanded|Одноручное]","[OneHanded|Una mano]","[OneHanded|มือเดียว]","[OneHanded|單手]",2
8,"TwoHanded","[TwoHanded|Two-Handed]","[TwoHanded|À deux mains]","[TwoHanded|Zweihand]","[TwoHanded|両手]","[TwoHanded|양손]","[TwoHanded|Duas Mãos]","[TwoHanded|Двуручное]","[TwoHanded|Dos manos]","[TwoHanded|สองมือ]","[TwoHanded|雙手]",2
9,"AttackWeapons","[AttackWeapons|Attack Weapons]","[AttackWeapons|Armes d'attaque]","[AttackWeapons|Angriffswaffen]","[AttackWeapons|アタック武器]","[AttackWeapons|공격 무기]","[AttackWeapons|Armas de Ataque]","[AttackWeapons|Оружие атаки]","[AttackWeapons|Armas de ataque]","[AttackWeapons|อาวุธโจมตี]","[AttackWeapons|攻擊武器]",0
