"rownum","Id","Mods","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","string_32","i32_40","i32_44","[rid]_48","i32_64","[i32]_68","[rid]_84"
0,"ProphecySignature",[],"","","","","","","","","","","",0,0,[],0,[],[]
1,"BLAMTEasyBrutus",[],"","","","","","","","","","","",0,0,[],0,[],[]
2,"PathOfEndurance",[],"Path of Endurance","Path of Endurance","Pfad der Beharrlichkeit","忍耐の道","인내의 길","Caminho da Persistência","Путь выносливости","Camino de la Resistencia","Path of Endurance","耐力黯道","http://poe.qq.com/redirect/g25.htm",60,0,[],0,[],[]
3,"EverythingEverywhere","[9954,9958,9962,9966,9970,9989,9993,9995,9999,10000,10001,10002,10003,10004,10005,10006,10007,10008,10009,10010]","","Mayhem","Mayhem","大騒ぎ","아수라장","Mayhem","Беспредел","Mayhem","Mayhem","渾沌","",0,60,[],0,"[1,2]","[2581,2582]"
4,"EverythingSomewhere","[9955,9959,9963,9967,9971,9975,9979,9982,9984]","","","","","","","","","","","",0,60,[],1,[],[]
5,"EverythingSomewhereSingle","[9956,9960,9964,9968,9972,9976,9980,9983,9985,9986,9988,9990,9991,9992,9994]","","Flashback","Flashback","フラッシュバック","플래시백","Túnel do Tempo","Флэшбэк","Flashback","Flashback","閃回","",0,60,[],3,[],[]
6,"EverythingSomewhereSingleTencent","[9956,9964,9968,9972,9980,9986,9988,9990,9991,9992,9994]","","","","","","","","","","","",0,60,[],3,[],[]
7,"PerandusSingleTencent",[9976],"","","","","","","","","","","",0,0,[],0,[],[]
8,"EverythingSomewhereSingleNoDelirium","[9956,9960,9964,9968,9972,9976,9980,9983,9985,9986,9988,9990,9991,9992]","","","","","","","","","","","",0,60,[],3,[],[]
9,"DeliriumSingleTencent",[9994],"","","","","","","","","","","",0,0,[],0,[],[]
