"rownum","Id","ItemVisualIdentity","ItemClass","i32"
0,"UniqueOneHandSword1",7625,9,1
1,"UniqueBow2",7634,13,1
2,"UniqueWand4",9581,8,1
3,"UniqueClaw4",9371,6,3
4,"UniqueStaff4",9618,14,4
5,"UniqueStaff9",10536,14,4
6,"UniqueBow4",8669,13,5
7,"UniqueDagger11",11271,7,5
8,"UniqueOneHandAxe3",9614,11,6
9,"UniqueRapier1",8648,10,7
10,"UniqueBow8",9183,13,9
11,"UniqueOneHandSword12",11280,9,10
12,"UniqueOneHandMace6",11282,12,10
13,"UniqueTwoHandSword2",7644,15,12
14,"UniqueClaw9",11276,6,12
15,"UniqueWand12",11824,8,24
16,"UniqueTwoHandAxe3",8672,16,13
17,"UniqueStaff13",11275,57,13
18,"UniqueDagger12",11272,7,15
19,"UniqueOneHandAxe7",11278,11,16
20,"UniqueTwoHandMace1",7640,17,17
21,"UniqueRapier2",9366,10,17
22,"UniqueDagger3",8662,56,20
23,"UniqueOneHandMace1",8667,12,20
24,"UniqueOneHandMace7",11283,12,20
25,"UniqueOneHandSword16",11892,9,20
26,"UniqueTwoHandMace7",9491,17,22
27,"UniqueOneHandSword7",9765,10,22
28,"UniqueTwoHandSword7",10017,15,22
29,"UniqueClaw6",9374,6,26
30,"UniqueRapier5",12251,10,26
31,"UniqueTwoHandMace2",7641,17,27
32,"UniqueOneHandSword4",9462,9,28
33,"UniqueBow11",9761,13,28
34,"UniqueOneHandSword13",11281,9,28
35,"UniqueOneHandAxe6",11114,11,29
36,"UniqueDagger2",7668,7,30
37,"UniqueWand9",11188,8,30
38,"UniqueBow3",7638,13,32
39,"UniqueOneHandMace8",11284,12,32
40,"UniqueTwoHandAxe2",8646,16,33
41,"UniqueClaw2",8693,6,34
42,"UniqueTwoHandMace10",11886,17,40
43,"UniqueSceptre1",8690,32,41
44,"UniqueSceptre2",9303,32,41
45,"UniqueRapier4",11894,10,43
46,"UniqueTwoHandSword1",7643,15,44
47,"UniqueDagger13",11888,56,44
48,"UniqueTwoHandAxe4",9182,16,45
49,"UniqueClaw8",11120,6,46
50,"UniqueOneHandClaw12",11870,6,46
51,"UniqueOneHandSword18",11926,9,47
52,"UniqueOneHandMace10",11890,12,50
53,"UniqueTwoHandSword3",8647,15,51
54,"UniqueStaff18",12396,14,52
55,"UniqueBow7",8682,13,53
56,"UniqueOneHandSword5",9525,9,53
57,"UniqueTwoHandMace4",8673,17,54
58,"UniqueTwoHandAxe14",11884,16,55
59,"UniqueSceptre10",11111,32,72
60,"UniqueWand11",11808,8,59
61,"UniqueTwoHandMace3",8657,17,57
62,"UniqueTwoHandAxe1",7624,16,58
63,"UniqueDagger8",9620,56,58
64,"UniqueOneHandSword11",11115,9,58
65,"UniqueWand1",8653,8,59
66,"UniqueOneHandAxe1",9394,11,65
67,"UniqueTwoHandSword10",12076,15,59
68,"UniqueOneHandMace4",11109,12,60
69,"UniqueOneHandSword19",12067,9,60
70,"UniqueClaw18",12471,6,60
71,"UniqueDagger16",12472,7,60
72,"UniqueDagger21",12537,7,60
73,"UniqueTwoHandSword11",12106,15,61
74,"UniqueBow5",8671,13,62
75,"UniqueBow6",8676,13,62
76,"UniqueClaw3",9337,6,62
77,"UniqueOneHandSword6",9762,9,62
78,"UniqueTwoHandAxe16",12680,16,62
79,"UniqueTwoHandMace11",12109,17,77
80,"UniqueOneHandAxe10",12512,11,63
81,"UniqueOneHandSword3",9383,9,64
82,"UniqueBow10",9501,13,64
83,"UniqueDagger9",9810,56,64
84,"UniqueTwoHandAxe10",11794,16,64
85,"UniqueOneHandSword17",11901,9,64
86,"UniqueOneHandAxe5",9606,11,65
87,"UniqueTwoHandSword8",10522,15,65
88,"UniqueTwoHandMace12",12375,17,65
89,"UniqueBow1",7630,13,66
90,"UniqueClaw1",8684,6,66
91,"UniqueBow9",9470,13,70
92,"UniqueOneHandMace5",11110,12,66
93,"UniqueClaw10",11742,6,66
94,"UniqueTwoHandAxe15",12371,16,66
95,"UniqueDagger17",12640,56,66
96,"UniqueTwoHandMace6",9460,17,67
97,"UniqueTwoHandSword6",9522,15,67
98,"UniqueStaff7",9769,57,71
99,"UniqueBow15",11914,13,68
100,"UniqueClaw14",12074,6,68
101,"UniqueOneHandSword20",12110,9,77
102,"UniqueBow17",12224,13,77
103,"UniqueTwoHandAxe13",12336,16,68
104,"UniqueOneHandSword24",12438,9,68
105,"UniqueOneHandAxe2",9546,11,69
106,"UniqueClaw13",11909,6,70
107,"UniqueClaw15",12227,6,77
108,"UniqueStaff20",12462,14,66
109,"UniqueStaff27",12522,57,60
110,"UniqueStaff22",12675,57,64
111,"UniqueStaff24",12796,57,68
112,"UniqueOneHandSword29",12727,9,56
113,"UniqueOneHandSword30",12728,9,56
114,"UniqueOneHandSword31",13130,9,62
115,"UniqueTwoHandSword12",12232,15,67
116,"UniqueTwoHandSword13",12232,15,67
117,"UniqueTwoHandSword14",13779,15,67
118,"UniqueDagger20",12518,7,60
119,"UniqueBow18",12271,13,58
120,"UniqueBow19",12272,13,58
121,"UniqueBow22",12850,13,57
122,"UniqueBow23",13725,13,58
123,"UniqueBow21",12660,13,75
124,"UniqueBow20",12641,13,62
125,"UniqueBow16",12091,13,64
126,"UniqueTwoHandAxe7",9734,16,64
127,"UniqueTwoHandAxe9",11198,16,66
