"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsResonator","i32","i32"
0,282,100,300,0,1,1,600
1,283,100,750,0,1,1,1500
2,284,100,3750,0,1,1,7500
3,245,100,1000,0,"",0,2000
4,246,100,1000,0,"",0,2000
5,247,100,1000,0,"",0,2000
6,248,100,1000,0,"",0,2000
7,249,100,1000,0,"",0,2000
8,250,100,1000,0,"",0,2000
9,251,100,1000,0,"",0,2000
10,252,40,10000,19,"",0,20000
11,253,40,10000,19,"",0,20000
12,254,40,10000,19,"",0,20000
13,255,40,10000,19,"",0,20000
14,256,40,10000,19,"",0,20000
15,257,40,10000,19,"",0,20000
16,258,40,10000,19,"",0,20000
17,259,40,10000,19,"",0,20000
18,260,40,10000,19,"",0,20000
19,261,40,10000,19,"",0,20000
20,262,10,1000000,75,"",0,2000000
21,263,10,1000000,75,"",0,2000000
22,264,10,1000000,75,"",0,2000000
23,265,10,1000000,75,"",0,2000000
24,266,10,1000000,75,"",0,2000000
25,267,10,1000000,75,"",0,2000000
26,268,10,100000,35,"",0,200000
27,269,10,100000,35,"",0,200000
28,278,100,300,0,1,2,600
29,279,100,750,0,1,2,1500
30,280,100,3750,0,1,2,7500
