"rownum","Id","BuffDefinitionsKey","Buff_StatValues","AuraRadius","[i32]","[i32]","BuffVisualsKey","f32","bool","StatsKey","i32","i32","bool","rid"
0,"UltimatumRecoveryDebuff1",1758,"[-60,-60,-60]",0,[],[],"",0,1,[],1,0,"",""
1,"UltimatumAreaAndProjectileSpeedDebuff",1759,"[-60,-60]",0,[],[],"",0,1,[],1,0,"",""
2,"UltimatumBuffsExpireFaster",1760,[400],0,[],[],"",0,1,[],1,0,"",""
3,"UltimatumCooldownSpeedDebuff",1761,[-80],0,[],[],"",0,1,[],1,0,"",""
4,"UltimatumVulnerabilityDebuff",1754,[100],0,[],"[-100,2,-50]","",0,1,[],1,0,"",""
5,"UltimatumMonsterSpeedBuff",1765,"[50,50,50]",0,[],"[-100,10,0]","",0,1,[],1,0,"",""
6,"Unhinged",1677,[],0,[],[],"",0,1,[],1,0,"",""
7,"PainSuppression",1770,"[0,0,0]",0,[],[],"",0,1,"[13910,13842,13995]",1,0,"",""
8,"PlayerDebuffExtraCriticalRolls",1784,[-1],0,[],[],"",0,1,[],1,0,"",""
9,"PlayerDebuffHinderedMsOnFlaskUse",1785,[4000],0,[],[],"",0,1,[],1,0,"",""
10,"PlayerDebuffNoFlaskCharges",1786,[1],0,[],[],"",0,1,[],1,0,"",""
11,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1787,"[1,1]",0,[],[],"",0,1,[],1,0,"",""
12,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1788,[1000],0,[],[],"",0,1,[],1,0,"",""
13,"PlayerDebuffRandomProjectileDirection",1789,[1],0,[],[],"",0,1,[],1,0,"",""
14,"UltimatumFrostInfection",344,[],1,[9],[],1538,0,1,[],1,0,"",""
15,"PlayerDebuffAurasAlsoAffectEnemies",1791,[1],0,[],[],"",0,1,[],1,0,"",""
16,"ScionMovementSpeed",486,[8],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
17,"OccultistWitherNearbyEnemies",1224,[15000],0,[],[],"",0,1,[],1,0,"",""
18,"ScionAuguryOfPenitence",567,[10],60,[3],[],"",0,1,[],1,0,"",""
19,"ScionAuguryOfPenitenceHardMode",567,[8],60,[3],[],"",0,1,[],1,0,"",""
20,"OccultistPowerChargeOnManaSpent",917,[],0,[],[],"",0,1,[],1,0,"",""
21,"OccultistNearbyEnemiesColdChaosResistLifeRegen",616,"[-20,-100,-20]",60,[3],[],"",0,1,[],1,0,"",""
22,"OccultistNearbyEnemiesColdChaosResistLifeRegenHardMode",616,"[-8,-100,-8]",60,[3],[],"",0,1,[],1,0,"",""
23,"ChampionMovementSpeed",485,[12],60,"[1,2,10]",[],"",0,1,[],1,0,"",""
24,"JuggernautPhysDamagePreventedAsLifeRegen",1058,[],0,[],[],"",0,1,[],1,0,"",""
25,"OccultistFreezeNearbyChilledEnemies",1225,[50],0,[],[],"",0,1,[],1,0,"",""
26,"OccultistNearbyEnemiesChilled",1484,[],60,[3],[1],"",0,1,[],1,0,"",""
27,"ChampionFortify",1896,[],0,[],[],"",0,1,[],20,0,"",""
28,"ChampionFortifyHardMode",1896,[],0,[],[],"",0,1,[],15,0,"",""
29,"PendulumOfDestruction",1039,[],0,[],[],"",0,1,[],1,0,"",""
30,"ChieftanPhysicalAsFireCycle",1045,[],0,[],[],"",0,1,[],1,0,"",""
31,"ChampionDamageAgainstImpaled",1229,"[6,12]",60,"[1,2,10]",[],"",0,1,[],1,0,"",""
32,"SaboteurBlind",1484,[],35,[3],[9],"",0,1,[],1,0,"",""
33,"AuguryOfPenitence",566,"[16,-8]",60,[3],[],"",0,1,[],1,0,"",""
34,"AuguryOfPenitenceHardMode",566,"[8,-8]",60,[3],[],"",0,1,[],1,0,"",""
35,"OccultistNearbyChilledEnemiesReducedHitDamage",1227,[-10],60,[3],[],"",0,1,[],1,0,"",""
36,"OccultistNearbyHinderedEnemiesReducedDotDamage",1228,[-15],60,[3],[],"",0,1,[],1,0,"",""
37,"SlayerCritMultiplier",1315,[-30],60,[3],[],"",0,1,[],1,0,"",""
