"rownum","ModsKey","Weight","MinLevel","MaxLevel"
0,20196,80,13,100
1,20197,80,0,100
2,20198,80,0,100
3,20199,80,13,100
4,20200,80,0,100
5,20201,80,0,100
6,20202,120,13,100
7,20203,120,0,100
8,20204,120,0,100
9,20205,80,20,100
10,20206,80,20,100
11,20207,80,20,100
12,20208,50,68,100
13,20209,50,68,100
14,20210,50,68,100
15,20211,50,40,100
16,20212,50,40,100
17,20213,50,40,100
18,20214,80,13,100
19,20215,80,0,100
20,20216,80,0,100
21,20217,120,13,100
22,20218,120,0,100
23,20219,120,0,100
24,20220,120,13,100
25,20221,120,0,100
26,20222,120,0,100
27,20223,120,13,100
28,20224,120,68,100
29,20225,120,68,100
30,20226,80,13,100
31,20227,80,0,100
32,20228,80,0,100
33,20229,50,68,100
34,20230,50,68,100
35,20231,0,68,100
36,20232,50,68,100
37,20233,50,68,100
38,20234,0,68,100
39,20235,50,68,100
40,20236,50,68,100
41,20237,50,68,100
42,20238,50,40,100
43,20239,50,40,100
44,20240,0,40,100
45,20241,80,20,100
46,20242,50,50,100
47,20243,37,68,100
48,20244,50,30,100
49,20245,80,13,100
50,20246,120,13,100
51,20247,37,13,100
52,20248,50,68,100
53,20249,80,63,100
54,20250,120,13,100
55,20251,80,13,100
56,20252,50,13,100
57,20253,120,0,100
58,20254,120,0,100
59,20255,120,13,100
60,20256,120,0,100
61,20257,50,40,100
62,20264,120,0,100
63,20265,80,20,100
64,20266,50,40,100
