"rownum","Id","ExorciseIcon","Name","i32","[rid]","IllustratuionIcon","UniqueCraft","BaseItem","TextAudioLong","bool","bool","Achievements","TextAudioShort"
0,"Helmet","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconHelmet","Helmet",0,[25],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationHelmet","","",16988,1,1,10304,17040
1,"BodyArmour","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBodyArmour","Body Armour",0,[24],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBodyArmour","","",16990,1,1,10298,17042
2,"Gloves","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconGloves","Gloves",0,[22],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationGloves","","",16991,1,1,10303,17043
3,"Boots","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBoots","Boots",0,[23],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBoots","","",16993,1,1,10299,17045
4,"Shield","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconShield","Shield",0,[26],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationShield","","",16995,1,1,10308,17047
5,"Belt","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBelt","Belt",2,[21],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBelt","","",16997,1,"",10297,17049
6,"Amulet","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAmulet","Amulet",2,[4],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationAmulet","","",16999,1,"",10295,17051
7,"Ring","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Ring",2,[5],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing","","",17001,1,"",10307,17053
8,"Dagger","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconDagger","Dagger",1,[7],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationDagger","","",17003,1,1,10302,17055
9,"RuneDagger","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRuneDagger","Rune Dagger",1,[56],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRuneDagger","","",17003,1,1,10302,17055
10,"Bow","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBow","Bow",1,[13],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBow","","",17009,1,1,10300,17061
11,"Quiver","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconQuiver","Quiver",1,[20],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationQuiver","","",17015,1,1,10306,17067
12,"OneHandMace","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandMace","One-Handed Mace",1,[12],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandMace","","",17021,1,1,10305,17073
13,"Sceptre","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconMace","Sceptre",1,[32],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationSceptre","","",17021,1,1,10305,17073
14,"TwoHandMace","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconTwoHandMace","Two-Handed Mace",1,[17],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandMace","","",17021,1,1,10305,17073
15,"OneHandAxe","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandAxe","One-Handed Axe",1,[11],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandAxe","","",17023,1,1,10296,17075
16,"TwoHandAxe","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAxe","Two-Handed Axe",1,[16],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandAxe","","",17023,1,1,10296,17075
17,"OneHandSword","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandSword","One-Handed Sword",1,"[9,10]","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandSword","","",17019,1,1,10310,17071
18,"TwoHandSword","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconTwoHandSword","Two-Handed Sword",1,[15],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandSword","","",17019,1,1,10310,17071
19,"Staff","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconStaff","Staff",1,[14],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationStaff","","",17025,1,1,10309,17077
