"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
0,7425,0,0,0,[3066],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7426,0,0,0,[3067],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7427,0,0,0,[3066],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7428,0,0,0,[3067],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7429,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7439,0,1,0,[3066],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7442,0,1,1,[3070],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7445,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7449,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7452,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7457,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7458,2,0,0,[3071],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7462,2,1,1,[3074],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7465,2,1,0,[3073],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7470,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7473,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7476,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7481,3,0,0,[3079],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7484,3,0,0,[3079],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7490,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7491,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7494,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7500,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,7503,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7507,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7506
25,7510,4,0,0,[3077],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7511,4,0,0,[3077],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7512,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7522,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7523,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7530,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7533,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7536,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7538,1,0,0,[3081],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7539,1,0,0,[3081],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7540,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7550,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7554,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7557,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7559,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
