"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,11148,9835,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,11149,9836,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,11150,9837,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,11151,9838,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,11152,9839,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,11153,9840,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,11154,9841,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,11155,9842,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,11156,9843,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,11157,9844,"Reforms after being killed",2
10,11158,9845,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,11159,9846,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,11160,9924,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,11161,9925,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,11162,9926,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby allies have +10 Fortification",5
15,11163,9934,"Cyclones\r\nLacerates\r\nRains down blades",2
16,11164,9935,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect",2
17,11165,9936,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% increased Impale Effect\r\nImpales of nearby allies last one additional hit",2
18,11166,9865,"Throws Physical Projectiles",1
19,11167,9866,"Throws Physical Projectiles\r\n100% increased Impale Effect",1
20,11168,9867,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect",1
21,11169,9847,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive",0
22,11170,9848,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit",0
23,11171,9849,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies",0
24,11172,9874,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier",1
25,11173,9875,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier",1
26,11174,9876,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry",1
27,11175,9859,"Cyclones\r\nCleaves",1
28,11176,9860,"Cyclones\r\nCleaves\r\nMaims on hit",1
29,11177,9861,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim",1
30,11178,9903,"",3
31,11179,9904,"",3
32,11180,9905,"",3
33,11181,9856,"Vomits Blood\r\nApplies Corrupting Blood",1
34,11182,9857,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood",1
35,11183,9858,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood\r\nCasts Pride",1
36,11184,9862,"Attacks with Dualstrike\r\nPeriodically enrages",1
37,11185,9863,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage",1
38,11186,9864,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage\r\nOwner gains 5% of Physical Damage as Extra Fire Damage",1
39,11187,9928,"",5
40,11188,9929,"",5
41,11189,9930,"",5
42,11190,9931,"Throws Poisonous Concoction",5
43,11191,9932,"Throws Poisonous Concoction\r\n200% increased effect of flasks",5
44,11192,9933,"Throws Poisonous Concoction\r\n200% increased effect of flasks\r\nOwner gains 1 life flask charge every 3 seconds",5
45,11193,9882,"",2
46,11194,9883,"",2
47,11195,9884,"",2
48,11196,9940,"Creates moving Cursed Ground",3
49,11197,9941,"Creates moving Cursed Ground\r\nUses Smite",3
50,11198,9942,"Creates moving Cursed Ground\r\nUses Smite\r\nHexes can affect Hexproof Enemies",3
51,11199,9894,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering",3
52,11200,9895,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks",3
53,11201,9896,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks\r\nCasts Discipline",3
54,11202,9909,"Casts Dash of Destruction\r\nCasts Screech of Splendor",4
55,11203,9910,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure",4
56,11204,9911,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure\r\nCasts Grace",4
57,11205,9888,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp",2
58,11206,9889,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath",2
59,11207,9890,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath\r\nLightning Damage of nearby allies is Lucky",2
60,11208,9853,"Casts Lightning Burst",0
61,11209,9854,"Casts Lightning Burst\r\nCasts Clarity",0
62,11210,9855,"Casts Lightning Burst inflicting Sap on Hit\r\nCasts Clarity",0
63,11211,9900,"20% increased Physical Weapon Damage per 10 Strength",3
64,11212,9901,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit",3
65,11213,9902,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit\r\nOwner gains 5% More Physical Attack Damage",3
66,11214,9937,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call",5
67,11215,9938,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality",5
68,11216,9939,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality\r\nShares Endurance Charges with allies",5
69,11217,9897,"Causes Bleeding",3
