"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,11012,0,0,0,""
1,11013,1,0,0,""
2,11014,2,0,0,""
3,11015,3,0,0,""
4,11016,4,0,0,""
5,11017,5,0,0,""
6,11018,6,0,0,""
7,11019,7,0,1,""
8,11020,8,0,1,""
9,11021,9,0,1,""
10,11022,10,2,1,""
11,11023,11,0,1,""
12,11024,12,0,1,""
13,11025,13,0,1,""
14,11026,14,0,2,""
15,11027,15,0,2,""
16,11028,16,0,2,""
17,11029,17,0,2,""
18,11030,18,0,2,""
19,11031,19,0,2,""
20,11032,20,0,2,""
21,11033,21,0,3,""
22,11034,22,0,3,""
23,11035,23,0,3,""
24,11036,24,2,3,""
25,11037,25,0,3,""
26,11038,26,0,3,""
27,11039,27,0,3,""
28,11040,28,0,4,""
29,11041,29,1,4,""
30,11042,30,2,4,""
31,11043,31,1,4,""
32,11044,32,1,4,""
33,11045,33,1,4,""
34,11046,34,2,4,""
35,11047,35,1,5,""
36,11048,36,1,5,""
37,11049,37,1,5,""
38,11050,38,2,5,""
39,11051,39,2,5,""
40,11052,40,1,5,""
41,11053,41,1,5,""
42,11054,42,1,6,""
43,11055,43,1,6,""
44,11056,44,1,6,""
45,11057,45,1,6,""
46,11058,46,1,6,""
47,11059,47,1,6,""
48,11060,48,1,6,""
49,11061,49,2,7,""
50,11062,50,2,7,""
51,11063,51,2,7,""
52,11064,52,2,7,""
53,11065,53,2,7,""
54,11066,54,2,7,""
55,11067,55,2,7,""
56,11068,56,1,8,""
57,11069,57,1,8,""
58,11070,58,2,8,""
59,11071,59,1,8,""
60,11072,60,2,8,""
61,11073,61,2,8,""
62,11074,62,1,8,""
63,11075,63,2,9,""
64,11076,64,2,9,""
65,11077,65,2,9,""
66,11078,66,0,9,""
67,11079,67,2,9,""
68,11080,68,2,9,""
69,11081,69,2,9,""
70,11082,70,3,10,""
71,11083,71,3,10,""
72,11084,72,3,10,""
73,11085,73,3,10,""
74,11086,74,3,10,""
75,11087,75,3,10,""
76,11088,76,3,10,""
77,11089,77,3,10,""
78,11090,78,4,10,""
79,11091,79,4,10,""
80,11092,80,4,10,""
81,11093,81,5,10,""
82,11094,82,5,10,""
83,11095,83,5,10,""
84,11096,84,6,10,""
85,11097,85,6,10,""
86,11098,86,6,10,""
87,11099,87,3,10,""
88,11100,88,3,10,""
89,11101,89,4,10,""
90,11102,90,5,10,""
91,11103,91,6,10,""
92,11104,92,7,10,15
