"rownum","Id","MonsterVarietiesKeys","AchievementItemsKeys","bool","PlayerConditionsKeys","MonsterDeathConditionsKeys","[rid]","i32","i32","bool","bool","[rid]","[rid]","[string]","[rid]","rid","i32","NearbyMonsterConditionsKeys","bool","MultiPartAchievementConditionsKeys","[i32]","bool","[rid]","[rid]","bool"
0,"KillOversoulWhileFortified",[152],[2511],1,[0],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
1,"KillBurningManWhileBurning",[4053],[2513],1,[1],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
2,"KillHybridWidowWhileCoveredInSpiders",[2544],[],1,[2],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
3,"KillArmalaWhileWebbedX5",[5572],[],1,[3],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
4,"KillArmalaWhileWebbed",[5572],[],1,[4],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
5,"KillTheGoddessWhileBeamed",[4660],[],1,[5],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
6,"KillPhoenixWhileFirebombed",[5019],[],1,[6],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
7,"KillConstrictorWhileVined",[6167],[],1,[7],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
8,"KillHallowedHuskInBloodRain",[1638],[],"",[8],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
9,"KillDelveBossLevel81","[6161,6851,6852]","[9106,10029]","",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
10,"KillDelveBossLevel75NoFlares","[6161,6851,6852]",[],"",[],[],[],75,75,"","",[],[75],[],[],"",0,[],"",[],[],"",[],[],""
11,"KillDelveBoss","[6161,6851,6852]",[10211],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
12,"KillVisionOfJusticeWhileJudged",[4664],[],1,[10],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],"",[],[],""
