"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[6193,6156,6171,1,1]","[6193,6193,1,1]","[6193,6156,6171,1,1]","[6193,6193,1,1]","[6193,6156,6171,1,1]","[6193,6193,1,1]","[6193,6156,6171,1,1]","[6193,6193,1,1]","[6193,6156,6171,1,1]","[6193,6193,1,1]","[6193,6156,6171,1,1]","[6193,6193,1,1]",1324,"[6193,6156,6171,1,1]","[6193,6193,1,1]"
1,"Descent2","[6533,6669,6,5719,6704]","[6533,6669,10,11,11,5718,6704]","[6533,6669,6,5719,6704]","[6533,6669,10,11,11,5718,6704]","[6416,6532,6418,6,5719,6681]","[6416,6532,6418,10,11,11,5718,6681]","[6530,6,5719,6692,6687]","[6530,10,11,11,5718,6692,6687]","[6539,6,5719,6692,6687]","[6539,10,11,11,5718,6692,6687]","[6669,6539,6533,6,5719,6687,6704]","[6669,6539,6533,10,11,11,5718,6687,6704]",1325,"[6533,6539,6669,6,5719,6704,6687]","[6533,6539,6669,10,11,11,5718,6687,6704]"
2,"Descent3","[10,15,10,15,6157,6172,5665,5666,5667,5622,5622,5596,5433,5433,5735]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5623,5624,5596,5433,5433,5735]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5622,5380,5350,5571,5546]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5623,5624,5380,5350,5571,5546]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5622,5380,5380,5489,6211]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5623,5624,5380,5380,5489,6211]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5622,5291,5291,5265,5265]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5623,5624,5291,5291,5265,5265]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5622,5265,5265,5461,5461]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5623,5624,5265,5265,5461,5461]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5622,5461,5461,5518]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5623,5624,5461,5461,5518]",1326,"[10,15,10,15,6157,6172,5665,5666,5667,5622,5622,5461,5461,5571,5350,5350]","[10,15,10,15,6157,6172,5665,5666,5667,5622,5623,5624,5461,5461,5571,5350,5350]"
3,"Descent4","[5664,10,14,1,1,1,6557,6421]","[6,6,6557,6421]","[5664,10,14,1,1,1,6557,6421]","[6,6,6557,6421]","[5664,10,14,1,1,1,6424,6427,6421]","[6,6,6427,6424,6421]","[5664,10,14,1,1,1,6424,6430,6427,6566,6696]","[6,6,6424,6427,6430,6566,6696]","[5664,10,14,1,1,1,6430,6424,6427,6696]","[6,6,6427,6430,6424,6696]","[5664,10,14,1,1,1,6430,6421,6557]","[6,6,6421,6430,6557]",1327,"[5664,10,14,1,1,1,6427,6430,6421]","[6,6,6421,6430,6427]"
4,"Descent5","[6395,0,0,0,0,6,2]","[6395,0,0,0,0,10,11,11,11,11,15,15]","[6395,0,0,0,0,6,2,6409]","[6395,0,0,0,0,10,11,11,11,11,15,15,6409]","[6653,6409,0,0,0,0,6,2]","[6653,6409,0,0,0,0,10,11,11,11,11,15,15]","[6478,0,0,0,0,6,2,6667,6517]","[6667,0,0,0,0,10,11,11,11,11,15,15,6478,6517]","[6478,6667,0,0,0,0,6,2,6517]","[6478,6667,0,0,0,0,10,11,11,11,11,15,15,6517]","[6667,0,0,0,0,6,2,6478,6663,6395]","[6395,6663,0,0,0,0,10,11,11,11,11,15,15,6667,6478]",1328,"[6667,0,0,0,0,6,2,6395,6478]","[6395,0,0,0,0,10,11,11,11,11,15,15,6478,6667]"
5,"Descent6","[5627,6398,6158,6173,6,6,6701]","[5627,6158,6173,6398,11,11,11,11,15,15,6701]","[5627,6398,6158,6173,6563,6,6,6701]","[5627,6563,6158,6173,6398,11,11,11,11,15,15,6701]","[5627,6486,6563,6158,6173,6503,6,6]","[5627,6563,6503,6158,6173,6486,11,11,11,11,15,15]","[5627,6568,6158,6173,6586,6594,6,6,6695,6683]","[5627,6158,6173,6586,6594,6568,11,11,11,11,15,15,6695,6683]","[5627,6504,6158,6173,6594,6497,6394,6,6,6695,6683]","[5627,6394,6158,6173,6497,6594,6504,11,11,11,11,15,15,6695,6683]","[5627,6497,6158,6173,6394,6398,6559,6,6,6701]","[5627,6158,6173,6398,6394,6497,6559,11,11,11,11,15,15,6701]",1329,"[5627,6158,6173,6497,6398,6,6,6701]","[5627,6158,6173,6497,6398,11,11,11,11,15,15,6701]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5435,5435,5736,5597]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5435,5435,5736,5597]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5547,5572,5382,5351]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5547,5572,5382,5351]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5491,5382,5382,6211]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,5491,5382,5382,6211]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5266,5266,5293,5293]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5266,5266,5293,5293]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5266,5266,5463,5463]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5266,5266,5463,5463]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5463,5463,5519]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5463,5463,5519]",1330,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5463,5463,5351,5351,5572]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5463,5463,5351,5351,5572]"
7,"Descent8","[6642,6403,6537,5626,5628,5671,5672,5670,2,6,11]","[6642,6403,6537,5626,5628,5671,5672,5670,12,12,10,10,10,11]","[6642,6403,6537,5626,5628,5671,5672,5670,2,6,11]","[6642,6403,6537,5626,5628,12,12,10,10,10,11,5671,5672,5670]","[6642,6643,6410,6537,5626,5628,5671,5672,5670,2,6,11]","[6642,6643,6410,6537,5626,5628,12,12,10,10,10,11,5671,5672,5670]","[6644,6643,6537,5626,5628,5671,5672,5670,2,6,11]","[6644,6643,6537,5626,5628,12,12,10,10,10,11,5671,5672,5670]","[6644,6643,5626,5628,5671,5672,5670,2,6,11]","[6644,6643,5626,5628,12,12,10,10,10,11,5671,5672,5670]","[6642,6644,6403,5626,5628,5671,5672,5670,2,6,11]","[6642,6644,6403,5626,5628,12,12,10,10,10,11,5671,5672,5670]",1331,"[6643,6644,6642,5626,5628,5671,5672,5670,2,6,11]","[6643,6644,6642,5626,5628,12,12,10,10,10,11,5671,5672,5670]"
8,"Descent9","[4,4,4,6,6,5720,5912,6088,5834,6017,6464,6159,6174,6422,6494,4]","[5718,0,0,0,6,6,5598,5436,5737,6422,6494,6159,6174,6464,5436,0]","[4,4,4,6,6,5720,5964,6124,5865,6054,6464,6159,6174,6422,6494,4]","[5718,0,0,0,6,6,5573,5383,6494,6422,6159,6174,6464,5548,5353,0]","[4,4,4,6,6,5720,5930,6100,5845,6030,6592,6159,6174,6422,6494,6464,4]","[5718,0,0,0,6,6,5492,6211,6494,6422,6159,6174,5383,5383,6592,6464,0]","[4,4,4,6,6,5720,5998,6140,5892,6070,6487,6159,6174,6467,6675,4]","[5718,0,0,0,6,6,5719,5294,5294,6467,6675,6159,6174,6487,5267,5267,0]","[4,4,4,6,6,5720,5947,6112,5855,6042,6467,6159,6174,6487,4]","[5718,0,0,0,6,6,5719,6487,6159,6174,6467,5267,5267,5464,5464,0]","[4,4,4,6,6,5720,5981,6132,5878,6062,6467,6464,6159,6174,6422,6487,6494,4]","[5718,0,0,0,6,6,5719,5464,5464,6487,6494,6159,6174,6422,6464,6467,5520,0]",1332,"[4,4,4,6,6,5720,5964,6124,5865,6054,6467,6464,6159,6174,6487,6422,6494,4]","[5718,0,0,0,6,6,5573,6487,6422,6159,6174,6467,6494,6464,5464,5464,5353,5353,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1333,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
