"rownum","rid","rid","rid","rid","rid","i32","i32","i32","i32"
0,8737,"",43,"",73,-1,0,0,0
1,6172,"",22,"",13,-1,0,5000,0
2,6173,"",22,"",13,-1,0,5000,0
3,7977,"",45,"","",0,0,1500,2500
4,7979,"",45,"","",0,0,1500,2500
5,8002,"",10,"","",0,0,1450,2500
6,8004,"",10,"","",0,0,1450,2500
7,8025,"",32,"","",0,0,2250,2500
8,8027,"",32,"","",0,0,2250,2500
9,8054,"",22,"","",0,0,1750,2500
10,8056,"",22,"","",0,0,1750,2500
11,9283,"","","","",0,0,0,3000
12,9276,"",24,"","",0,0,2000,1500
13,9273,"",33,"","",0,0,2720,1700
14,9277,"",22,"",34,-1,0,2850,2000
15,8738,"",73,"","",0,0,-1,0
16,8941,"","","",22,5000,0,0,0
17,6503,"","","",64,-1,0,0,400
18,146,"","","","",0,0,0,480
19,1377,"","","","",0,0,0,3000
20,1627,"","","","",0,0,0,2000
21,5583,"",32,"",51,0,0,1750,14000
