"rownum","rid","Monster","rid","i32","Achievement","bool","bool","bool","bool"
0,0,9548,7133,2,[9790],1,"","",""
1,1,9551,7139,0,[9791],"","","",""
2,2,9553,7145,0,[9792],"","","",""
3,3,9555,7135,0,[],"","","",""
4,4,9556,7144,2,[9793],"","","",""
5,5,9559,7146,1,[9794],"","","",""
6,6,9561,7137,1,[9795],"","","",""
7,7,9563,7136,0,[],"","","",""
8,8,9565,7136,0,[9796],"","","",""
9,9,9545,7146,1,[9797],"","","",""
10,10,9567,7144,2,[9798],"","","",""
11,11,9569,7134,1,[9799],"","","",""
12,12,9571,7135,1,[9800],"","","",""
13,13,9574,7137,1,[9801],"","","",""
14,14,9576,7136,0,[9802],"","","",""
15,15,9578,7144,1,[9803],"","","",""
16,16,9580,7137,2,[9804],"","","",""
17,17,9583,7144,2,[9805],"","","",""
18,18,9586,7139,0,[9806],"","","",""
19,19,9588,7137,0,[9807],"","","",""
20,20,9544,7092,3,[],"","","",""
21,21,9590,7136,0,[9808],"","","",""
22,22,9592,7137,1,[9809],"","","",""
23,23,9594,7144,2,[9810],"","","",""
24,24,9596,7144,2,[9811],"","","",""
25,25,9600,7144,2,[9812],"","","",""
26,26,9602,7136,0,[9813],"","","",""
27,27,9606,7144,2,[9814],"","","",""
28,28,9609,7136,0,[9815],"","","",""
29,29,9611,7137,1,[9816],"","","",""
30,30,9613,7144,2,[9817],"","","",""
31,31,9615,7137,1,[9818],"","","",""
32,32,9617,7137,1,[9819],"","","",""
33,33,9621,7136,0,[9820],"","","",""
34,47,9631,7092,3,[],"","","",""
35,48,9634,7092,3,[],"","","",""
36,49,9637,7135,0,[],"","","",""
37,50,9638,7092,3,[],"","","",""
38,51,9641,7092,3,[9821],"","","",""
39,52,9644,7135,0,[],"","","",""
40,53,9646,7136,0,[],"","","",""
41,54,9653,7092,3,[],"","","",""
42,55,9656,7092,3,[],"","","",""
43,56,9659,7092,3,[],"","","",""
44,57,9662,7092,3,[],"","","",""
45,58,9665,7092,3,[],"","","",""
46,59,9668,7092,3,[9822],"","","",""
