"rownum","UniqueBase","i32"
0,5264,1
1,5265,2
2,5266,3
3,5268,4
4,5269,5
5,5272,6
6,5275,7
7,5278,8
8,5281,9
9,5291,10
10,5293,11
11,5294,12
12,5299,13
13,5302,14
14,5304,15
15,5305,16
16,5308,17
17,5309,18
18,5310,19
19,5311,20
20,5312,21
21,5313,22
22,5321,23
23,5323,24
24,5326,25
25,5328,26
26,5330,27
27,5333,28
28,5339,29
29,5340,30
30,5342,31
31,5343,32
32,5344,33
33,5350,34
34,5352,35
35,5355,36
36,5359,37
37,5367,38
38,5370,39
39,5371,40
40,5372,41
41,5379,42
42,5381,43
43,5383,44
44,5385,45
45,5386,46
46,5392,47
47,5394,48
48,5397,49
49,5398,50
50,5399,51
51,5400,52
52,5401,53
53,5402,54
54,5408,55
55,5410,56
56,5411,57
57,5412,58
58,5418,59
59,5429,60
60,5434,61
61,5436,62
62,5439,63
63,5443,64
64,5446,65
65,5451,66
66,5454,67
67,5462,68
68,5466,69
69,5467,70
70,5469,71
71,5471,72
72,5474,73
73,5477,74
74,5478,75
75,5479,76
76,5480,77
77,5481,78
78,5482,79
79,5483,80
80,5488,81
81,5489,82
82,5490,83
83,5492,84
84,5494,85
85,5495,86
86,5503,87
87,5507,88
88,5508,89
89,5509,90
90,5510,91
91,5511,92
92,5517,93
93,5520,94
94,5522,95
95,5523,96
96,5527,97
97,5528,98
98,5529,99
99,5532,100
100,5533,101
101,5534,102
102,5535,103
103,5536,104
104,5537,105
105,5547,106
106,5548,107
107,5551,108
108,5553,109
109,5555,110
110,5558,111
111,5560,112
112,5562,113
113,5563,114
114,5564,115
115,5565,116
116,5572,117
117,5574,118
118,5575,119
119,5580,120
120,5582,121
121,5586,122
122,5587,123
123,5589,124
124,5590,125
125,5598,126
126,5599,127
127,5600,128
128,5604,129
129,5605,130
130,5608,131
131,5610,132
132,5613,133
133,5614,134
134,5615,135
135,5620,136
136,5736,137
137,5737,138
138,5739,139
139,5747,140
140,5749,141
141,5750,142
142,5755,143
143,5756,144
144,5758,145
145,5762,146
146,5766,147
147,5767,148
148,5776,149
149,5777,150
150,5778,151
151,5781,152
152,5782,153
153,5784,154
154,5787,155
155,5788,156
156,5792,157
157,5794,158
158,5800,159
159,5801,160
160,5804,161
161,5805,162
162,5811,163
163,5812,164
164,5814,165
165,5815,166
166,5816,167
167,5817,168
168,5824,169
169,5825,170
170,5829,171
171,5830,172
