"rownum","Id","MonsterPacksKeys","i32","i32","MonsterVarietiesKey","rid","i32","i32","i32","MonsterPacksKey"
0,"MonkeyPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",12,2,4742,2,2,20,100,1608
1,"BeastPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",12,2,4740,2,2,20,100,1610
2,"HellionPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",1,2,4741,2,2,20,100,1611
3,"RhoaPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",1,2,4739,2,2,20,100,1609
4,"SpiderPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",15,2,4745,2,2,20,100,1613
5,"SnakePack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",15,2,4744,2,2,20,100,1612
6,"FrogPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",25,2,4747,2,2,20,100,1614
7,"IguanaPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",30,2,4748,2,2,20,100,1615
8,"KiwethPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",1,2,4749,2,2,20,100,1616
9,"DropbearPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",15,2,4750,2,2,20,100,1617
10,"SquidPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",1,2,4751,2,2,20,100,1618
11,"TasterPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",39,3,4247,3,3,20,100,""
12,"BeastBossPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",15,3,116,3,3,20,100,""
13,"SpiderBossPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",15,3,951,3,3,20,100,""
14,"KiwethBossPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",1,3,1590,3,3,20,100,""
15,"WaterSpiralBossPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",35,3,3962,3,3,20,100,""
16,"SandLeaperBossPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",35,3,3983,3,3,20,100,""
17,"DropBearBossPack","[1608,1609,1610,1611,1612,1613,1614,1615,1616,1617,1618]",15,3,3211,3,3,20,100,""
