"rownum","Mod","Type","bool"
0,31001,2,""
1,31002,2,""
2,31003,2,""
3,31004,2,""
4,31005,2,""
5,31006,2,""
6,31007,2,""
7,31008,2,""
8,31009,2,""
9,31010,2,""
10,31011,2,""
11,31012,2,""
12,31013,1,""
13,31014,1,""
14,31015,1,""
15,31016,1,""
16,31017,1,""
17,31018,1,""
18,31019,1,""
19,31020,1,""
20,31021,1,""
21,31022,1,""
22,31023,1,""
23,31024,1,""
24,31025,1,""
25,31026,0,""
26,31027,0,""
27,31028,0,""
28,31029,0,""
29,31030,0,""
30,31031,0,""
31,31032,0,""
32,31033,0,""
33,31034,0,""
34,31035,0,""
35,31036,0,""
36,31037,0,""
37,31038,0,""
38,31039,0,""
39,31040,2,""
40,31041,2,""
41,31042,2,""
42,31043,2,""
43,31044,2,""
44,31045,2,""
45,31046,2,""
46,31047,2,""
47,31048,2,""
48,31049,2,""
49,31050,2,""
50,31051,2,""
51,31053,2,""
52,31055,1,""
53,31056,1,""
54,31057,1,""
55,31058,1,""
56,31059,1,""
57,31060,1,""
58,31061,1,""
59,31062,1,""
60,31063,1,""
61,31064,1,""
62,31065,1,""
63,31066,1,""
64,31067,1,""
65,31069,0,""
66,31070,0,""
67,31071,0,""
68,31072,0,""
69,31073,0,""
70,31074,0,""
71,31075,0,""
72,31076,0,""
73,31077,0,""
74,31078,0,""
75,31079,0,""
76,31080,2,1
77,31081,2,1
78,31082,2,1
79,31083,2,1
80,31084,2,1
81,31085,2,1
82,31086,2,1
83,31087,2,1
84,31088,2,1
85,31089,2,1
86,31090,2,1
87,31091,2,1
88,31092,2,1
89,31093,2,1
90,31094,2,1
91,31095,2,1
92,31096,1,""
93,31097,1,""
94,31098,1,""
95,31099,1,""
96,31100,1,""
97,31101,1,""
98,31102,1,""
99,31103,1,""
100,31104,1,""
101,31105,1,""
102,31106,1,""
103,31107,1,""
104,31108,1,""
105,31109,1,""
106,31110,1,""
107,31111,1,""
108,31113,1,""
109,31114,1,""
110,31116,1,""
111,31117,1,""
112,31118,1,""
113,31119,1,""
114,31120,1,""
115,31122,2,1
116,31123,2,1
117,31125,2,1
118,31126,2,1
119,31127,2,1
120,31128,2,1
121,31129,2,1
122,31130,0,""
123,31131,0,""
124,31132,0,""
125,31133,0,""
126,31134,0,""
127,31135,0,""
128,31136,0,1
129,31163,2,1
130,31164,2,1
131,31165,2,1
132,31166,2,1
133,31167,2,1
134,31168,2,1
135,31169,2,1
136,31170,2,1
137,31171,2,1
138,31172,2,1
139,31173,2,1
140,31174,2,1
141,31175,2,1
142,31176,2,1
143,31177,2,1
144,31178,2,1
145,31179,2,1
146,31180,2,1
147,31181,2,1
148,31182,1,""
149,31183,1,""
150,31184,1,""
151,31185,1,""
152,31186,1,""
153,31187,1,""
154,31188,1,""
155,31189,1,""
156,31190,1,""
157,31191,1,""
158,31192,1,""
159,31193,1,""
160,31194,1,""
161,31195,1,""
162,31196,1,""
163,31197,1,""
164,31198,1,""
165,31199,1,""
166,31200,1,""
167,31202,1,""
168,31203,1,""
169,31204,1,""
170,31205,1,""
171,31206,1,""
172,31207,1,""
173,31208,1,""
174,31209,1,""
175,31210,2,1
176,31211,2,1
177,31212,2,1
178,31213,2,1
179,31214,2,1
180,31215,2,1
181,31216,2,1
182,31217,2,1
183,31218,0,""
184,31220,0,""
185,31221,0,""
186,31222,0,""
187,31223,0,""
188,31224,0,1
189,31249,1,""
190,31250,1,""
191,31251,1,""
192,31252,2,1
193,31253,2,1
194,31254,2,1
195,31255,0,""
196,31256,0,""
197,31257,0,""
198,31258,0,1
199,31259,0,1
200,31260,0,1
201,31261,1,""
202,31262,1,""
203,31263,1,""
204,31264,2,1
205,31265,2,1
206,31266,2,1
207,31267,0,""
208,31268,0,""
209,31269,0,""
210,31270,0,1
211,31271,0,1
212,31272,0,1
213,31137,1,""
214,31138,2,""
215,31139,1,""
216,31140,2,""
217,31141,1,""
218,31142,2,""
219,31143,1,""
220,31144,2,""
221,31145,1,""
222,31146,2,""
223,31147,1,""
224,31148,2,""
225,31149,1,""
226,31150,2,""
227,31151,1,""
228,31152,2,""
229,31153,1,""
230,31154,2,""
231,31155,1,""
232,31156,2,""
233,31157,1,""
234,31158,2,""
235,31159,1,""
236,31160,2,""
237,31161,1,""
238,31162,2,""
239,31225,1,""
240,31226,2,""
241,31227,1,""
242,31228,2,""
243,31229,1,""
244,31230,2,""
245,31231,1,""
246,31232,2,""
247,31233,1,""
248,31234,2,""
249,31235,1,""
250,31236,2,""
251,31237,1,""
252,31238,2,""
253,31239,1,""
254,31240,2,""
255,31241,1,""
256,31242,2,""
257,31243,1,""
258,31244,2,""
259,31245,1,""
260,31246,2,""
261,31247,1,""
262,31248,2,""
