"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,9637,111,"Essence Item",52571,[]
1,9638,131,"Currency Item",52259,[]
2,9639,151,"Unique Item",18701,[]
3,9640,121,"Map Item",22038,[]
4,9641,251,"Unique Map Item",6696,[]
5,9642,301,"Rare Abyss Item",41772,[]
6,9643,301,"Fragment Item",60390,[]
7,9644,301,"Scarab Item",32186,[]
8,9645,151,"Essence Item",23218,[]
9,9646,301,"Fossil Item",19642,[]
10,9647,221,"Expedition Item",40101,[]
11,9648,151,"Stacked Decks",34745,[]
12,9649,151,"Talisman Item",43064,[]
13,9650,161,"Labyrinth Item",19352,[]
14,9651,1001,"6-Linked Armour Item",6078,[]
15,9652,141,"Currency Item",14134,[]
16,9653,1501,"League-specific Unique Item",4526,[]
17,9654,501,"Shaper or Elder Armour Item",61377,[]
18,9655,501,"Shaper or Elder Weapon Item",53204,[]
19,9656,701,"Shaper or Elder Trinket Item",61894,[]
20,9657,501,"Elder Map Item",39336,[]
21,9658,351,"Breach Item",43164,[]
22,9659,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,9660,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,9661,301,"Item",31223,[]
25,9662,121,"Quality Gem",16288,[]
26,9663,151,"Bestiary Item",28161,[]
27,9664,221,"Blight Item",19373,[]
28,9665,221,"Ultimatum Item",62324,[]
29,9666,431,"Delirium Item",23535,[]
30,9667,111,"Essence Item",46750,[]
31,9668,131,"Currency Item",54300,[]
32,9669,151,"Unique Item",59184,[]
33,9670,121,"Map Item",43361,[]
34,9671,251,"Unique Map Item",37492,[]
35,9672,301,"Rare Abyss Item",2531,[]
36,9673,301,"Fragment Item",4173,[]
37,9674,301,"Scarab Item",25303,[]
38,9675,151,"Essence Item",31454,[]
39,9676,301,"Fossil Item",51101,[]
40,9677,221,"Expedition Item",41074,[]
41,9678,151,"Stacked Decks",47490,[]
42,9679,151,"Talisman Item",23793,[]
43,9680,161,"Labyrinth Item",42868,[]
44,9681,1001,"6-Linked Armour Item",12755,[]
45,9682,141,"Currency Item",30048,[]
46,9683,1501,"League-specific Unique Item",32094,[]
47,9684,501,"Shaper or Elder Armour Item",38195,[]
48,9685,501,"Shaper or Elder Weapon Item",28068,[]
49,9686,701,"Shaper or Elder Trinket Item",52048,[]
50,9687,501,"Elder Map Item",56725,[]
51,9688,351,"Breach Item",39939,[]
52,9689,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,9690,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,9691,301,"Item",55071,[]
55,9692,121,"Quality Gem",43471,[]
56,9693,151,"Bestiary Item",58563,[]
57,9694,221,"Blight Item",24651,[]
58,9695,221,"Ultimatum Item",65346,[]
59,9696,431,"Delirium Item",12740,[]
